"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","13.57","0.004526","6613","0","0","6627","6613","6612","C"
"0.001022","13.54","0.004659","6360","0","0","6373","6360","6360","C"
"0.001045","13.52","0.004794","6115","0","0","6129","6115","6112","C"
"0.001045","13.52","0.004794","6507","0","0","6521","6507","6504","C"
"0.001153","13.39","0.005428","5418","0","0","5432","5418","5431","C"
"0.001273","13.25","0.00612","4514","0","0","4527","4514","4511","C"
"0.001273","13.25","0.00612","4577","0","0","4590","4577","4575","C"
"0.001354","13.14","0.006597","4050","0","0","4063","4050","4051","C"
"0.001441","13.03","0.007107","3585","0","0","3598","3585","3584","C"
"0.001441","13.03","0.007107","3656","0","0","3669","3656","3654","C"
"0.0015","12.95","0.007453","3367","0","0","3380","3367","3368","C"
"0.002","12.3","0.01034","1853","0","0","1865","1853","1852","C"
"0.003","11.02","0.01595","758.2","0","0","769.3","758.3","757.8","C"
"0.003552","10.36","0.01889","515.4","0","0","525.7","515.4","515.1","C"
"0.003552","10.36","0.01889","1255","0","0","1266","1255","1220","C"
"0.003639","10.26","0.01933","1176","0","0","1186","1176","1142","C"
"0.003728","10.16","0.01979","1102","0","0","1112","1102","1072","C"
"0.003728","10.16","0.01979","1572","0","0","1582","1572","1517","C"
"0.004","9.854","0.02116","1319","0","0","1329","1319","1277","C"
"0.004303","9.531","0.02264","1101","0","0","1110","1101","1068","C"
"0.004303","9.531","0.02264","1282","0","0","1292","1282","1242","C"
"0.005","8.84","0.02588","880.2","0","0","889.1","880.2","856.9","C"
"0.005182","8.67","0.02667","803","0","0","811.7","803","782.5","C"
"0.005182","8.67","0.02667","852.4","0","0","861.1","852.4","830.1","C"
"0.005362","8.509","0.02744","783.3","0","0","791.9","783.4","763.2","C"
"0.005548","8.346","0.02823","719.8","0","0","728.2","719.8","702.2","C"
"0.005548","8.346","0.02823","750.7","0","0","759","750.7","732.2","C"
"0.006","7.97","0.03008","620.4","0","0","628.4","620.4","606.2","C"
"0.008","6.568","0.03747","304.1","0","0","310.7","304.1","298.9","C"
"0.01","5.498","0.04397","173.6","0","0","179.1","173.6","171.1","C"
"0.015","3.734","0.05705","61.48","0","0","65.27","61.54","60.84","C"
"0.01717","3.218","0.06143","43.34","0","0","46.62","43.4","42.93","C"
"0.01717","3.218","0.06143","103.7","0","0","107","103.7","79.8","C"
"0.02","2.689","0.06626","68.31","0","0","71.07","68.38","54.96","C"
