"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","9.895","0.00581","2206","0","0","2216","2206","2206","C"
"0.001063","9.836","0.006295","1966","0","0","1976","1966","1968","C"
"0.001131","9.768","0.006808","1753","0","0","1763","1753","1753","C"
"0.001131","9.768","0.006808","2329","0","0","2339","2329","2428","C"
"0.001146","9.753","0.006919","3528","0","0","3537","3528","3595","C"
"0.001161","9.737","0.00703","5346","0","0","5356","5346","5382","C"
"0.001161","9.737","0.00703","6467","0","0","6477","6467","6498","C"
"0.001311","9.588","0.008124","5700","0","0","5709","5700","6253","C"
"0.001481","9.424","0.009352","5021","0","0","5030","5021","5001","C"
"0.001481","9.424","0.009352","5802","0","0","5811","5802","5774","C"
"0.0015","9.404","0.009495","5615","0","0","5625","5615","5590","C"
"0.001614","9.285","0.01033","4763","0","0","4773","4763","4742","C"
"0.001614","9.285","0.01033","5057","0","0","5066","5057","5034","C"
"0.001704","9.196","0.01098","4480","0","0","4490","4480","4465","C"
"0.0018","9.103","0.01167","3971","0","0","3980","3971","3955","C"
"0.0018","9.103","0.01167","4149","0","0","4158","4149","4132","C"
"0.002","8.893","0.01311","3269","0","0","3278","3269","3258","C"
"0.003","7.882","0.02015","1248","0","0","1256","1248","1245","C"
"0.004","6.943","0.02667","612.3","0","0","619.2","612.3","611.1","C"
"0.005","6.119","0.03263","348.1","0","0","354.2","348.1","347.4","C"
"0.006","5.421","0.03796","217.9","0","0","223.4","218","217.5","C"
"0.006977","4.839","0.04264","147.3","0","0","152.2","147.3","147.1","C"
"0.006977","4.839","0.04264","407.8","0","0","412.7","407.8","372.5","C"
"0.00729","4.671","0.04406","364.4","0","0","369.1","364.5","334.6","C"
"0.007617","4.506","0.04545","325.7","0","0","330.2","325.7","299.8","C"
"0.007617","4.506","0.04545","444.6","0","0","449.2","444.7","399.3","C"
"0.008","4.323","0.04704","394.6","0","0","399","394.6","356","C"
"0.008052","4.3","0.04728","387.8","0","0","392.1","387.8","350.2","C"
"0.008052","4.3","0.04728","448.2","0","0","452.5","448.2","402.4","C"
"0.01","3.519","0.05473","259.4","0","0","262.9","259.4","237.8","C"
"0.015","2.284","0.06994","88.53","0","0","90.88","88.6","83.52","C"
"0.02","1.634","0.08104","40.7","0","0","42.41","40.78","38.95","C"
"0.03","0.9594","0.09443","13.35","0","0","14.41","13.45","12.95","C"
"0.04","0.6245","0.1015","5.992","0","0","6.718","6.093","5.848","C"
"0.04852","0.464","0.1049","3.483","0","0","4.051","3.587","3.414","C"
"0.04852","0.464","0.1049","19.44","0","0","20.01","19.55","6.036","C"
"0.05","0.4426","0.1053","17.95","0","0","18.5","18.06","5.927","C"
"0.06","0.3327","0.1073","11.11","0","0","11.55","11.22","4.863","C"
"0.08","0.2077","0.1083","5.14","0","0","5.456","5.248","2.953","C"
"0.1","0.1413","0.1073","2.792","0","0","3.04","2.899","1.841","C"
"0.15","0.06883","0.1016","0.9055","0","0","1.076","1.007","0.7088","C"
"0.2","0.04094","0.0955","0.4062","0","0","0.5426","0.5017","0.3518","C"
"0.3","0.01928","0.08512","0.1336","0","0","0.238","0.2187","0.1385","C"
"0.4","0.01115","0.0772","0.06257","0","0","0.1509","0.1398","0.07927","C"
"0.5","0.007252","0.07097","0.03567","0","0","0.1139","0.1066","0.05598","C"
"0.6","0.005092","0.06594","0.023","0","0","0.09404","0.08895","0.04462","C"
"0.8","0.002902","0.05821","0.01201","0","0","0.07312","0.07022","0.03406","C"
"1","0.00187","0.05247","0.007518","0","0","0.06186","0.05999","0.02912","C"
"1.022","0.001792","0.05191","0.007197","0","0","0.0609","0.05911","0.02875","I"
"1.25","0.001204","0.047","0.004851","0.0002515","0","0.0533","0.0521","0.02557","C"
"1.5","0.0008381","0.04276","0.003464","0.001163","0","0.04822","0.04739","0.02353","C"
"2","0.0004728","0.03652","0.002103","0.003754","0","0.04285","0.04237","0.02173","C"
"2.044","0.000453","0.03607","0.002028","0.003999","0","0.04255","0.0421","0.02172","I"
"3","0.0002107","0.02876","0.001109","0.009039","1.005E-05","0.03913","0.03892","0.02158","C"
"4","0.0001186","0.024","0.0007311","0.01356","4.098E-05","0.03845","0.03833","0.02269","C"
"5","7.597E-05","0.02073","0.0005386","0.01742","8.156E-05","0.03885","0.03877","0.02404","C"
"6","5.275E-05","0.01832","0.000424","0.02075","0.0001251","0.03967","0.03962","0.02532","C"
"7","3.877E-05","0.01647","0.0003483","0.02369","0.0001684","0.04071","0.04067","0.02651","I"
"8","2.969E-05","0.01499","0.000295","0.02633","0.0002103","0.04185","0.04182","0.02758","C"
"9","2.346E-05","0.01378","0.0002556","0.02872","0.0002504","0.04303","0.04301","0.02852","I"
"10","1.9E-05","0.01277","0.0002252","0.03092","0.0002884","0.04422","0.0442","0.02938","C"
"11","1.57E-05","0.01191","0.0002012","0.03296","0.0003243","0.0454","0.04539","0.03004","I"
"12","1.32E-05","0.01117","0.0001818","0.03484","0.0003581","0.04656","0.04655","0.03065","I"
"13","1.124E-05","0.01052","0.0001657","0.0366","0.00039","0.04769","0.04768","0.03123","I"
"14","9.693E-06","0.009955","0.0001522","0.03823","0.0004205","0.04877","0.04876","0.03177","I"
"15","8.445E-06","0.009451","0.0001407","0.03975","0.000449","0.0498","0.04979","0.03228","C"
"16","7.422E-06","0.009","0.0001308","0.04117","0.0004759","0.05079","0.05078","0.03255","I"
"18","5.865E-06","0.008227","0.0001146","0.04371","0.0005263","0.05258","0.05258","0.03305","I"
"20","4.751E-06","0.007585","0.000102","0.04597","0.0005722","0.05423","0.05423","0.03351","C"
"22","3.926E-06","0.007046","9.19E-05","0.04803","0.0006138","0.05579","0.05578","",""
"24","3.299E-06","0.006586","8.358E-05","0.04993","0.0006523","0.05726","0.05725","",""
"26","2.811E-06","0.006182","7.664E-05","0.05164","0.0006876","0.05858","0.05858","",""
"28","2.424E-06","0.005833","7.074E-05","0.05318","0.0007204","0.05981","0.05981","",""
"30","2.111E-06","0.005524","6.57E-05","0.05465","0.0007506","0.06099","0.06099","",""
"40","1.188E-06","0.004391","4.839E-05","0.06051","0.0008762","0.06583","0.06583","",""
"50","7.601E-07","0.003664","3.831E-05","0.06491","0.0009713","0.06959","0.06958","",""
"60","5.279E-07","0.003156","3.169E-05","0.06832","0.001046","0.07255","0.07255","",""
"80","2.969E-07","0.002489","2.355E-05","0.07331","0.001158","0.07698","0.07698","",""
"100","1.9E-07","0.002066","1.874E-05","0.07688","0.00124","0.0802","0.0802","",""
"150","8.445E-08","0.001471","1.24E-05","0.08255","0.001374","0.0854","0.0854","",""
"200","4.751E-08","0.001154","9.265E-06","0.08591","0.001458","0.08854","0.08854","",""
"300","2.111E-08","0.0008179","6.154E-06","0.0898","0.00156","0.09218","0.09218","",""
"400","1.188E-08","0.0006404","4.609E-06","0.09206","0.001622","0.09432","0.09432","",""
"500","7.601E-09","0.0005302","3.681E-06","0.09352","0.001663","0.09572","0.09572","",""
"600","5.279E-09","0.0004537","3.066E-06","0.09459","0.001694","0.09674","0.09674","",""
"800","2.969E-09","0.0003545","2.297E-06","0.09602","0.001737","0.09811","0.09811","",""
"1000","1.9E-09","0.0002917","1.836E-06","0.09693","0.001765","0.09899","0.09899","",""
"1500","8.445E-10","0.0002037","1.223E-06","0.09824","0.001807","0.1003","0.1003","",""
"2000","4.751E-10","0.0001576","9.174E-07","0.09895","0.001831","0.1009","0.1009","",""
"3000","2.111E-10","0.0001096","6.115E-07","0.09971","0.001857","0.1017","0.1017","",""
"4000","1.188E-10","8.461E-05","4.585E-07","0.1001","0.001872","0.1021","0.1021","",""
"5000","7.601E-11","6.919E-05","3.666E-07","0.1004","0.001882","0.1024","0.1024","",""
"6000","5.279E-11","5.865E-05","3.055E-07","0.1006","0.001889","0.1025","0.1025","",""
"8000","2.969E-11","4.518E-05","2.291E-07","0.1008","0.001897","0.1028","0.1028","",""
"10000","1.9E-11","3.69E-05","1.833E-07","0.101","0.001903","0.1029","0.1029","",""
"15000","8.445E-12","2.55E-05","1.222E-07","0.1012","0.001911","0.1031","0.1031","",""
"20000","4.751E-12","1.96E-05","9.162E-08","0.1013","0.001915","0.1032","0.1032","",""
"30000","2.111E-12","1.352E-05","6.107E-08","0.1014","0.00192","0.1033","0.1033","",""
"40000","1.188E-12","1.038E-05","4.581E-08","0.1015","0.001922","0.1034","0.1034","",""
"50000","7.601E-13","8.453E-06","3.665E-08","0.1015","0.001924","0.1035","0.1035","",""
