"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","12.96","0.004094","6070","0","0","6083","6070","6224","C"
"0.001074","12.88","0.004501","5320","0","0","5333","5320","5342","C"
"0.001153","12.79","0.00495","4663","0","0","4676","4663","4659","C"
"0.001153","12.79","0.00495","4761","0","0","4773","4761","4758","C"
"0.0015","12.4","0.00695","2833","0","0","2845","2833","2833","C"
"0.002","11.79","0.009932","1550","0","0","1562","1550","1549","C"
"0.003","10.56","0.0158","630.8","0","0","641.4","630.8","630.6","C"
"0.003","10.56","0.0158","1985","0","0","1995","1985","1929","C"
"0.003","10.56","0.0158","1984","0","0","1994","1984","1928","C"
"0.003136","10.4","0.01657","1439","0","0","1449","1439","1405","C"
"0.003136","10.4","0.01657","2244","0","0","2255","2244","2175","C"
"0.003389","10.07","0.01816","1776","0","0","1786","1776","1700","C"
"0.003663","9.802","0.01947","1406","0","0","1416","1406","1370","C"
"0.003663","9.802","0.01947","1631","0","0","1641","1631","1588","C"
"0.004","9.443","0.02122","1312","0","0","1322","1312","1281","C"
"0.004327","9.113","0.02283","1077","0","0","1086","1077","1053","C"
"0.004327","9.113","0.02283","1144","0","0","1153","1144","1118","C"
"0.004487","8.957","0.0236","1047","0","0","1056","1047","1023","C"
"0.004652","8.797","0.02438","957.8","0","0","966.6","957.8","937.7","C"
"0.004652","8.797","0.02438","999.1","0","0","1008","999.1","978","C"
"0.005","8.476","0.02598","840.3","0","0","848.8","840.4","823.8","C"
"0.006","7.639","0.03024","537.4","0","0","545","537.4","528.5","C"
"0.008","6.275","0.03794","262.1","0","0","268.5","262.2","258.8","C"
"0.01","5.23","0.04477","148.6","0","0","153.9","148.7","147.1","C"
"0.015","3.518","0.05814","52.17","0","0","55.75","52.23","51.74","C"
"0.01503","3.51","0.05819","51.87","0","0","55.44","51.93","51.46","C"
"0.01503","3.51","0.05819","126.8","0","0","130.3","126.8","100.3","C"
"0.01641","3.179","0.06087","100","0","0","103.2","100.1","80.86","C"
"0.01791","2.868","0.06386","78.9","0","0","81.83","78.97","65.21","C"
"0.01791","2.868","0.06386","110.8","0","0","113.7","110.8","82.99","C"
"0.01827","2.799","0.06451","105.4","0","0","108.3","105.5","79.47","C"
"0.01864","2.733","0.06516","100.3","0","0","103.1","100.4","76.02","C"
"0.01864","2.733","0.06516","115.9","0","0","118.7","116","86.66","C"
"0.02","2.509","0.06745","96.75","0","0","99.33","96.82","73.95","C"
"0.03","1.476","0.07998","33.94","0","0","35.5","34.02","28.49","C"
"0.04","0.991","0.08768","15.86","0","0","16.93","15.94","13.91","C"
"0.05","0.7096","0.09227","8.722","0","0","9.524","8.814","7.851","C"
"0.06","0.5322","0.09489","5.333","0","0","5.96","5.428","4.881","C"
"0.08","0.3343","0.09689","2.44","0","0","2.871","2.537","2.283","C"
"0.1","0.2316","0.09672","1.327","0","0","1.655","1.424","1.261","C"
"0.1011","0.2272","0.0967","1.286","0","0","1.61","1.383","1.224","C"
"0.1011","0.2272","0.0967","5.765","0","0","6.089","5.862","1.71","C"
"0.15","0.115","0.09294","2.086","0","0","2.294","2.179","1.087","C"
"0.2","0.06869","0.088","0.9845","0","0","1.141","1.073","0.6351","C"
"0.3","0.03289","0.07898","0.3459","0","0","0.4578","0.4249","0.275","C"
"0.4","0.01929","0.07188","0.1689","0","0","0.2601","0.2408","0.1542","C"
"0.5","0.01266","0.06626","0.0991","0","0","0.178","0.1654","0.1025","C"
"0.6","0.008938","0.06165","0.06518","0","0","0.1358","0.1268","0.07597","C"
"0.8","0.005136","0.05452","0.03478","0","0","0.09443","0.0893","0.05067","C"
"1","0.003327","0.0492","0.02198","0","0","0.07451","0.07118","0.0392","C"
