"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","5.339","0.006186","1887","0","0","1892","1887","1887","C"
"0.001103","5.277","0.00723","1495","0","0","1501","1495","1496","C"
"0.001217","5.209","0.008427","1185","0","0","1190","1185","1185","C"
"0.001217","5.209","0.008427","4356","0","0","4361","4356","4343","C"
"0.001232","5.2","0.008591","4651","0","0","4656","4651","4684","C"
"0.001248","5.19","0.008758","4966","0","0","4972","4966","4922","C"
"0.001248","5.19","0.008758","6650","0","0","6655","6650","6622","C"
"0.001328","5.143","0.009622","6074","0","0","6079","6074","6279","C"
"0.001414","5.092","0.01054","5549","0","0","5554","5549","5495","C"
"0.001414","5.092","0.01054","6282","0","0","6287","6282","6221","C"
"0.0015","5.036","0.01145","5470","0","0","5475","5470","5420","C"
"0.002","4.713","0.01665","2706","0","0","2711","2706","2688","C"
"0.003","4.104","0.02603","957.1","0","0","961.2","957.1","952.7","C"
"0.004","3.577","0.03422","446.1","0","0","449.7","446.2","444.5","C"
"0.005","3.123","0.04168","244.1","0","0","247.3","244.1","243.3","C"
"0.006","2.727","0.04857","148.1","0","0","150.9","148.2","147.7","C"
"0.008","2.092","0.06078","66.75","0","0","68.9","66.81","66.6","C"
"0.01","1.636","0.07115","35.71","0","0","37.42","35.78","35.64","C"
"0.0111","1.446","0.07614","26.59","0","0","28.11","26.67","26.53","C"
"0.0111","1.446","0.07614","196.6","0","0","198.2","196.7","115.7","C"
"0.015","0.9878","0.09049","90.4","0","0","91.48","90.49","62.56","C"
"0.02","0.6767","0.1027","41.44","0","0","42.22","41.54","31.78","C"
"0.03","0.3804","0.1161","13.35","0","0","13.85","13.47","11.26","C"
"0.04","0.2411","0.1223","5.843","0","0","6.206","5.965","5.152","C"
"0.05","0.1664","0.1248","3.044","0","0","3.335","3.169","2.759","C"
"0.06","0.1223","0.1254","1.775","0","0","2.023","1.9","1.642","C"
"0.08","0.07468","0.1239","0.7515","0","0","0.9501","0.8754","0.7184","C"
"0.1","0.05045","0.121","0.3835","0","0","0.555","0.5045","0.3803","C"
"0.15","0.02408","0.1125","0.1125","0","0","0.2491","0.225","0.1288","C"
"0.2","0.014","0.1048","0.04732","0","0","0.1661","0.1521","0.06865","C"
"0.3","0.006433","0.09231","0.01437","0","0","0.1131","0.1067","0.03891","C"
"0.4","0.003675","0.08319","0.006412","0","0","0.09327","0.0896","0.03193","C"
"0.5","0.002372","0.0762","0.003541","0","0","0.08212","0.07975","0.0293","C"
"0.6","0.001655","0.07063","0.002238","0","0","0.07452","0.07287","0.0279","C"
"0.8","0.0009364","0.06218","0.001144","0","0","0.06426","0.06332","0.02618","C"
"1","0.0006006","0.05596","0.000712","0","0","0.05727","0.05667","0.02489","C"
"1.022","0.0005752","0.05537","0.0006766","0","0","0.05662","0.05605","0.02475","I"
"1.25","0.0003851","0.05008","0.0004572","8.899E-05","0","0.05101","0.05062","0.02353","C"
"1.5","0.0002676","0.04553","0.0003291","0.0004412","0","0.04657","0.0463","0.02242","C"
"2","0.0001507","0.03887","0.0002021","0.001635","0","0.04086","0.04071","0.02094","C"
"2.044","0.0001443","0.03839","0.0001952","0.001755","0","0.04049","0.04034","0.02088","I"
"3","6.701E-05","0.0306","0.000109","0.00446","1.071E-05","0.03524","0.03518","0.01977","C"
"4","3.77E-05","0.02552","7.309E-05","0.007071","4.37E-05","0.03275","0.03271","0.01962","C"
"5","2.413E-05","0.02204","5.454E-05","0.009372","8.7E-05","0.03158","0.03156","0.01987","C"
"6","1.676E-05","0.01948","4.334E-05","0.0114","0.0001336","0.03107","0.03105","0.02027","C"
"7","1.232E-05","0.01752","3.587E-05","0.0132","0.00018","0.03095","0.03094","0.02076","I"
"8","9.43E-06","0.01594","3.056E-05","0.01483","0.000225","0.03104","0.03103","0.0212","C"
"9","7.45E-06","0.01466","2.661E-05","0.01631","0.0002681","0.03126","0.03126","0.02166","I"
"10","6.035E-06","0.01358","2.355E-05","0.01764","0.000309","0.03156","0.03155","0.02208","C"
"11","4.987E-06","0.01266","2.111E-05","0.01886","0.0003478","0.0319","0.03189","0.02244","I"
"12","4.191E-06","0.01188","1.913E-05","0.01997","0.0003845","0.03226","0.03225","0.02277","I"
"13","3.57E-06","0.01119","1.748E-05","0.02101","0.000419","0.03264","0.03263","0.02308","I"
"14","3.079E-06","0.01058","1.609E-05","0.02196","0.0004519","0.03302","0.03301","0.02337","I"
"15","2.682E-06","0.01005","1.49E-05","0.02285","0.0004831","0.0334","0.0334","0.02364","C"
"16","2.357E-06","0.009571","1.388E-05","0.02369","0.0005127","0.03379","0.03378","0.02383","I"
"18","1.863E-06","0.008742","1.22E-05","0.02521","0.0005678","0.03454","0.03453","0.02419","I"
"20","1.509E-06","0.008065","1.088E-05","0.02658","0.0006179","0.03528","0.03528","0.02452","C"
"22","1.247E-06","0.007491","9.82E-06","0.02782","0.0006638","0.03598","0.03598","",""
"24","1.048E-06","0.007","8.949E-06","0.02895","0.0007062","0.03666","0.03666","",""
"26","8.924E-07","0.006573","8.218E-06","0.02997","0.0007454","0.0373","0.0373","",""
"28","7.697E-07","0.0062","7.597E-06","0.03092","0.0007817","0.03791","0.03791","",""
"30","6.706E-07","0.005871","7.063E-06","0.03179","0.0008156","0.03848","0.03848","",""
"40","3.772E-07","0.004666","5.225E-06","0.03535","0.0009563","0.04098","0.04098","",""
"50","2.413E-07","0.003895","4.145E-06","0.03799","0.001064","0.04296","0.04296","",""
"60","1.676E-07","0.003356","3.435E-06","0.04007","0.00115","0.04458","0.04458","",""
"80","9.43E-08","0.002647","2.559E-06","0.04314","0.001279","0.04706","0.04706","",""
"100","6.035E-08","0.002196","2.038E-06","0.04532","0.001373","0.04889","0.04889","",""
"150","2.682E-08","0.001564","1.351E-06","0.04879","0.001531","0.05189","0.05189","",""
"200","1.509E-08","0.001227","1.01E-06","0.05087","0.001631","0.05373","0.05373","",""
"300","6.705E-09","0.0008692","6.716E-07","0.05329","0.001752","0.05591","0.05591","",""
"400","3.771E-09","0.0006808","5.03E-07","0.05467","0.001825","0.05718","0.05718","",""
"500","2.413E-09","0.0005636","4.021E-07","0.05559","0.001876","0.05803","0.05803","",""
"600","1.676E-09","0.0004825","3.348E-07","0.05624","0.001913","0.05864","0.05864","",""
"800","9.43E-10","0.0003769","2.51E-07","0.05711","0.001964","0.05945","0.05945","",""
"1000","6.035E-10","0.00031","2.007E-07","0.05768","0.001998","0.05998","0.05998","",""
"1500","2.682E-10","0.0002166","1.337E-07","0.05849","0.002049","0.06075","0.06075","",""
