"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","0.3468","0.05033","6.817","0","0","7.214","6.867","6.82","C"
"0.0015","0.2978","0.09858","1.752","0","0","2.148","1.85","1.752","C"
"0.002","0.2474","0.1481","0.6638","0","0","1.059","0.8118","0.6643","C"
"0.003","0.1651","0.2284","0.1677","0","0","0.5611","0.396","0.1693","C"
"0.004","0.1124","0.2793","0.06291","0","0","0.4546","0.3422","0.06549","C"
"0.005","0.08012","0.3099","0.02932","0","0","0.4193","0.3392","0.03278","C"
"0.006","0.05968","0.3288","0.0157","0","0","0.4042","0.3445","0.01996","C"
"0.008","0.0366","0.3489","0.005865","0","0","0.3914","0.3548","0.0116","C"
"0.01","0.02462","0.3581","0.002723","0","0","0.3854","0.3608","0.009849","C"
"0.015","0.01161","0.3642","0.0006739","0","0","0.3764","0.3648","0.01102","C"
"0.02","0.006686","0.3625","0.0002499","0","0","0.3695","0.3628","0.01355","C"
"0.03","0.003024","0.3539","6.166E-05","0","0","0.357","0.354","0.01863","C"
"0.04","0.001712","0.3441","2.284E-05","0","0","0.3458","0.3441","0.02315","C"
"0.05","0.001099","0.3344","1.058E-05","0","0","0.3355","0.3344","0.02709","C"
"0.06","0.0007648","0.3253","5.649E-06","0","0","0.326","0.3253","0.03053","C"
"0.08","0.0004308","0.3087","2.105E-06","0","0","0.3091","0.3087","0.0362","C"
"0.1","0.000276","0.2941","9.822E-07","0","0","0.2944","0.2941","0.04063","C"
"0.15","0.0001228","0.265","2.495E-07","0","0","0.2651","0.265","0.04813","C"
"0.2","6.907E-05","0.2428","9.625E-08","0","0","0.2429","0.2428","0.05254","C"
"0.3","3.07E-05","0.2112","2.637E-08","0","0","0.2112","0.2112","0.05695","C"
"0.4","1.727E-05","0.1893","1.11E-08","0","0","0.1893","0.1893","0.0586","C"
"0.5","1.105E-05","0.1728","5.931E-09","0","0","0.1729","0.1728","0.059","C"
"0.6","7.677E-06","0.1599","3.679E-09","0","0","0.1599","0.1599","0.05875","C"
"0.8","4.318E-06","0.1405","1.863E-09","0","0","0.1405","0.1405","0.05739","C"
"1","2.763E-06","0.1263","1.172E-09","0","0","0.1263","0.1263","0.05556","C"
"1.022","2.646E-06","0.125","1.123E-09","0","0","0.125","0.125","0.05532","I"
"1.25","1.769E-06","0.1129","7.791E-10","4.663E-06","0","0.1129","0.1129","0.05311","C"
"1.5","1.228E-06","0.1026","5.815E-10","2.62E-05","0","0.1027","0.1027","0.05075","C"
"2","6.907E-07","0.08759","3.705E-10","0.000105","0","0.08769","0.08769","0.0465","C"
"2.044","6.614E-07","0.08651","3.587E-10","0.0001132","0","0.08663","0.08663","0.04612","I"
"3","3.07E-07","0.06889","2.105E-10","0.0003016","2.411E-05","0.06921","0.06921","0.03992","C"
"4","1.727E-07","0.05748","1.46E-10","0.00049","9.84E-05","0.05807","0.05807","0.03523","C"
"5","1.105E-07","0.04964","1.115E-10","0.0006584","0.0001961","0.05049","0.05049","0.03174","C"
"6","7.677E-08","0.04387","9.01E-11","0.0008096","0.0003012","0.04498","0.04498","0.02905","C"
"7","5.64E-08","0.03943","7.552E-11","0.000944","0.0004062","0.04078","0.04078","0.02689","I"
"8","4.318E-08","0.03589","6.5E-11","0.001066","0.000508","0.03746","0.03746","0.02515","C"
"9","3.412E-08","0.03299","5.703E-11","0.001177","0.0006058","0.03478","0.03478","0.0237","I"
"10","2.763E-08","0.03057","5.08E-11","0.001277","0.000699","0.03254","0.03254","0.02247","C"
"11","2.284E-08","0.02851","4.58E-11","0.001369","0.0007875","0.03067","0.03067","0.02143","I"
"12","1.919E-08","0.02674","4.169E-11","0.001454","0.0008711","0.02906","0.02906","0.02052","I"
"13","1.635E-08","0.02519","3.824E-11","0.001533","0.00095","0.02767","0.02767","0.01972","I"
"14","1.41E-08","0.02383","3.533E-11","0.001606","0.001025","0.02646","0.02646","0.01901","I"
"15","1.228E-08","0.02262","3.283E-11","0.001675","0.001097","0.02539","0.02539","0.01837","C"
"16","1.08E-08","0.02154","3.066E-11","0.00174","0.001166","0.02445","0.02445","0.01782","I"
"18","8.532E-09","0.01969","2.707E-11","0.001859","0.001293","0.02284","0.02284","0.01687","I"
"20","6.907E-09","0.01816","2.424E-11","0.001967","0.001409","0.02153","0.02153","0.01606","C"
"22","5.709E-09","0.01687","2.194E-11","0.002065","0.001517","0.02045","0.02045","",""
"24","4.798E-09","0.01576","2.004E-11","0.002156","0.001617","0.01953","0.01953","",""
"26","4.088E-09","0.0148","1.844E-11","0.002239","0.00171","0.01875","0.01875","",""
"28","3.524E-09","0.01396","1.708E-11","0.002316","0.001797","0.01807","0.01807","",""
"30","3.07E-09","0.01322","1.59E-11","0.002389","0.001878","0.01748","0.01748","",""
"40","1.727E-09","0.0105","1.184E-11","0.002692","0.002222","0.01542","0.01542","",""
"50","1.105E-09","0.008771","9.422E-12","0.002929","0.002493","0.01419","0.01419","",""
"60","7.672E-10","0.007552","7.827E-12","0.003122","0.002716","0.01339","0.01339","",""
"80","4.315E-10","0.005958","5.847E-12","0.003424","0.003069","0.01245","0.01245","",""
"100","2.76E-10","0.004945","4.667E-12","0.003654","0.003342","0.01194","0.01194","",""
"150","1.227E-10","0.003521","3.101E-12","0.004051","0.003831","0.0114","0.0114","",""
"200","6.901E-11","0.002761","2.322E-12","0.00431","0.004168","0.01124","0.01124","",""
"300","3.067E-11","0.001957","1.546E-12","0.004632","0.004619","0.01121","0.01121","",""
"400","1.725E-11","0.001533","1.158E-12","0.004827","0.004913","0.01127","0.01127","",""
"500","1.104E-11","0.001268","9.261E-13","0.004959","0.005123","0.01135","0.01135","",""
"600","7.666E-12","0.001086","7.713E-13","0.005055","0.005282","0.01142","0.01142","",""
