"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","0.3787","0.01017","60.44","0","0","60.83","60.45","60.45","C"
"0.0015","0.3546","0.02135","16.38","0","0","16.76","16.41","16.38","C"
"0.002","0.3254","0.03486","6.504","0","0","6.864","6.539","6.503","C"
"0.003","0.2627","0.06364","1.681","0","0","2.007","1.744","1.681","C"
"0.004","0.2064","0.08949","0.637","0","0","0.9329","0.7265","0.6379","C"
"0.005","0.1616","0.1103","0.3048","0","0","0.5767","0.4151","0.3061","C"
"0.006","0.128","0.1262","0.1654","0","0","0.4195","0.2915","0.1671","C"
"0.008","0.08426","0.1472","0.06184","0","0","0.2933","0.2091","0.06446","C"
"0.01","0.05905","0.1593","0.0292","0","0","0.2476","0.1885","0.0326","C"
"0.015","0.02955","0.1723","0.007335","0","0","0.2092","0.1796","0.01246","C"
"0.02","0.01756","0.1757","0.002752","0","0","0.196","0.1785","0.00941","C"
"0.03","0.008177","0.175","0.0006873","0","0","0.1838","0.1757","0.01003","C"
"0.04","0.004685","0.1714","0.0002565","0","0","0.1763","0.1716","0.0119","C"
"0.05","0.003026","0.1672","0.0001195","0","0","0.1703","0.1673","0.01375","C"
"0.06","0.002111","0.1629","6.408E-05","0","0","0.1651","0.163","0.01544","C"
"0.08","0.001194","0.155","2.401E-05","0","0","0.1562","0.155","0.01826","C"
"0.1","0.0007658","0.1478","1.126E-05","0","0","0.1486","0.1478","0.02047","C"
"0.15","0.0003412","0.1333","2.883E-06","0","0","0.1336","0.1333","0.02424","C"
"0.2","0.0001921","0.1222","1.118E-06","0","0","0.1224","0.1222","0.02647","C"
"0.3","8.543E-05","0.1063","3.083E-07","0","0","0.1064","0.1063","0.02868","C"
"0.4","4.806E-05","0.0953","1.303E-07","0","0","0.09535","0.0953","0.02951","C"
"0.5","3.077E-05","0.08704","6.974E-08","0","0","0.08707","0.08704","0.02971","C"
"0.6","2.136E-05","0.08052","4.327E-08","0","0","0.08055","0.08052","0.02959","C"
"0.8","1.202E-05","0.07074","2.18E-08","0","0","0.07076","0.07074","0.0289","C"
"1","7.691E-06","0.06361","1.358E-08","0","0","0.06362","0.06361","0.02797","C"
"1.022","7.363E-06","0.06294","1.248E-08","0","0","0.06294","0.06294","0.02785","I"
"1.25","4.923E-06","0.05687","8.519E-09","4.705E-06","0","0.05688","0.05688","0.02674","C"
