"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","11.13","0.004616","3324","0","0","3335","3324","3324","C"
"0.0015","10.66","0.007838","1478","0","0","1489","1478","1478","C"
"0.001662","10.49","0.008853","1192","0","0","1203","1192","1192","C"
"0.001662","10.49","0.008853","1476","0","0","1487","1476","1489","C"
"0.001689","10.46","0.009023","2183","0","0","2193","2183","2160","C"
"0.001716","10.43","0.009194","3222","0","0","3233","3222","3225","C"
"0.001716","10.43","0.009194","3634","0","0","3644","3634","3628","C"
"0.002","10.15","0.01091","3586","0","0","3597","3587","3546","C"
"0.002108","10.03","0.01157","3143","0","0","3153","3143","3108","C"
"0.002108","10.03","0.01157","3647","0","0","3657","3647","3607","C"
"0.002233","9.895","0.01233","3173","0","0","3183","3173","3137","C"
"0.002365","9.757","0.01313","2760","0","0","2769","2760","2731","C"
"0.002365","9.757","0.01313","2933","0","0","2943","2933","2903","C"
"0.00248","9.649","0.01382","2628","0","0","2637","2628","2601","C"
"0.002601","9.535","0.01454","2354","0","0","2363","2354","2331","C"
"0.002601","9.535","0.01454","2456","0","0","2465","2456","2432","C"
"0.003","9.123","0.0169","1759","0","0","1768","1759","1745","C"
"0.004","8.158","0.02257","877.6","0","0","885.7","877.6","872","C"
"0.005","7.281","0.02788","504.1","0","0","511.4","504.1","501.3","C"
"0.006","6.508","0.03278","317.9","0","0","324.4","317.9","316.4","C"
"0.008","5.243","0.04136","151.8","0","0","157.1","151.8","151.2","C"
"0.009561","4.477","0.04707","95.45","0","0","99.97","95.5","95.1","C"
"0.009561","4.477","0.04707","251.2","0","0","255.7","251.2","218.4","C"
"0.01","4.292","0.04855","225.8","0","0","230.1","225.8","197.5","C"
"0.01074","3.998","0.05095","185.4","0","0","189.4","185.4","163.9","C"
"0.01074","3.998","0.05095","254.9","0","0","258.9","254.9","215.1","C"
"0.011","3.903","0.05177","240.4","0","0","244.3","240.4","204.2","C"
"0.01127","3.809","0.0526","226.7","0","0","230.6","226.7","192.8","C"
"0.01127","3.809","0.0526","262.1","0","0","265.9","262.1","221.2","C"
"0.015","2.772","0.06276","126.1","0","0","129","126.2","111.1","C"
"0.02","1.958","0.07342","58.84","0","0","60.87","58.91","53.53","C"
"0.03","1.157","0.08749","19.74","0","0","20.98","19.83","18.51","C"
"0.04","0.7605","0.09521","8.971","0","0","9.827","9.067","8.542","C"
"0.05","0.5375","0.09946","4.842","0","0","5.479","4.941","4.651","C"
"0.06","0.4028","0.1018","2.915","0","0","3.42","3.017","2.82","C"
"0.06535","0.3516","0.1025","2.297","0","0","2.751","2.399","2.228","C"
"0.06535","0.3516","0.1025","11.91","0","0","12.36","12.01","3.557","C"
"0.08","0.253","0.1033","6.994","0","0","7.35","7.097","2.958","C"
"0.1","0.1735","0.1026","3.877","0","0","4.153","3.979","2.075","C"
"0.15","0.08475","0.09784","1.295","0","0","1.477","1.392","0.8973","C"
"0.2","0.05047","0.09221","0.5911","0","0","0.7338","0.6833","0.4645","C"
"0.3","0.02394","0.08239","0.1991","0","0","0.3055","0.2815","0.1853","C"
"0.4","0.01391","0.07483","0.09464","0","0","0.1834","0.1695","0.1035","C"
"0.5","0.009073","0.06886","0.05449","0","0","0.1324","0.1234","0.07044","C"
"0.6","0.00638","0.06404","0.03539","0","0","0.1058","0.09943","0.05409","C"
"0.8","0.003644","0.05655","0.0186","0","0","0.07879","0.07515","0.03886","C"
"1","0.002353","0.05098","0.01168","0","0","0.06502","0.06266","0.03188","C"
"1.022","0.002255","0.05044","0.01118","0","0","0.06388","0.06162","0.03138","I"
"1.25","0.001516","0.04568","0.007537","0.0003085","0","0.05505","0.05353","0.02708","C"
"1.5","0.001057","0.04157","0.005375","0.001439","0","0.04944","0.04838","0.02447","C"
"2","0.0005972","0.03553","0.003257","0.004494","0","0.04388","0.04328","0.0223","C"
"2.044","0.0005719","0.03509","0.00314","0.004771","0","0.04357","0.043","0.02229","I"
"3","0.0002663","0.02797","0.00171","0.01034","9.778E-06","0.0403","0.04003","0.02212","C"
"4","0.00015","0.02335","0.001123","0.01523","3.985E-05","0.03989","0.03974","0.02338","C"
"5","9.606E-05","0.02017","0.0008256","0.01935","7.929E-05","0.04052","0.04042","0.02483","C"
"6","6.67E-05","0.01783","0.0006481","0.02289","0.0001216","0.04155","0.04148","0.0262","C"
"7","4.902E-05","0.01603","0.0005317","0.02601","0.0001636","0.04278","0.04273","0.02743","I"
"8","3.755E-05","0.01459","0.0004497","0.02881","0.0002043","0.04409","0.04405","0.02855","C"
"9","2.966E-05","0.01341","0.0003894","0.03136","0.0002431","0.04543","0.0454","0.02951","I"
"10","2.403E-05","0.01242","0.0003428","0.03371","0.00028","0.04678","0.04675","0.0304","C"
"11","1.986E-05","0.01159","0.0003059","0.03586","0.0003148","0.04809","0.04808","0.03106","I"
"12","1.669E-05","0.01087","0.0002761","0.03789","0.0003475","0.0494","0.04938","0.03167","I"
"13","1.422E-05","0.01024","0.0002516","0.03978","0.0003786","0.05066","0.05065","0.03225","I"
"14","1.226E-05","0.009687","0.0002309","0.04153","0.0004076","0.05187","0.05186","0.03279","I"
"15","1.068E-05","0.009197","0.0002134","0.04315","0.0004356","0.05301","0.053","0.0333","C"
"16","9.39E-06","0.008759","0.0001983","0.04467","0.0004616","0.0541","0.05409","0.03355","I"
"18","7.419E-06","0.008003","0.0001737","0.0474","0.0005105","0.0561","0.05609","0.03402","I"
"20","6.009E-06","0.007382","0.0001545","0.04987","0.0005543","0.05796","0.05796","0.03445","C"
"22","4.966E-06","0.006856","0.000139","0.05209","0.0005948","0.05969","0.05968","",""
"24","4.174E-06","0.006407","0.0001264","0.05408","0.0006316","0.06125","0.06125","",""
"26","3.556E-06","0.006016","0.0001159","0.05594","0.0006657","0.06274","0.06274","",""
"28","3.066E-06","0.005675","0.0001069","0.05763","0.0006971","0.06411","0.06411","",""
"30","2.67E-06","0.005375","9.929E-05","0.05921","0.0007264","0.06542","0.06541","",""
"40","1.502E-06","0.004271","7.308E-05","0.06556","0.0008469","0.07075","0.07075","",""
"50","9.616E-07","0.003566","5.78E-05","0.07028","0.0009373","0.07484","0.07484","",""
"60","6.677E-07","0.003071","4.781E-05","0.07396","0.001008","0.07808","0.07808","",""
"80","3.755E-07","0.002422","3.549E-05","0.07935","0.001115","0.08293","0.08293","",""
"100","2.404E-07","0.002011","2.824E-05","0.08317","0.001192","0.0864","0.0864","",""
"150","1.068E-07","0.001432","1.868E-05","0.08917","0.001318","0.09194","0.09194","",""
"200","6.009E-08","0.001123","1.395E-05","0.09275","0.001396","0.09528","0.09528","",""
"300","2.67E-08","0.0007956","9.265E-06","0.0969","0.001491","0.0992","0.0992","",""
"400","1.502E-08","0.0006232","6.937E-06","0.09926","0.001548","0.1014","0.1014","",""
"500","9.612E-09","0.0005159","5.543E-06","0.1008","0.001586","0.1029","0.1029","",""
"600","6.677E-09","0.0004416","4.616E-06","0.1019","0.001614","0.104","0.104","",""
"800","3.755E-09","0.0003448","3.458E-06","0.1034","0.001653","0.1054","0.1054","",""
"1000","2.404E-09","0.0002838","2.764E-06","0.1044","0.001678","0.1063","0.1063","",""
"1500","1.068E-09","0.0001982","1.841E-06","0.1057","0.001716","0.1077","0.1077","",""
"2000","6.009E-10","0.0001534","1.381E-06","0.1065","0.001738","0.1084","0.1084","",""
"3000","2.67E-10","0.0001067","9.201E-07","0.1073","0.001762","0.1092","0.1092","",""
"4000","1.502E-10","8.232E-05","6.9E-07","0.1077","0.001775","0.1096","0.1096","",""
"5000","9.612E-11","6.731E-05","5.52E-07","0.108","0.001784","0.1099","0.1099","",""
"6000","6.677E-11","5.709E-05","4.599E-07","0.1082","0.00179","0.11","0.11","",""
"8000","3.755E-11","4.396E-05","3.448E-07","0.1084","0.001798","0.1103","0.1103","",""
"10000","2.404E-11","3.59E-05","2.759E-07","0.1086","0.001803","0.1104","0.1104","",""
"15000","1.068E-11","2.482E-05","1.839E-07","0.1088","0.001809","0.1106","0.1106","",""
"20000","6.009E-12","1.908E-05","1.379E-07","0.1089","0.001813","0.1108","0.1108","",""
"30000","2.67E-12","1.315E-05","9.194E-08","0.109","0.001817","0.1109","0.1109","",""
"40000","1.502E-12","1.01E-05","6.896E-08","0.1091","0.00182","0.1109","0.1109","",""
"50000","9.612E-13","8.226E-06","5.516E-08","0.1092","0.001821","0.111","0.111","",""
"60000","6.677E-13","6.954E-06","4.595E-08","0.1092","0.001822","0.111","0.111","",""
