"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","12.34","0.003564","4819","0","0","4831","4819","4817","C"
"0.0015","11.87","0.006464","2162","0","0","2174","2162","2161","C"
"0.002","11.32","0.009322","1172","0","0","1184","1172","1172","C"
"0.002295","10.98","0.01098","866.4","0","0","877.4","866.4","866","C"
"0.002295","10.98","0.01098","978.1","0","0","989.1","978.1","977.8","C"
"0.002339","10.92","0.01123","1439","0","0","1450","1439","1378","C"
"0.002385","10.87","0.01148","2117","0","0","2128","2117","2101","C"
"0.002385","10.87","0.01148","2283","0","0","2294","2283","2261","C"
"0.002606","10.62","0.01268","2173","0","0","2184","2173","2202","C"
"0.002847","10.34","0.01398","2068","0","0","2078","2068","2030","C"
"0.002847","10.34","0.01398","2388","0","0","2399","2388","2343","C"
"0.003","10.17","0.0148","2107","0","0","2117","2107","2069","C"
"0.003278","9.85","0.01627","1694","0","0","1704","1694","1666","C"
"0.003278","9.85","0.01627","1798","0","0","1808","1798","1767","C"
"0.003417","9.695","0.017","1630","0","0","1639","1630","1600","C"
"0.003562","9.535","0.01775","1477","0","0","1487","1477","1454","C"
"0.003562","9.535","0.01775","1540","0","0","1549","1540","1515","C"
"0.004","9.064","0.02001","1170","0","0","1179","1170","1153","C"
"0.005","8.088","0.02497","678.8","0","0","686.9","678.8","671","C"
"0.006","7.241","0.02971","431.4","0","0","438.7","431.4","427.2","C"
"0.008","5.893","0.03846","208.1","0","0","214","208.2","206.5","C"
"0.01","4.882","0.0459","117.2","0","0","122.1","117.2","116.4","C"
"0.01228","3.999","0.05302","68.6","0","0","72.65","68.65","68.21","C"
"0.01228","3.999","0.05302","173.9","0","0","178","174","143.7","C"
"0.01321","3.705","0.05547","142.9","0","0","146.6","142.9","119.7","C"
"0.01421","3.423","0.05797","117.4","0","0","120.9","117.5","99.88","C"
"0.01421","3.423","0.05797","162.8","0","0","166.3","162.9","128.9","C"
"0.01452","3.341","0.05875","154.6","0","0","158","154.6","123.3","C"
"0.01484","3.26","0.0595","146.7","0","0","150.1","146.8","117.3","C"
"0.01484","3.26","0.0595","169.8","0","0","173.1","169.9","134","C"
"0.015","3.221","0.05986","164.8","0","0","168.1","164.9","130.7","C"
"0.02","2.271","0.06989","78.9","0","0","81.24","78.97","66.47","C"
"0.03","1.34","0.08349","26.99","0","0","28.41","27.07","24.1","C"
"0.04","0.8926","0.09145","12.44","0","0","13.42","12.53","11.41","C"
"0.05","0.6335","0.09601","6.773","0","0","7.502","6.869","6.321","C"
