"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","7.951","0.005455","7799","0","0","7807","7799","7797","C"
"0.0015","7.537","0.009871","3123","0","0","3131","3123","3122","C"
"0.002","7.086","0.01417","1571","0","0","1578","1571","1570","C"
"0.003","6.194","0.02204","574.8","0","0","581.1","574.9","574.3","C"
"0.00373","5.596","0.0273","330","0","0","335.6","330","329.8","C"
"0.00373","5.596","0.0273","1041","0","0","1046","1041","998.9","C"
"0.003833","5.515","0.02801","981.5","0","0","987","981.5","946.5","C"
"0.003938","5.434","0.02874","925.7","0","0","931.2","925.7","890.5","C"
"0.003938","5.434","0.02874","1247","0","0","1252","1247","1199","C"
"0.004","5.386","0.02916","1225","0","0","1231","1225","1170","C"
"0.004238","5.212","0.03076","1061","0","0","1066","1061","1016","C"
"0.004238","5.212","0.03076","1218","0","0","1223","1218","1164","C"
"0.005","4.691","0.03568","808.8","0","0","813.5","808.8","778","C"
"0.006","4.106","0.04168","503","0","0","507.2","503.1","487.1","C"
"0.008","3.226","0.05245","235.8","0","0","239","235.8","230.1","C"
"0.01","2.625","0.06178","129.4","0","0","132.1","129.5","126.9","C"
"0.015","1.727","0.07862","42.65","0","0","44.45","42.72","42.06","C"
"0.02","1.209","0.08953","19.14","0","0","20.44","19.23","18.93","C"
"0.02794","0.7547","0.1006","7.458","0","0","8.314","7.559","7.395","C"
"0.02794","0.7547","0.1006","46.47","0","0","47.32","46.57","16.7","C"
"0.03","0.6808","0.1026","38.7","0","0","39.49","38.8","15.53","C"
"0.04","0.4444","0.1095","18.17","0","0","18.73","18.28","9.911","C"
"0.05","0.3146","0.1131","9.876","0","0","10.3","9.989","6.262","C"
"0.06","0.2336","0.1148","5.958","0","0","6.306","6.073","4.135","C"
"0.08","0.1429","0.115","2.649","0","0","2.906","2.764","2.043","C"
"0.1","0.09672","0.1132","1.399","0","0","1.609","1.513","1.15","C"
"0.15","0.04697","0.1064","0.4342","0","0","0.5876","0.5406","0.396","C"
"0.2","0.0277","0.0996","0.1894","0","0","0.3167","0.289","0.1913","C"
"0.3","0.01288","0.08838","0.06016","0","0","0.1614","0.1485","0.07923","C"
"0.4","0.007406","0.07993","0.02756","0","0","0.1149","0.1075","0.05031","C"
"0.5","0.0048","0.07343","0.01548","0","0","0.09371","0.08891","0.03932","C"
"0.6","0.00336","0.06813","0.009892","0","0","0.08138","0.07802","0.03398","C"
"0.8","0.001908","0.06005","0.005109","0","0","0.06707","0.06516","0.02883","C"
"1","0.001227","0.05407","0.003189","0","0","0.05849","0.05726","0.02615","C"
"1.022","0.001175","0.05355","0.003034","0","0","0.05776","0.05658","0.02593","I"
"1.25","0.0007883","0.04843","0.002047","0.0001685","0","0.05143","0.05064","0.02398","C"
"1.5","0.0005481","0.04405","0.001466","0.0007846","0","0.04685","0.0463","0.02254","C"
"2","0.000309","0.03762","0.0008937","0.002694","0","0.04151","0.0412","0.02105","C"
"2.044","0.0002959","0.03715","0.0008623","0.002882","0","0.04119","0.0409","0.02103","I"
"3","0.0001375","0.02961","0.0004751","0.006913","1.036E-05","0.03715","0.03701","0.0206","C"
"4","7.741E-05","0.02471","0.0003153","0.01068","4.226E-05","0.03582","0.03574","0.02127","C"
"5","4.954E-05","0.02134","0.0002335","0.01394","8.413E-05","0.03564","0.03559","0.02223","C"
"6","3.441E-05","0.01887","0.0001845","0.01675","0.0001291","0.03596","0.03593","0.02321","C"
"7","2.529E-05","0.01696","0.000152","0.01925","0.0001738","0.03656","0.03654","0.02416","I"
"8","1.936E-05","0.01543","0.0001291","0.02151","0.0002171","0.03731","0.03729","0.02502","C"
"9","1.529E-05","0.01419","0.000112","0.02356","0.0002586","0.03813","0.03812","0.02581","I"
"10","1.239E-05","0.01314","9.892E-05","0.02543","0.000298","0.03899","0.03897","0.02653","C"
"11","1.024E-05","0.01226","8.848E-05","0.02716","0.0003352","0.03986","0.03985","0.0271","I"
"12","8.607E-06","0.0115","8.004E-05","0.02876","0.0003703","0.04071","0.0407","0.02763","I"
"13","7.332E-06","0.01083","7.301E-05","0.03024","0.0004034","0.04155","0.04154","0.02812","I"
"14","6.32E-06","0.01025","6.713E-05","0.03159","0.0004349","0.04235","0.04235","0.02859","I"
"15","5.507E-06","0.009729","6.21E-05","0.03285","0.0004646","0.04312","0.04311","0.02903","C"
"16","4.84E-06","0.009268","5.78E-05","0.03403","0.0004929","0.04385","0.04385","0.02929","I"
"18","3.825E-06","0.00847","5.072E-05","0.03617","0.0005455","0.04524","0.04524","0.02977","I"
"20","3.098E-06","0.00781","4.518E-05","0.03809","0.0005932","0.04654","0.04654","0.0302","C"
