"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","8.736","0.006885","9078","0","0","9087","9078","9061","C"
"0.00106","8.672","0.007413","7967","0","0","7975","7967","7965","C"
"0.001123","8.606","0.007973","6993","0","0","7002","6993","6979","C"
"0.001123","8.606","0.007973","8016","0","0","8025","8016","8001","C"
"0.001163","8.563","0.00832","7439","0","0","7447","7439","7425","C"
"0.001204","8.519","0.008671","6902","0","0","6911","6902","6890","C"
"0.001204","8.519","0.008671","7314","0","0","7322","7314","7298","C"
"0.00128","8.44","0.009295","6424","0","0","6432","6424","6419","C"
"0.001361","8.354","0.00995","5645","0","0","5653","5645","5634","C"
"0.001361","8.354","0.00995","5896","0","0","5905","5896","5886","C"
"0.0015","8.203","0.0111","4765","0","0","4773","4765","4755","C"
"0.002","7.674","0.01512","2456","0","0","2464","2456","2453","C"
"0.003","6.69","0.02278","920","0","0","926.7","920","919","C"
"0.004","5.844","0.02983","447","0","0","452.9","447","446.8","C"
"0.005","5.133","0.03615","252.7","0","0","257.8","252.7","252.4","C"
"0.005483","4.838","0.0389","199","0","0","203.9","199.1","198.8","C"
"0.005483","4.838","0.0389","571.4","0","0","576.3","571.4","535.6","C"
"0.005683","4.725","0.03998","523.8","0","0","528.6","523.8","493.5","C"
"0.005891","4.609","0.04108","479.9","0","0","484.6","480","451.7","C"
"0.005891","4.609","0.04108","650.3","0","0","655","650.4","602.3","C"
"0.006","4.548","0.04165","627.3","0","0","631.9","627.4","581.9","C"
"0.006266","4.409","0.04301","561","0","0","565.5","561","522.1","C"
"0.006266","4.409","0.04301","647.3","0","0","651.7","647.3","600.3","C"
"0.008","3.638","0.05081","349.2","0","0","352.9","349.2","329","C"
"0.01","2.97","0.05853","193.7","0","0","196.7","193.8","184.7","C"
"0.015","1.953","0.0737","65.29","0","0","67.32","65.37","63.21","C"
