"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","0.4107","0.03079","233.4","0","0","233.8","233.4","233.5","C"
"0.0015","0.3419","0.04575","66.29","0","0","66.68","66.34","66.29","C"
"0.002","0.292","0.05534","26.72","0","0","27.07","26.78","26.72","C"
"0.003","0.2316","0.06915","7.248","0","0","7.549","7.317","7.249","C"
"0.004","0.1936","0.08122","2.84","0","0","3.114","2.921","2.84","C"
"0.005","0.1639","0.09223","1.363","0","0","1.619","1.455","1.364","C"
"0.006","0.139","0.1021","0.7465","0","0","0.9876","0.8486","0.7477","C"
"0.008","0.1009","0.1177","0.2867","0","0","0.5054","0.4045","0.2888","C"
"0.01","0.07485","0.1287","0.136","0","0","0.3396","0.2647","0.1387","C"
"0.015","0.04014","0.1426","0.03478","0","0","0.2176","0.1774","0.0391","C"
"0.02","0.02474","0.1477","0.01315","0","0","0.1856","0.1608","0.01885","C"
"0.03","0.01199","0.1491","0.003333","0","0","0.1644","0.1524","0.01138","C"
"0.04","0.007006","0.1468","0.001254","0","0","0.1551","0.1481","0.01131","C"
"0.05","0.004572","0.1437","0.0005874","0","0","0.1488","0.1443","0.01237","C"
"0.06","0.003211","0.1403","0.0003162","0","0","0.1438","0.1406","0.01361","C"
"0.08","0.001827","0.1336","0.0001191","0","0","0.1356","0.1337","0.01588","C"
"0.1","0.001176","0.1276","5.608E-05","0","0","0.1289","0.1277","0.01776","C"
"0.15","0.0005257","0.1152","1.445E-05","0","0","0.1158","0.1152","0.02098","C"
"0.2","0.0002963","0.1057","5.623E-06","0","0","0.106","0.1057","0.0229","C"
"0.3","0.0001319","0.09197","1.558E-06","0","0","0.0921","0.09197","0.02481","C"
"0.4","7.421E-05","0.08242","6.607E-07","0","0","0.08249","0.08242","0.02552","C"
"0.5","4.75E-05","0.07527","3.541E-07","0","0","0.07532","0.07527","0.02569","C"
"0.6","3.3E-05","0.06964","2.198E-07","0","0","0.06968","0.06964","0.02559","C"
"0.8","1.856E-05","0.06119","1.107E-07","0","0","0.06121","0.06119","0.02499","C"
"1","1.188E-05","0.05502","6.888E-08","0","0","0.05503","0.05502","0.02419","C"
"1.022","1.137E-05","0.05443","6.106E-08","0","0","0.05445","0.05443","0.02408","I"
"1.25","7.604E-06","0.04919","4.154E-08","6.118E-06","0","0.04921","0.0492","0.02312","C"
"1.5","5.28E-06","0.04472","3.025E-08","3.43E-05","0","0.04476","0.04475","0.0221","C"
"2","2.97E-06","0.03816","1.919E-08","0.0001373","0","0.0383","0.0383","0.02028","C"
"2.044","2.844E-06","0.03769","1.858E-08","0.0001481","0","0.03784","0.03784","0.02012","I"
"3","1.32E-06","0.03002","1.085E-08","0.0003943","1.05E-05","0.03043","0.03042","0.01753","C"
"4","7.426E-07","0.02504","7.499E-09","0.0006406","4.288E-05","0.02572","0.02572","0.01561","C"
"5","4.753E-07","0.02162","5.714E-09","0.0008602","8.544E-05","0.02257","0.02257","0.01422","C"
"6","3.3E-07","0.01911","4.61E-09","0.001058","0.0001313","0.0203","0.0203","0.01316","C"
"7","2.425E-07","0.01718","3.861E-09","0.001234","0.0001769","0.01859","0.01859","0.01234","I"
"8","1.857E-07","0.01563","3.32E-09","0.001393","0.0002213","0.01725","0.01725","0.01167","C"
"9","1.467E-07","0.01437","2.911E-09","0.001537","0.0002639","0.01617","0.01617","0.01113","I"
"10","1.188E-07","0.01332","2.592E-09","0.001669","0.0003044","0.01529","0.01529","0.01066","C"
"11","9.821E-08","0.01242","2.335E-09","0.001789","0.000343","0.01455","0.01455","0.01029","I"
"12","8.251E-08","0.01164","2.124E-09","0.001899","0.0003794","0.01392","0.01392","0.009968","I"
"13","7.03E-08","0.01098","1.949E-09","0.002002","0.0004138","0.01339","0.01339","0.009679","I"
"14","6.062E-08","0.01038","1.799E-09","0.002098","0.0004466","0.01292","0.01292","0.009418","I"
"15","5.28E-08","0.009856","1.672E-09","0.002187","0.0004779","0.01252","0.01252","0.009182","C"
"16","4.641E-08","0.009388","1.561E-09","0.002272","0.0005077","0.01217","0.01217","0.008997","I"
"18","3.667E-08","0.008578","1.378E-09","0.002428","0.0005632","0.01157","0.01157","0.008669","I"
"20","2.971E-08","0.00791","1.233E-09","0.002567","0.000614","0.01109","0.01109","0.008385","C"
"22","2.454E-08","0.007347","1.116E-09","0.002695","0.000661","0.0107","0.0107","",""
"24","2.062E-08","0.006865","1.019E-09","0.002811","0.0007043","0.01038","0.01038","",""
"26","1.758E-08","0.006446","9.379E-10","0.002919","0.0007448","0.01011","0.01011","",""
"28","1.516E-08","0.006081","8.685E-10","0.003018","0.0007825","0.009881","0.009881","",""
"30","1.321E-08","0.005758","8.085E-10","0.00311","0.0008179","0.009687","0.009687","",""
"40","7.425E-09","0.004576","6.013E-10","0.003491","0.0009674","0.009035","0.009035","",""
"50","4.752E-09","0.00382","4.787E-10","0.003778","0.001085","0.008683","0.008683","",""
"60","3.3E-09","0.003291","3.975E-10","0.004009","0.001181","0.008481","0.008481","",""
"80","1.856E-09","0.002596","2.969E-10","0.004363","0.00133","0.008289","0.008289","",""
"100","1.188E-09","0.002154","2.369E-10","0.004617","0.001444","0.008215","0.008215","",""
"150","5.279E-10","0.001534","1.574E-10","0.005033","0.001642","0.008209","0.008209","",""
"200","2.969E-10","0.001203","1.178E-10","0.005292","0.001772","0.008267","0.008267","",""
"300","1.32E-10","0.0008525","7.842E-11","0.005609","0.001942","0.008403","0.008403","",""
"400","7.423E-11","0.0006677","5.877E-11","0.005798","0.00205","0.008516","0.008516","",""
"500","4.751E-11","0.0005527","4.699E-11","0.005927","0.002128","0.008608","0.008608","",""
"600","3.3E-11","0.0004732","3.915E-11","0.00602","0.002187","0.00868","0.00868","",""
"800","1.856E-11","0.0003696","2.935E-11","0.006147","0.002272","0.008789","0.008789","",""
"1000","1.188E-11","0.0003041","2.347E-11","0.006231","0.002331","0.008867","0.008867","",""
"1500","5.279E-12","0.0002124","1.564E-11","0.006354","0.002423","0.00899","0.00899","",""
"2000","2.969E-12","0.0001643","1.173E-11","0.006424","0.002478","0.009066","0.009066","",""
"3000","1.32E-12","0.0001143","7.819E-12","0.006499","0.00254","0.009154","0.009154","",""
"4000","7.423E-13","8.824E-05","5.863E-12","0.00654","0.002577","0.009205","0.009205","",""
"5000","4.751E-13","7.213E-05","4.69E-12","0.006566","0.0026","0.009239","0.009239","",""
"6000","3.3E-13","6.116E-05","3.909E-12","0.006585","0.002617","0.009263","0.009263","",""
"8000","1.856E-13","4.712E-05","2.932E-12","0.006609","0.002639","0.009295","0.009295","",""
"10000","1.188E-13","3.847E-05","2.345E-12","0.006624","0.002653","0.009316","0.009316","",""
"15000","5.279E-14","2.658E-05","1.563E-12","0.006645","0.002674","0.009346","0.009346","",""
"20000","2.969E-14","2.044E-05","1.172E-12","0.006657","0.002685","0.009363","0.009363","",""
"30000","1.32E-14","1.41E-05","7.816E-13","0.006669","0.002697","0.00938","0.00938","",""
"40000","7.423E-15","1.082E-05","5.862E-13","0.006675","0.002703","0.00939","0.00939","",""
"50000","4.751E-15","8.815E-06","4.689E-13","0.00668","0.002708","0.009396","0.009396","",""
"60000","3.3E-15","7.449E-06","3.908E-13","0.006682","0.002711","0.009401","0.009401","",""
"80000","1.856E-15","5.712E-06","2.931E-13","0.006686","0.002714","0.009405","0.009405","",""
"100000","1.188E-15","4.647E-06","2.345E-13","0.006688","0.002717","0.009409","0.009409","",""
