"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","1.291","0.01101","3310","0","0","3311","3310","3306","C"
"0.0015","1.175","0.02235","1081","0","0","1083","1081","1080","C"
"0.002","1.046","0.03511","475.9","0","0","477","476","475.5","C"
"0.003","0.8001","0.05985","144.8","0","0","145.6","144.8","144.7","C"
"0.004","0.611","0.08023","60.97","0","0","61.66","61.05","60.94","C"
"0.005","0.4772","0.09566","30.87","0","0","31.44","30.97","30.86","C"
"0.006","0.3838","0.1072","17.59","0","0","18.08","17.7","17.59","C"
"0.008","0.2685","0.1229","7.167","0","0","7.559","7.29","7.17","C"
"0.01","0.203","0.133","3.543","0","0","3.879","3.676","3.545","C"
"0.015","0.1206","0.1483","0.9674","0","0","1.236","1.116","0.9715","C"
"0.02","0.0804","0.1567","0.3808","0","0","0.6179","0.5375","0.3867","C"
"0.03","0.0423","0.1634","0.101","0","0","0.3066","0.2643","0.1099","C"
"0.04","0.02584","0.1639","0.03907","0","0","0.2288","0.2029","0.05051","C"
"0.05","0.01738","0.1619","0.01866","0","0","0.198","0.1806","0.03217","C"
"0.06","0.01247","0.1591","0.01019","0","0","0.1817","0.1693","0.02548","C"
"0.08","0.007296","0.1527","0.003919","0","0","0.1639","0.1566","0.02211","C"
"0.1","0.004768","0.1463","0.001869","0","0","0.1529","0.1482","0.02231","C"
"0.15","0.00217","0.1326","0.0004919","0","0","0.1353","0.1331","0.02472","C"
"0.2","0.001231","0.1218","0.0001942","0","0","0.1233","0.122","0.02665","C"
"0.3","0.0005508","0.1062","5.46E-05","0","0","0.1068","0.1063","0.02873","C"
"0.4","0.0003105","0.09523","2.334E-05","0","0","0.09557","0.09526","0.02952","C"
"0.5","0.0001989","0.08698","1.256E-05","0","0","0.08719","0.08699","0.02969","C"
"0.6","0.0001382","0.08049","7.821E-06","0","0","0.08063","0.08049","0.02956","C"
"0.8","7.778E-05","0.07073","3.946E-06","0","0","0.07081","0.07073","0.02886","C"
"1","4.979E-05","0.06359","2.452E-06","0","0","0.06364","0.06359","0.02792","C"
"1.022","4.768E-05","0.06294","2.276E-06","0","0","0.06299","0.06295","0.0278","I"
"1.25","3.188E-05","0.05688","1.545E-06","1.69E-05","0","0.05693","0.0569","0.02669","C"
"1.5","2.214E-05","0.05168","1.122E-06","9.36E-05","0","0.0518","0.05177","0.0255","C"
"2","1.246E-05","0.04411","7.064E-07","0.0003726","0","0.0445","0.04449","0.02347","C"
"2.044","1.192E-05","0.04355","6.836E-07","0.0004017","0","0.04397","0.04396","0.0233","I"
"3","5.533E-06","0.03471","3.956E-07","0.001066","1.214E-05","0.03579","0.03579","0.02057","C"
"4","3.114E-06","0.02895","2.719E-07","0.00173","4.957E-05","0.03074","0.03073","0.01867","C"
"5","1.993E-06","0.025","2.063E-07","0.002321","9.88E-05","0.02742","0.02742","0.01734","C"
"6","1.384E-06","0.0221","1.66E-07","0.002853","0.0001517","0.02511","0.0251","0.01639","C"
"7","1.017E-06","0.01986","1.387E-07","0.003326","0.0002046","0.0234","0.02339","0.0157","I"
"8","7.786E-07","0.01808","1.191E-07","0.003754","0.0002559","0.02209","0.02209","0.01512","C"
"9","6.153E-07","0.01662","1.043E-07","0.004142","0.0003051","0.02106","0.02106","0.0147","I"
"10","4.983E-07","0.0154","9.274E-08","0.004493","0.000352","0.02024","0.02024","0.01434","C"
"11","4.118E-07","0.01436","8.35E-08","0.004815","0.0003965","0.01957","0.01957","0.01409","I"
"12","3.46E-07","0.01347","7.593E-08","0.005108","0.0004385","0.01901","0.01901","0.01387","I"
"13","2.948E-07","0.01269","6.961E-08","0.005383","0.0004785","0.01855","0.01855","0.01367","I"
"14","2.542E-07","0.012","6.423E-08","0.005637","0.0005164","0.01816","0.01816","0.01349","I"
"15","2.214E-07","0.01139","5.963E-08","0.005877","0.0005525","0.01782","0.01782","0.01332","C"
"16","1.946E-07","0.01085","5.568E-08","0.006101","0.0005869","0.01754","0.01754","0.01321","I"
"18","1.538E-07","0.009919","4.91E-08","0.006509","0.0006509","0.01708","0.01708","0.01302","I"
"20","1.246E-07","0.009145","4.394E-08","0.006875","0.0007094","0.01673","0.01673","0.01285","C"
"22","1.029E-07","0.008496","3.973E-08","0.00721","0.0007636","0.01647","0.01647","",""
"24","8.651E-08","0.007937","3.627E-08","0.007511","0.0008135","0.01626","0.01626","",""
"26","7.369E-08","0.007455","3.336E-08","0.007791","0.0008599","0.01611","0.01611","",""
"28","6.355E-08","0.007034","3.088E-08","0.008044","0.0009033","0.01598","0.01598","",""
"30","5.538E-08","0.00666","2.875E-08","0.008281","0.0009437","0.01588","0.01588","",""
"40","3.114E-08","0.005293","2.136E-08","0.009257","0.001114","0.01566","0.01566","",""
"50","1.993E-08","0.004416","1.699E-08","0.009996","0.001247","0.01566","0.01566","",""
"60","1.384E-08","0.003805","1.411E-08","0.01059","0.001354","0.01575","0.01575","",""
"80","7.782E-09","0.003001","1.053E-08","0.01147","0.001522","0.01599","0.01599","",""
"100","4.983E-09","0.002491","8.401E-09","0.01212","0.001648","0.01626","0.01626","",""
"150","2.214E-09","0.001774","5.581E-09","0.0132","0.001866","0.01684","0.01684","",""
"200","1.245E-09","0.001391","4.177E-09","0.01388","0.00201","0.01728","0.01728","",""
"300","5.533E-10","0.0009859","2.78E-09","0.0147","0.002194","0.01787","0.01787","",""
"400","3.113E-10","0.0007722","2.083E-09","0.01518","0.002308","0.01826","0.01826","",""
"500","1.992E-10","0.0006389","1.665E-09","0.0155","0.002388","0.01853","0.01853","",""
"600","1.384E-10","0.0005473","1.387E-09","0.01573","0.002447","0.01873","0.01873","",""
"800","7.782E-11","0.0004274","1.04E-09","0.01604","0.00253","0.019","0.019","",""
"1000","4.983E-11","0.0003516","8.315E-10","0.01625","0.002586","0.01918","0.01918","",""
"1500","2.214E-11","0.0002455","5.542E-10","0.01654","0.00267","0.01946","0.01946","",""
"2000","1.245E-11","0.00019","4.156E-10","0.01671","0.002717","0.01962","0.01962","",""
"3000","5.533E-12","0.0001321","2.77E-10","0.01689","0.00277","0.01979","0.01979","",""
"4000","3.113E-12","0.000102","2.077E-10","0.01699","0.002801","0.01989","0.01989","",""
"5000","1.992E-12","8.341E-05","1.662E-10","0.01705","0.00282","0.01995","0.01995","",""
"6000","1.384E-12","7.073E-05","1.385E-10","0.01709","0.002833","0.01999","0.01999","",""
"8000","7.782E-13","5.447E-05","1.038E-10","0.01715","0.002851","0.02005","0.02005","",""
"10000","4.983E-13","4.45E-05","8.307E-11","0.01718","0.002863","0.02009","0.02009","",""
"15000","2.214E-13","3.074E-05","5.538E-11","0.01723","0.002878","0.02014","0.02014","",""
"20000","1.245E-13","2.363E-05","4.154E-11","0.01726","0.002887","0.02017","0.02017","",""
"30000","5.533E-14","1.63E-05","2.769E-11","0.01728","0.002896","0.0202","0.0202","",""
"40000","3.113E-14","1.252E-05","2.077E-11","0.0173","0.002901","0.02021","0.02021","",""
"50000","1.992E-14","1.019E-05","1.661E-11","0.01731","0.002904","0.02022","0.02022","",""
"60000","1.384E-14","8.612E-06","1.384E-11","0.01731","0.002906","0.02023","0.02023","",""
"80000","7.782E-15","6.604E-06","1.038E-11","0.01732","0.002909","0.02024","0.02024","",""
"100000","4.983E-15","5.374E-06","8.307E-12","0.01733","0.002911","0.02024","0.02024","",""
