"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","1.919","0.0127","652.3","0","0","654.2","652.3","652.2","C"
"0.001035","1.909","0.01326","593.9","0","0","595.8","593.9","594.1","C"
"0.001072","1.898","0.01384","541.2","0","0","543.1","541.2","541","C"
"0.001072","1.898","0.01384","6433","0","0","6435","6433","6320","C"
"0.0015","1.775","0.01994","3193","0","0","3195","3193","3151","C"
"0.002","1.641","0.02638","1519","0","0","1521","1519","1504","C"
"0.003","1.403","0.03948","505.6","0","0","507","505.6","502.3","C"
"0.004","1.185","0.05284","224.9","0","0","226.1","225","223.8","C"
"0.005","0.9925","0.06557","118.3","0","0","119.4","118.4","117.8","C"
"0.006","0.8306","0.07717","69.39","0","0","70.3","69.47","69.15","C"
"0.008","0.5931","0.09624","29.5","0","0","30.18","29.59","29.41","C"
"0.01","0.4409","0.1101","15.02","0","0","15.57","15.13","14.99","C"
"0.015","0.247","0.13","4.317","0","0","4.694","4.447","4.313","C"
"0.02","0.1612","0.1397","1.756","0","0","2.057","1.896","1.759","C"
"0.03","0.08597","0.1484","0.4854","0","0","0.7198","0.6338","0.4928","C"
"0.04","0.05325","0.1509","0.1927","0","0","0.3969","0.3437","0.2031","C"
"0.05","0.03607","0.1506","0.0937","0","0","0.2804","0.2443","0.1063","C"
"0.06","0.026","0.1489","0.05187","0","0","0.2268","0.2008","0.06625","C"
"0.08","0.01533","0.144","0.02032","0","0","0.1796","0.1643","0.03761","C"
"0.1","0.01009","0.1386","0.009826","0","0","0.1585","0.1484","0.02931","C"
"0.15","0.004642","0.1262","0.002638","0","0","0.1335","0.1289","0.02579","C"
"0.2","0.002648","0.1162","0.001053","0","0","0.1199","0.1173","0.02635","C"
"0.3","0.001191","0.1015","0.0002999","0","0","0.1029","0.1018","0.02771","C"
"0.4","0.0006727","0.09105","0.0001292","0","0","0.09186","0.09118","0.02833","C"
