"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","9.402","0.006317","6618","0","0","6627","6618","6598","C"
"0.001002","9.398","0.006338","6772","0","0","6781","6772","6776","C"
"0.001005","9.394","0.006359","6922","0","0","6932","6922","6918","C"
"0.001005","9.394","0.006359","8513","0","0","8522","8513","8516","C"
"0.001142","9.236","0.007456","7102","0","0","7111","7102","7547","C"
"0.001297","9.106","0.008655","5924","0","0","5934","5924","5908","C"
"0.001297","9.106","0.008655","6822","0","0","6831","6822","6803","C"
"0.001349","9.054","0.009057","6256","0","0","6265","6256","6236","C"
"0.001403","8.997","0.009477","5737","0","0","5746","5737","5719","C"
"0.001403","8.997","0.009477","6083","0","0","6092","6083","6066","C"
"0.0015","8.893","0.01024","5265","0","0","5274","5265","5250","C"
"0.001575","8.814","0.01082","4730","0","0","4739","4730","4717","C"
"0.001575","8.814","0.01082","4943","0","0","4952","4943","4929","C"
"0.002","8.375","0.01407","2870","0","0","2878","2870","2864","C"
"0.003","7.373","0.02146","1086","0","0","1093","1086","1084","C"
"0.004","6.463","0.0283","530.2","0","0","536.7","530.3","529.4","C"
"0.005","5.682","0.03448","300.4","0","0","306.2","300.5","300","C"
"0.006","5.027","0.03996","187.6","0","0","192.7","187.7","187.4","C"
"0.006208","4.906","0.04102","171.7","0","0","176.7","171.8","171.5","C"
"0.006208","4.906","0.04102","484.3","0","0","489.3","484.4","448.4","C"
"0.00646","4.761","0.04228","438.3","0","0","443.1","438.3","407.9","C"
"0.006721","4.618","0.04355","396.7","0","0","401.3","396.7","369.4","C"
"0.006721","4.618","0.04355","541.1","0","0","545.8","541.1","493.9","C"
"0.006921","4.515","0.04446","503.1","0","0","507.6","503.1","461.4","C"
"0.007126","4.413","0.04538","468","0","0","472.5","468.1","429.3","C"
"0.007126","4.413","0.04538","540.3","0","0","544.7","540.3","493.6","C"
"0.008","4.008","0.04922","405.4","0","0","409.4","405.4","373.9","C"
"0.01","3.264","0.05699","226.7","0","0","230","226.7","212.5","C"
"0.015","2.13","0.07244","77.03","0","0","79.23","77.1","73.76","C"
"0.02","1.529","0.08333","35.23","0","0","36.84","35.31","34.07","C"
"0.03","0.8914","0.09628","11.48","0","0","12.46","11.57","11.21","C"
"0.04","0.5799","0.103","5.127","0","0","5.81","5.23","5.033","C"
"0.04357","0.5094","0.1046","4.029","0","0","4.643","4.134","3.962","C"
"0.04357","0.5094","0.1046","23.04","0","0","23.66","23.15","7.296","C"
"0.05","0.4119","0.1067","15.98","0","0","16.5","16.08","6.418","C"
"0.06","0.3093","0.1086","9.907","0","0","10.33","10.02","4.928","C"
"0.08","0.1923","0.1094","4.538","0","0","4.84","4.648","2.815","C"
"0.1","0.1306","0.1082","2.449","0","0","2.688","2.557","1.706","C"
"0.15","0.06363","0.1024","0.7862","0","0","0.9522","0.8885","0.6376","C"
"0.2","0.03778","0.09611","0.3506","0","0","0.4845","0.4467","0.3133","C"
"0.3","0.01774","0.08559","0.1145","0","0","0.2178","0.2001","0.1236","C"
"0.4","0.01025","0.07757","0.05336","0","0","0.1412","0.1309","0.07177","C"
"0.5","0.006663","0.07131","0.03032","0","0","0.1083","0.1016","0.05157","C"
"0.6","0.004672","0.06622","0.01951","0","0","0.0904","0.08573","0.04174","C"
"0.8","0.002662","0.05845","0.01016","0","0","0.07127","0.06861","0.03258","C"
"1","0.001715","0.05265","0.006354","0","0","0.06072","0.059","0.02823","C"
"1.022","0.001642","0.05211","0.006083","0","0","0.05983","0.05819","0.0279","I"
"1.25","0.001103","0.04718","0.0041","0.0002318","0","0.05261","0.05151","0.02505","C"
"1.5","0.0007678","0.04292","0.002931","0.001071","0","0.04769","0.04692","0.02318","C"
"2","0.000433","0.03665","0.00178","0.003502","0","0.04236","0.04193","0.02148","C"
"2.044","0.0004148","0.0362","0.001717","0.003733","0","0.04206","0.04165","0.02147","I"
"3","0.0001929","0.02886","0.0009402","0.008555","1.009E-05","0.03856","0.03836","0.02129","C"
"4","0.0001086","0.02408","0.0006204","0.01291","4.115E-05","0.03776","0.03765","0.02233","C"
"5","6.956E-05","0.0208","0.0004576","0.01665","8.187E-05","0.03806","0.03799","0.0236","C"
"6","4.831E-05","0.01839","0.0003605","0.01987","0.0001256","0.03879","0.03874","0.02483","C"
"7","3.549E-05","0.01652","0.0002964","0.02272","0.0001691","0.03974","0.03971","0.02598","I"
"8","2.718E-05","0.01504","0.0002512","0.02528","0.0002112","0.04081","0.04078","0.02701","C"
"9","2.147E-05","0.01383","0.0002177","0.0276","0.0002514","0.04192","0.04189","0.02792","I"
"10","1.739E-05","0.01281","0.0001919","0.02973","0.0002896","0.04304","0.04303","0.02876","C"
"11","1.437E-05","0.01195","0.0001715","0.0317","0.0003257","0.04416","0.04415","0.0294","I"
"12","1.208E-05","0.01121","0.000155","0.03352","0.0003597","0.04525","0.04524","0.03","I"
"13","1.029E-05","0.01056","0.0001413","0.03523","0.0003917","0.04633","0.04632","0.03056","I"
"14","8.876E-06","0.009987","0.0001298","0.0368","0.0004221","0.04735","0.04734","0.03109","I"
"15","7.732E-06","0.009482","0.00012","0.03826","0.0004509","0.04832","0.04832","0.03159","C"
"16","6.797E-06","0.009031","0.0001116","0.03962","0.0004785","0.04925","0.04924","0.03186","I"
"18","5.369E-06","0.008254","9.786E-05","0.04208","0.000529","0.05097","0.05097","0.03237","I"
"20","4.35E-06","0.007611","8.709E-05","0.0443","0.0005749","0.05258","0.05257","0.03283","C"
"22","3.594E-06","0.007068","7.845E-05","0.04626","0.0006171","0.05403","0.05402","",""
"24","3.02E-06","0.006605","7.135E-05","0.0481","0.0006555","0.05543","0.05543","",""
"26","2.574E-06","0.006204","6.542E-05","0.04973","0.000691","0.05669","0.05669","",""
"28","2.219E-06","0.005853","6.041E-05","0.05127","0.000724","0.05791","0.05791","",""
"30","1.933E-06","0.00554","5.611E-05","0.05265","0.0007549","0.059","0.059","",""
"40","1.087E-06","0.004405","4.135E-05","0.05833","0.0008814","0.06365","0.06365","",""
"50","6.96E-07","0.003676","3.274E-05","0.06254","0.000977","0.06723","0.06723","",""
"60","4.831E-07","0.003167","2.708E-05","0.06584","0.001053","0.07009","0.07009","",""
"80","2.718E-07","0.002498","2.013E-05","0.07068","0.001167","0.07437","0.07437","",""
"100","1.74E-07","0.002073","1.602E-05","0.07411","0.001249","0.07745","0.07745","",""
"150","7.732E-08","0.001476","1.06E-05","0.07958","0.001386","0.08245","0.08245","",""
"200","4.35E-08","0.001158","7.924E-06","0.08283","0.001471","0.08547","0.08547","",""
"300","1.933E-08","0.0008204","5.265E-06","0.08663","0.001576","0.08903","0.08903","",""
"400","1.087E-08","0.0006425","3.94E-06","0.08885","0.001639","0.09113","0.09113","",""
"500","6.96E-09","0.0005319","3.148E-06","0.09027","0.001682","0.09248","0.09248","",""
"600","4.831E-09","0.0004555","2.622E-06","0.09131","0.001713","0.09348","0.09348","",""
"800","2.718E-09","0.0003557","1.964E-06","0.09269","0.001757","0.0948","0.0948","",""
"1000","1.74E-09","0.0002926","1.571E-06","0.09356","0.001786","0.09564","0.09564","",""
"1500","7.732E-10","0.0002044","1.046E-06","0.09486","0.001829","0.09689","0.09689","",""
"2000","4.35E-10","0.0001582","7.845E-07","0.09557","0.001854","0.09758","0.09758","",""
"3000","1.933E-10","0.00011","5.227E-07","0.09632","0.001881","0.09831","0.09831","",""
"4000","1.087E-10","8.488E-05","3.92E-07","0.09674","0.001898","0.09872","0.09872","",""
"5000","6.96E-11","6.943E-05","3.136E-07","0.09699","0.001907","0.09896","0.09896","",""
"6000","4.831E-11","5.887E-05","2.613E-07","0.09715","0.001914","0.09913","0.09913","",""
"8000","2.718E-11","4.534E-05","1.96E-07","0.0974","0.001923","0.09937","0.09937","",""
"10000","1.74E-11","3.702E-05","1.568E-07","0.09753","0.001929","0.0995","0.0995","",""
"15000","7.732E-12","2.559E-05","1.045E-07","0.09774","0.001937","0.0997","0.0997","",""
"20000","4.35E-12","1.967E-05","7.837E-08","0.09786","0.001942","0.09983","0.09983","",""
"30000","1.933E-12","1.356E-05","5.223E-08","0.09799","0.001946","0.09995","0.09995","",""
"40000","1.087E-12","1.042E-05","3.918E-08","0.09803","0.001949","0.09999","0.09999","",""
"50000","6.96E-13","8.484E-06","3.135E-08","0.09807","0.001951","0.1","0.1","",""
"60000","4.831E-13","7.169E-06","2.612E-08","0.09811","0.001952","0.1001","0.1001","",""
"80000","2.718E-13","5.499E-06","1.959E-08","0.09816","0.001954","0.1001","0.1001","",""
