"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering"
"0.001","13.94","0.004519","6938","0","0","6952","6938"
"0.001042","13.88","0.004779","6442","0","0","6456","6442"
"0.001087","13.83","0.005045","5983","0","0","5997","5983"
"0.001087","13.83","0.005045","6366","0","0","6380","6366"
"0.001201","13.72","0.005693","5274","0","0","5288","5274"
"0.001328","13.54","0.00645","4370","0","0","4383","4370"
"0.001328","13.54","0.00645","4428","0","0","4442","4428"
"0.0015","13.31","0.007469","3475","0","0","3489","3475"
"0.001501","13.31","0.007472","3473","0","0","3486","3473"
"0.001501","13.31","0.007472","3539","0","0","3552","3539"
"0.002","12.65","0.01038","1949","0","0","1962","1949"
"0.003","11.34","0.01603","797.7","0","0","809.1","797.7"
"0.003666","10.53","0.01957","504.3","0","0","514.8","504.3"
"0.003666","10.53","0.01957","1205","0","0","1216","1205"
"0.003757","10.42","0.02004","1134","0","0","1144","1134"
"0.00385","10.31","0.02051","1067","0","0","1077","1067"
"0.00385","10.31","0.02051","1512","0","0","1522","1512"
"0.004","10.14","0.02126","1380","0","0","1390","1380"
"0.004435","9.666","0.0234","1070","0","0","1079","1070"
"0.004435","9.666","0.0234","1246","0","0","1256","1246"
"0.005","9.092","0.02601","923.2","0","0","932.3","923.2"
"0.005366","8.744","0.02764","770.8","0","0","779.6","770.8"
"0.005366","8.744","0.02764","818","0","0","826.8","818.1"
"0.005542","8.586","0.02838","755.3","0","0","763.9","755.3"
"0.005723","8.427","0.02914","697.4","0","0","705.8","697.4"
"0.005723","8.427","0.02914","727.1","0","0","735.5","727.1"
"0.006","8.19","0.03028","648.6","0","0","656.8","648.6"
"0.008","6.747","0.03778","318.1","0","0","324.9","318.1"
"0.01","5.65","0.04438","181.7","0","0","187.4","181.8"
"0.015","3.844","0.05767","64.48","0","0","68.38","64.53"
"0.01761","3.219","0.06293","42.58","0","0","45.86","42.64"
"0.01761","3.219","0.06293","101.4","0","0","104.6","101.4"
"0.02","2.772","0.06707","71.62","0","0","74.45","71.68"
"0.0216","2.522","0.06951","58.23","0","0","60.82","58.3"
"0.0216","2.522","0.06951","82.95","0","0","85.54","83.02"
"0.02201","2.464","0.0701","78.96","0","0","81.49","79.03"
"0.02243","2.407","0.0707","75.15","0","0","77.62","75.22"
"0.02243","2.407","0.0707","86.71","0","0","89.18","86.78"
"0.03","1.635","0.07929","41.44","0","0","43.15","41.51"
"0.04","1.099","0.08683","19.59","0","0","20.78","19.68"
"0.05","0.7931","0.09151","10.88","0","0","11.76","10.97"
"0.06","0.5973","0.09425","6.694","0","0","7.386","6.788"
"0.08","0.3752","0.09644","3.094","0","0","3.566","3.191"
"0.1","0.2604","0.09641","1.696","0","0","2.053","1.793"
"0.1187","0.1953","0.09545","1.069","0","0","1.359","1.164"
"0.1187","0.1953","0.09545","4.479","0","0","4.77","4.574"
"0.15","0.1304","0.09285","2.472","0","0","2.696","2.565"
"0.2","0.07812","0.08805","1.186","0","0","1.353","1.274"
"0.3","0.03752","0.07919","0.4245","0","0","0.5412","0.5037"
"0.4","0.02209","0.07212","0.2099","0","0","0.3041","0.282"
"0.5","0.01454","0.06648","0.1242","0","0","0.2052","0.1907"
"0.6","0.01029","0.06191","0.08221","0","0","0.1544","0.1441"
"0.8","0.005932","0.05477","0.0442","0","0","0.1049","0.09898"
