"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","11.7","0.004046","4021","0","0","4033","4021","4019","C"
"0.0015","11.21","0.007137","1790","0","0","1801","1790","1790","C"
"0.00196","10.72","0.009866","1012","0","0","1023","1012","1012","C"
"0.00196","10.72","0.009866","1044","0","0","1055","1044","1969","C"
"0.002","10.67","0.0101","2207","0","0","2218","2207","2179","C"
"0.002031","10.64","0.01028","2582","0","0","2592","2582","2573","C"
"0.002031","10.64","0.01028","2826","0","0","2836","2826","2810","C"
"0.002234","10.42","0.01145","2676","0","0","2686","2676","2797","C"
"0.002457","10.17","0.01272","2534","0","0","2544","2534","2498","C"
"0.002457","10.17","0.01272","2935","0","0","2946","2935","2893","C"
"0.002619","9.992","0.01363","2513","0","0","2523","2513","2478","C"
"0.002792","9.799","0.0146","2152","0","0","2162","2152","2123","C"
"0.002792","9.799","0.0146","2286","0","0","2296","2286","2255","C"
"0.003","9.571","0.01576","1929","0","0","1938","1929","1904","C"
"0.003049","9.518","0.01603","1859","0","0","1869","1859","1836","C"
"0.003049","9.518","0.01603","1939","0","0","1949","1939","1915","C"
"0.004","8.549","0.02116","1014","0","0","1023","1014","1004","C"
"0.005","7.64","0.02629","585.7","0","0","593.4","585.8","581.3","C"
"0.006","6.845","0.03114","370.8","0","0","377.6","370.8","368.2","C"
"0.008","5.557","0.03983","178","0","0","183.6","178","177","C"
"0.01","4.578","0.04708","99.86","0","0","104.5","99.91","99.4","C"
"0.01087","4.227","0.0499","80.3","0","0","84.57","80.35","79.94","C"
"0.01087","4.227","0.0499","207.8","0","0","212.1","207.8","176.2","C"
"0.0116","3.962","0.05216","174.5","0","0","178.5","174.5","149.5","C"
"0.01238","3.698","0.05436","146.6","0","0","150.3","146.6","127.1","C"
"0.01238","3.698","0.05436","202.3","0","0","206.1","202.4","165.4","C"
"0.01267","3.604","0.05511","191.4","0","0","195","191.4","157.6","C"
"0.01297","3.511","0.05585","181","0","0","184.6","181.1","149.4","C"
"0.01297","3.511","0.05585","209.3","0","0","212.9","209.4","171.1","C"
"0.015","2.985","0.06095","144.8","0","0","147.8","144.8","121.8","C"
"0.02","2.104","0.07121","68.2","0","0","70.38","68.27","59.99","C"
"0.03","1.244","0.08504","23.1","0","0","24.43","23.19","21.2","C"
"0.04","0.8229","0.09293","10.58","0","0","11.49","10.67","9.907","C"
"0.05","0.5826","0.09733","5.734","0","0","6.414","5.831","5.437","C"
"0.06","0.436","0.09974","3.467","0","0","4.003","3.567","3.314","C"
"0.07387","0.3124","0.1012","1.946","0","0","2.36","2.047","1.879","C"
"0.07387","0.3124","0.1012","9.746","0","0","10.16","9.847","2.888","C"
"0.08","0.2741","0.1014","7.912","0","0","8.288","8.014","2.756","C"
"0.1","0.1886","0.1009","4.407","0","0","4.697","4.508","2.092","C"
"0.15","0.09242","0.09644","1.491","0","0","1.68","1.587","0.9696","C"
"0.2","0.05506","0.091","0.6868","0","0","0.8328","0.7777","0.515","C"
"0.3","0.02619","0.08143","0.2337","0","0","0.3414","0.3152","0.2085","C"
"0.4","0.01525","0.07399","0.1119","0","0","0.2011","0.1859","0.1161","C"
"0.5","0.009961","0.06811","0.06469","0","0","0.1428","0.1328","0.07813","C"
"0.6","0.00701","0.06336","0.04214","0","0","0.1125","0.1055","0.05923","C"
"0.8","0.004012","0.05598","0.02225","0","0","0.08224","0.07822","0.04157","C"
"1","0.002592","0.05047","0.01399","0","0","0.06705","0.06446","0.03351","C"
"1.022","0.002483","0.04993","0.01339","0","0","0.0658","0.06332","0.03293","I"
"1.25","0.001671","0.04521","0.00903","0.0003353","0","0.05625","0.05458","0.02802","C"
"1.5","0.001165","0.04116","0.006437","0.001576","0","0.05034","0.04917","0.02511","C"
"2","0.0006589","0.03518","0.003894","0.004854","0","0.04458","0.04392","0.02272","C"
"2.044","0.000631","0.03473","0.003755","0.005148","0","0.04427","0.04364","0.02271","I"
"3","0.000294","0.02771","0.002042","0.01095","9.682E-06","0.041","0.04071","0.02248","C"
"4","0.0001656","0.02312","0.001339","0.01598","3.945E-05","0.04065","0.04048","0.02376","C"
