"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","12.51","0.003587","5197","0","0","5209","5197","5197","C"
"0.0015","12.01","0.006601","2344","0","0","2356","2344","2344","C"
"0.002","11.44","0.00962","1274","0","0","1285","1274","1274","C"
"0.002484","10.88","0.0124","790","0","0","800.9","790","789.5","C"
"0.002484","10.88","0.0124","1385","0","0","1396","1385","1366","C"
"0.002534","10.82","0.01268","1636","0","0","1647","1636","1682","C"
"0.002586","10.76","0.01297","1933","0","0","1944","1933","1895","C"
"0.002586","10.76","0.01297","2439","0","0","2450","2439","2390","C"
"0.003","10.27","0.01525","1955","0","0","1965","1955","1913","C"
"0.003066","10.19","0.0156","1847","0","0","1857","1847","1808","C"
"0.003066","10.19","0.0156","2136","0","0","2146","2136","2090","C"
"0.003301","9.929","0.01684","1782","0","0","1792","1782","1748","C"
"0.003554","9.652","0.01813","1486","0","0","1496","1486","1459","C"
"0.003554","9.652","0.01813","1575","0","0","1585","1575","1546","C"
"0.003699","9.496","0.01887","1432","0","0","1441","1432","1405","C"
"0.003851","9.335","0.01963","1302","0","0","1311","1302","1279","C"
"0.003851","9.335","0.01963","1358","0","0","1368","1358","1335","C"
"0.004","9.179","0.02037","1242","0","0","1251","1242","1221","C"
"0.005","8.208","0.02516","722.2","0","0","730.5","722.3","712.4","C"
"0.006","7.362","0.0297","459.8","0","0","467.2","459.8","454.6","C"
"0.008","6.002","0.03807","222.6","0","0","228.7","222.7","220.7","C"
"0.01","4.982","0.0454","125.6","0","0","130.6","125.7","124.7","C"
"0.01304","3.851","0.05435","63.1","0","0","67","63.15","62.7","C"
"0.01304","3.851","0.05435","158.2","0","0","162.1","158.3","129.1","C"
"0.015","3.308","0.0592","108.2","0","0","111.6","108.3","91","C"
"0.0152","3.258","0.05964","104.5","0","0","107.8","104.5","88.07","C"
"0.0152","3.258","0.05964","145.2","0","0","148.5","145.3","113.1","C"
"0.01553","3.18","0.06037","138","0","0","141.2","138.1","108.3","C"
"0.01586","3.104","0.06112","131.2","0","0","134.4","131.3","103.2","C"
"0.01586","3.104","0.06112","151.7","0","0","154.8","151.7","118","C"
