"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering"
"0.001","14.15","0.004439","7180","0","0","7194","7180"
"0.001056","14.09","0.004767","6522","0","0","6537","6522"
"0.001115","14.02","0.005114","5925","0","0","5939","5925"
"0.001115","14.02","0.005114","6303","0","0","6317","6303"
"0.001237","13.88","0.005814","5178","0","0","5192","5178"
"0.001372","13.71","0.006585","4252","0","0","4266","4252"
"0.001372","13.71","0.006585","4310","0","0","4324","4310"
"0.0015","13.55","0.007328","3607","0","0","3621","3607"
"0.001559","13.47","0.007668","3340","0","0","3354","3340"
"0.001559","13.47","0.007668","3403","0","0","3417","3403"
"0.002","12.9","0.01021","2024","0","0","2037","2024"
"0.003","11.58","0.01577","827.8","0","0","839.4","827.8"
"0.003778","10.61","0.01979","488","0","0","498.6","488"
"0.003778","10.61","0.01979","1170","0","0","1181","1170"
"0.003874","10.5","0.02026","1093","0","0","1104","1094"
"0.003973","10.38","0.02075","1022","0","0","1032","1022"
"0.003973","10.38","0.02075","1386","0","0","1396","1386"
"0.004","10.35","0.02088","1416","0","0","1426","1416"
"0.004557","9.732","0.02354","1034","0","0","1043","1034"
"0.004557","9.732","0.02354","1205","0","0","1214","1205"
"0.005","9.271","0.02554","955.5","0","0","964.8","955.5"
"0.005541","8.749","0.02789","734.3","0","0","743.1","734.4"
"0.005541","8.749","0.02789","779.2","0","0","788","779.2"
"0.005734","8.574","0.02868","716.2","0","0","724.8","716.2"
"0.005933","8.399","0.0295","658.3","0","0","666.7","658.3"
"0.005933","8.399","0.0295","686.5","0","0","694.9","686.5"
"0.006","8.341","0.02978","667.6","0","0","676","667.6"
"0.008","6.86","0.03728","328.2","0","0","335.1","328.3"
"0.01","5.741","0.04388","187.7","0","0","193.5","187.8"
"0.015","3.91","0.05734","66.68","0","0","70.65","66.74"
"0.01806","3.184","0.06353","41.29","0","0","44.54","41.35"
"0.01806","3.184","0.06353","97.87","0","0","101.1","97.93"
"0.02","2.824","0.06688","74.19","0","0","77.08","74.26"
"0.02227","2.475","0.07034","55.5","0","0","58.04","55.57"
