"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","5.996","0.006965","3168","0","0","3174","3168","3168","C"
"0.0015","5.652","0.01149","1213","0","0","1219","1213","1213","C"
"0.001804","5.439","0.01432","773","0","0","778.4","773","772.6","C"
"0.001804","5.439","0.01432","3090","0","0","3096","3090","3040","C"
"0.001834","5.417","0.0146","2971","0","0","2976","2971","2915","C"
"0.001864","5.395","0.01488","2856","0","0","2861","2856","2810","C"
"0.001864","5.395","0.01488","3952","0","0","3958","3952","3880","C"
"0.002","5.296","0.01614","3405","0","0","3410","3405","3347","C"
"0.002065","5.249","0.01675","3148","0","0","3153","3148","3096","C"
"0.002065","5.249","0.01675","3601","0","0","3607","3601","3540","C"
"0.003","4.599","0.02523","1413","0","0","1418","1413","1397","C"
"0.004","3.985","0.0336","670.8","0","0","674.8","670.8","664.8","C"
"0.005","3.481","0.04111","370.9","0","0","374.4","370.9","368.2","C"
"0.006","3.069","0.0477","226.9","0","0","230","226.9","225.5","C"
"0.008","2.431","0.05869","103.3","0","0","105.8","103.4","102.8","C"
"0.01","1.954","0.06775","55.64","0","0","57.66","55.71","55.41","C"
"0.015","1.202","0.08505","17.81","0","0","19.09","17.89","17.75","C"
"0.0152","1.182","0.08561","17.15","0","0","18.42","17.24","17.09","C"
"0.0152","1.182","0.08561","119.6","0","0","120.8","119.7","58.64","C"
"0.02","0.8173","0.09681","58.88","0","0","59.8","58.98","35.81","C"
"0.03","0.463","0.1104","19.51","0","0","20.08","19.62","14.36","C"
"0.04","0.2979","0.117","8.695","0","0","9.11","8.812","6.963","C"
"0.05","0.2065","0.12","4.592","0","0","4.918","4.712","3.858","C"
"0.06","0.1517","0.1211","2.706","0","0","2.978","2.827","2.349","C"
"0.08","0.09252","0.1201","1.163","0","0","1.375","1.283","1.056","C"
"0.1","0.0626","0.1176","0.5998","0","0","0.78","0.7174","0.5649","C"
"0.15","0.0301","0.1097","0.179","0","0","0.3188","0.2887","0.1881","C"
"0.2","0.01757","0.1023","0.07617","0","0","0.1961","0.1785","0.09465","C"
"0.3","0.008096","0.0904","0.02344","0","0","0.1219","0.1138","0.0469","C"
"0.4","0.004636","0.08152","0.01054","0","0","0.0967","0.09206","0.03531","C"
"0.5","0.002996","0.07476","0.00585","0","0","0.0836","0.08061","0.03098","C"
"0.6","0.002093","0.06931","0.003708","0","0","0.07511","0.07301","0.02878","C"
"0.8","0.001185","0.06103","0.001901","0","0","0.06412","0.06293","0.02638","C"
"1","0.000761","0.05495","0.001184","0","0","0.05689","0.05613","0.02484","C"
"1.022","0.0007286","0.05437","0.001126","0","0","0.05622","0.05549","0.02469","I"
"1.25","0.0004879","0.04917","0.0007603","0.0001085","0","0.05052","0.05004","0.02332","C"
"1.5","0.0003392","0.04471","0.0005464","0.000527","0","0.04613","0.04579","0.02217","C"
"2","0.000191","0.03818","0.0003347","0.001911","0","0.04061","0.04042","0.02074","C"
"2.044","0.0001829","0.03771","0.0003231","0.002049","0","0.04027","0.04008","0.02069","I"
"3","8.498E-05","0.03005","0.0001797","0.005128","1.051E-05","0.03545","0.03537","0.01983","C"
"4","4.781E-05","0.02507","0.0001201","0.008068","4.291E-05","0.03335","0.0333","0.01996","C"
"5","3.061E-05","0.02165","8.934E-05","0.01065","8.547E-05","0.0325","0.03247","0.02045","C"
"6","2.126E-05","0.01914","7.088E-05","0.01291","0.0001311","0.03227","0.03225","0.02105","C"
"7","1.561E-05","0.0172","5.858E-05","0.01492","0.0001767","0.03237","0.03236","0.02172","I"
"8","1.196E-05","0.01566","4.987E-05","0.01673","0.0002208","0.03267","0.03266","0.02231","C"
"9","9.449E-06","0.0144","4.337E-05","0.01838","0.000263","0.03309","0.03308","0.02289","I"
"10","7.652E-06","0.01334","3.834E-05","0.01988","0.0003032","0.03357","0.03356","0.02343","C"
"11","6.325E-06","0.01244","3.436E-05","0.02126","0.0003412","0.03408","0.03407","0.02387","I"
"12","5.314E-06","0.01167","3.111E-05","0.02251","0.0003771","0.03459","0.03459","0.02429","I"
"13","4.529E-06","0.01099","2.842E-05","0.02367","0.0004109","0.0351","0.0351","0.02467","I"
"14","3.904E-06","0.01039","2.615E-05","0.02474","0.0004431","0.0356","0.0356","0.02504","I"
"15","3.401E-06","0.009872","2.421E-05","0.02573","0.0004736","0.03611","0.0361","0.02538","C"
"16","2.99E-06","0.009399","2.254E-05","0.02667","0.0005026","0.0366","0.03659","0.02562","I"
"18","2.362E-06","0.008589","1.981E-05","0.02837","0.0005564","0.03754","0.03754","0.02605","I"
"20","1.913E-06","0.00792","1.766E-05","0.02991","0.0006053","0.03846","0.03845","0.02645","C"
"22","1.581E-06","0.007356","1.593E-05","0.0313","0.0006502","0.03932","0.03932","",""
"24","1.329E-06","0.006876","1.451E-05","0.03256","0.0006915","0.04014","0.04014","",""
"26","1.132E-06","0.006457","1.332E-05","0.03372","0.00073","0.04092","0.04092","",""
"28","9.759E-07","0.006091","1.231E-05","0.03477","0.0007652","0.04164","0.04164","",""
"30","8.505E-07","0.005767","1.144E-05","0.03574","0.0007983","0.04232","0.04232","",""
"40","4.783E-07","0.004583","8.455E-06","0.03971","0.000935","0.04524","0.04524","",""
"50","3.062E-07","0.003826","6.707E-06","0.04266","0.001039","0.04753","0.04753","",""
"60","2.126E-07","0.003296","5.557E-06","0.04495","0.001122","0.04938","0.04938","",""
"80","1.196E-07","0.002599","4.137E-06","0.04835","0.001246","0.0522","0.0522","",""
"100","7.652E-08","0.002158","3.295E-06","0.05076","0.001338","0.05426","0.05426","",""
"150","3.401E-08","0.001537","2.184E-06","0.05459","0.00149","0.05762","0.05762","",""
"200","1.913E-08","0.001205","1.633E-06","0.05688","0.001585","0.05967","0.05967","",""
"300","8.505E-09","0.000854","1.085E-06","0.05955","0.001703","0.06211","0.06211","",""
"400","4.783E-09","0.0006687","8.124E-07","0.06109","0.001774","0.06353","0.06353","",""
"500","3.061E-09","0.0005536","6.495E-07","0.0621","0.001822","0.06447","0.06447","",""
"600","2.126E-09","0.000474","5.409E-07","0.06282","0.001858","0.06516","0.06516","",""
"800","1.196E-09","0.0003702","4.054E-07","0.06378","0.001907","0.06606","0.06606","",""
"1000","7.652E-10","0.0003045","3.242E-07","0.06441","0.00194","0.06665","0.06665","",""
"1500","3.401E-10","0.0002127","2.16E-07","0.06531","0.00199","0.06751","0.06751","",""
