"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","7.491","0.005529","6162","0","0","6170","6162","6160","C"
"0.0015","7.099","0.01002","2419","0","0","2426","2419","2419","C"
"0.002","6.66","0.01454","1207","0","0","1214","1207","1207","C"
"0.003","5.774","0.02313","438.4","0","0","444.2","438.4","438.2","C"
"0.003004","5.771","0.02316","436.9","0","0","442.7","436.9","436.8","C"
"0.003004","5.771","0.02316","1508","0","0","1513","1508","1461","C"
"0.003074","5.709","0.02372","1416","0","0","1422","1416","1372","C"
"0.003146","5.65","0.02432","1332","0","0","1338","1332","1292","C"
"0.003146","5.65","0.02432","1841","0","0","1847","1841","1777","C"
"0.003276","5.543","0.02536","1666","0","0","1671","1666","1608","C"
"0.003412","5.433","0.02642","1507","0","0","1512","1507","1458","C"
"0.003412","5.433","0.02642","1726","0","0","1731","1726","1669","C"
"0.004","4.981","0.03092","1165","0","0","1170","1165","1132","C"
"0.005","4.318","0.03804","654.3","0","0","658.6","654.3","639.6","C"
"0.006","3.779","0.04462","406.3","0","0","410.1","406.3","398.5","C"
"0.008","2.987","0.05621","188.4","0","0","191.5","188.5","185.7","C"
"0.01","2.443","0.06566","102.8","0","0","105.3","102.8","101.5","C"
"0.015","1.587","0.0824","33.5","0","0","35.17","33.59","33.22","C"
"0.02","1.094","0.09358","14.95","0","0","16.14","15.05","14.84","C"
"0.02322","0.8907","0.0989","9.796","0","0","10.79","9.895","9.736","C"
"0.02322","0.8907","0.0989","63.14","0","0","64.13","63.24","24.58","C"
"0.03","0.6151","0.107","32.58","0","0","33.3","32.69","16.99","C"
"0.04","0.4017","0.114","14.92","0","0","15.44","15.04","9.52","C"
"0.05","0.2825","0.1176","8.047","0","0","8.447","8.164","5.706","C"
"0.06","0.2087","0.1191","4.82","0","0","5.148","4.939","3.649","C"
"0.08","0.1274","0.119","2.118","0","0","2.365","2.237","1.737","C"
"0.1","0.0862","0.1169","1.111","0","0","1.314","1.228","0.9581","C"
"0.15","0.04179","0.1096","0.3402","0","0","0.4916","0.4499","0.3241","C"
"0.2","0.02457","0.1025","0.1472","0","0","0.2742","0.2497","0.1571","C"
"0.3","0.01139","0.09082","0.04628","0","0","0.1485","0.1371","0.06776","C"
"0.4","0.006537","0.08211","0.02107","0","0","0.1097","0.1032","0.04517","C"
"0.5","0.004234","0.07532","0.01179","0","0","0.09134","0.0871","0.03663","C"
"0.6","0.002962","0.06987","0.007514","0","0","0.08035","0.07739","0.03247","C"
"0.8","0.00168","0.06156","0.00387","0","0","0.06711","0.06543","0.02834","C"
"1","0.00108","0.05545","0.002413","0","0","0.05894","0.05786","0.02608","C"
"1.022","0.001034","0.05487","0.002296","0","0","0.0582","0.05717","0.02588","I"
"1.25","0.0006935","0.04964","0.001549","0.0001498","0","0.05203","0.05134","0.02413","C"
"1.5","0.0004822","0.04514","0.001111","0.0007046","0","0.04744","0.04696","0.02278","C"
"2","0.0002717","0.03855","0.0006783","0.002465","0","0.04197","0.0417","0.02131","C"
"2.044","0.0002601","0.03808","0.0006543","0.00264","0","0.04163","0.04137","0.02128","I"
