"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","12.82","0.00319","5813","0","0","5826","5813","5812","C"
"0.001047","12.78","0.003449","5337","0","0","5350","5337","5340","C"
"0.001097","12.72","0.003727","4901","0","0","4914","4901","4895","C"
"0.001097","12.72","0.003727","5004","0","0","5017","5004","5000","C"
"0.0015","12.28","0.006114","2706","0","0","2719","2706","2706","C"
"0.002","11.66","0.009193","1478","0","0","1490","1478","1478","C"
"0.002892","10.55","0.0146","652.9","0","0","663.4","652.9","652.6","C"
"0.002892","10.55","0.0146","2309","0","0","2320","2309","2243","C"
"0.003","10.42","0.01523","1543","0","0","1554","1543","1507","C"
"0.003022","10.39","0.01535","1514","0","0","1524","1514","1479","C"
"0.003022","10.39","0.01535","2459","0","0","2470","2459","2384","C"
"0.00327","10.11","0.01676","1901","0","0","1911","1901","1804","C"
"0.003538","9.803","0.01824","1469","0","0","1479","1469","1433","C"
"0.003538","9.803","0.01824","1700","0","0","1710","1700","1657","C"
"0.004","9.309","0.02066","1257","0","0","1266","1257","1229","C"
"0.004159","9.146","0.02146","1139","0","0","1148","1139","1115","C"
"0.004159","9.146","0.02146","1208","0","0","1217","1208","1182","C"
"0.004317","8.99","0.02223","1104","0","0","1113","1104","1080","C"
"0.004482","8.832","0.02301","1008","0","0","1017","1008","987.7","C"
"0.004482","8.832","0.02301","1052","0","0","1061","1052","1031","C"
"0.005","8.352","0.02541","808","0","0","816.4","808.1","793.1","C"
"0.006","7.522","0.0297","516.5","0","0","524","516.5","508.5","C"
"0.008","6.165","0.03749","251.4","0","0","257.6","251.5","248.5","C"
"0.01","5.135","0.04438","142.5","0","0","147.7","142.5","141.1","C"
"0.01462","3.542","0.05688","53.38","0","0","56.98","53.44","52.96","C"
"0.01462","3.542","0.05688","130.8","0","0","134.4","130.9","104.2","C"
"0.015","3.445","0.05772","122.4","0","0","125.9","122.4","98.07","C"
"0.01734","2.913","0.06241","82.59","0","0","85.57","82.66","68.51","C"
"0.01734","2.913","0.06241","115.5","0","0","118.5","115.6","87.24","C"
"0.01769","2.845","0.06306","110","0","0","112.9","110.1","83.66","C"
"0.01805","2.778","0.06372","104.8","0","0","107.7","104.9","80.02","C"
"0.01805","2.778","0.06372","121.2","0","0","124.1","121.3","91.3","C"
"0.02","2.452","0.06702","93.12","0","0","95.64","93.19","72.31","C"
