"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","3.553","0.01301","5234","0","0","5237","5234","5231","C"
"0.0015","3.244","0.02103","1854","0","0","1857","1854","1853","C"
"0.002","2.952","0.02796","867.5","0","0","870.5","867.5","867.2","C"
"0.003","2.455","0.04062","289.7","0","0","292.2","289.8","289.6","C"
"0.004","2.05","0.05199","131.1","0","0","133.2","131.2","131.1","C"
"0.004493","1.877","0.05709","94.95","0","0","96.88","95.01","94.9","C"
"0.004493","1.877","0.05709","812.8","0","0","814.8","812.9","691.1","C"
"0.005","1.72","0.06198","628.8","0","0","630.6","628.9","543.6","C"
"0.006","1.463","0.07069","391.8","0","0","393.4","391.9","347.4","C"
"0.008","1.107","0.08458","181.6","0","0","182.8","181.7","166.1","C"
"0.01","0.8837","0.0948","98.54","0","0","99.52","98.63","91.75","C"
"0.015","0.5622","0.1119","31.35","0","0","32.02","31.46","29.88","C"
"0.02","0.382","0.1227","13.58","0","0","14.09","13.71","13.11","C"
"0.03","0.2063","0.1338","4.068","0","0","4.408","4.202","3.975","C"
"0.04","0.1304","0.1378","1.701","0","0","1.97","1.839","1.677","C"
"0.05","0.09062","0.1389","0.8577","0","0","1.087","0.9966","0.8552","C"
"0.06","0.06675","0.1385","0.488","0","0","0.6933","0.6265","0.4944","C"
"0.08","0.04041","0.1357","0.1991","0","0","0.3752","0.3348","0.2132","C"
"0.1","0.02697","0.1317","0.09906","0","0","0.2577","0.2308","0.1167","C"
"0.15","0.01266","0.1214","0.02785","0","0","0.1619","0.1492","0.04998","C"
"0.2","0.007314","0.1123","0.01141","0","0","0.1311","0.1237","0.03586","C"
"0.3","0.003331","0.0985","0.00336","0","0","0.1052","0.1019","0.02997","C"
"0.4","0.001893","0.08857","0.001471","0","0","0.09194","0.09004","0.02887","C"
"0.5","0.001218","0.08103","0.0008037","0","0","0.08305","0.08183","0.02837","C"
"0.6","0.0008481","0.07504","0.0005043","0","0","0.07639","0.07555","0.02795","C"
"0.8","0.0004784","0.06601","0.0002563","0","0","0.06675","0.06627","0.02703","C"
"1","0.0003066","0.05938","0.0001594","0","0","0.05985","0.05954","0.02603","C"
"1.022","0.0002936","0.05875","0.000151","0","0","0.0592","0.0589","0.02591","I"
"1.25","0.0001964","0.05311","0.0001022","5.335E-05","0","0.05347","0.05327","0.0248","C"
"1.5","0.0001365","0.04829","7.382E-05","0.000279","0","0.04878","0.04864","0.0237","C"
"2","7.68E-05","0.04122","4.572E-05","0.001086","0","0.04243","0.04235","0.02202","C"
"2.044","7.353E-05","0.04071","4.417E-05","0.00117","0","0.042","0.04192","0.02192","I"
"3","3.415E-05","0.03243","2.497E-05","0.003037","1.135E-05","0.03554","0.0355","0.02016","C"
"4","1.921E-05","0.02706","1.689E-05","0.004876","4.634E-05","0.03202","0.032","0.01933","C"
"5","1.229E-05","0.02336","1.269E-05","0.006506","9.232E-05","0.02999","0.02997","0.01897","C"
"6","8.537E-06","0.02066","1.013E-05","0.007962","0.0001417","0.02878","0.02877","0.01887","C"
"7","6.273E-06","0.01857","8.415E-06","0.009256","0.0001912","0.02803","0.02802","0.01894","I"
"8","4.802E-06","0.01689","7.191E-06","0.01042","0.000239","0.02756","0.02756","0.019","C"
"9","3.795E-06","0.01553","6.275E-06","0.01148","0.0002848","0.0273","0.02729","0.01915","I"
"10","3.073E-06","0.01439","5.563E-06","0.01243","0.0003285","0.02716","0.02715","0.01929","C"
"11","2.54E-06","0.01342","4.995E-06","0.0133","0.0003697","0.0271","0.0271","0.01945","I"
"12","2.134E-06","0.01259","4.532E-06","0.01409","0.0004088","0.02709","0.02709","0.01961","I"
"13","1.819E-06","0.01186","4.146E-06","0.01483","0.0004457","0.02714","0.02714","0.01975","I"
"14","1.569E-06","0.01122","3.822E-06","0.01551","0.0004809","0.02722","0.02722","0.01988","I"
"15","1.366E-06","0.01065","3.543E-06","0.01616","0.0005141","0.02733","0.02732","0.02","C"
"16","1.201E-06","0.01014","3.302E-06","0.01676","0.0005459","0.02745","0.02745","0.02012","I"
"18","9.487E-07","0.00927","2.907E-06","0.01786","0.0006048","0.02773","0.02773","0.02033","I"
"20","7.684E-07","0.008549","2.596E-06","0.01883","0.0006587","0.02805","0.02804","0.02052","C"
"22","6.351E-07","0.007941","2.346E-06","0.01972","0.0007081","0.02837","0.02837","",""
"24","5.337E-07","0.00742","2.138E-06","0.02052","0.0007536","0.0287","0.0287","",""
"26","4.546E-07","0.006967","1.965E-06","0.02126","0.0007958","0.02902","0.02902","",""
"28","3.921E-07","0.006572","1.816E-06","0.02194","0.0008351","0.02935","0.02935","",""
"30","3.416E-07","0.006224","1.691E-06","0.02257","0.0008717","0.02967","0.02967","",""
"40","1.921E-07","0.004946","1.252E-06","0.02514","0.001025","0.03112","0.03112","",""
"50","1.229E-07","0.004129","9.948E-07","0.02706","0.001142","0.03233","0.03233","",""
"60","8.538E-08","0.003557","8.25E-07","0.02856","0.001237","0.03335","0.03335","",""
"80","4.802E-08","0.002805","6.15E-07","0.03078","0.001381","0.03497","0.03497","",""
"100","3.073E-08","0.002328","4.901E-07","0.03239","0.001488","0.03621","0.03621","",""
"150","1.366E-08","0.001658","3.252E-07","0.03499","0.001669","0.03832","0.03832","",""
"200","7.684E-09","0.0013","2.433E-07","0.03658","0.001786","0.03967","0.03967","",""
"300","3.415E-09","0.0009214","1.618E-07","0.03846","0.00193","0.04131","0.04131","",""
"400","1.921E-09","0.0007216","1.212E-07","0.03954","0.00202","0.04229","0.04229","",""
"500","1.229E-09","0.0005973","9.688E-08","0.04028","0.002083","0.04296","0.04296","",""
"600","8.537E-10","0.0005114","8.07E-08","0.0408","0.002129","0.04344","0.04344","",""
"800","4.802E-10","0.0003995","6.048E-08","0.04151","0.002194","0.04411","0.04411","",""
"1000","3.073E-10","0.0003286","4.837E-08","0.04197","0.002237","0.04453","0.04453","",""
"1500","1.366E-10","0.0002295","3.223E-08","0.04264","0.002304","0.04517","0.04517","",""
"2000","7.684E-11","0.0001776","2.417E-08","0.043","0.002343","0.04552","0.04552","",""
"3000","3.415E-11","0.0001235","1.61E-08","0.04339","0.002384","0.0459","0.0459","",""
"4000","1.921E-11","9.534E-05","1.208E-08","0.0436","0.00241","0.04611","0.04611","",""
"5000","1.229E-11","7.795E-05","9.662E-09","0.04375","0.002425","0.04625","0.04625","",""
"6000","8.537E-12","6.609E-05","8.052E-09","0.04384","0.002437","0.04635","0.04635","",""
"8000","4.802E-12","5.093E-05","6.039E-09","0.04396","0.002451","0.04647","0.04647","",""
"10000","3.073E-12","4.158E-05","4.83E-09","0.04404","0.002461","0.04655","0.04655","",""
"15000","1.366E-12","2.873E-05","3.22E-09","0.04415","0.002473","0.04665","0.04665","",""
"20000","7.684E-13","2.209E-05","2.415E-09","0.04421","0.002481","0.04671","0.04671","",""
"30000","3.415E-13","1.523E-05","1.61E-09","0.04427","0.002488","0.04678","0.04678","",""
