"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","8","0.005271","8147","0","0","8155","8147","8144","C"
"0.0015","7.569","0.009684","3288","0","0","3296","3288","3287","C"
"0.002","7.102","0.01405","1658","0","0","1665","1658","1657","C"
"0.003","6.204","0.02202","607.7","0","0","614","607.8","607.7","C"
"0.003929","5.464","0.02858","306","0","0","311.4","306","305.8","C"
"0.003929","5.464","0.02858","920.2","0","0","925.7","920.3","884.5","C"
"0.004","5.408","0.02906","933.9","0","0","939.4","934","894.5","C"
"0.004156","5.296","0.03009","841.6","0","0","846.9","841.6","807.4","C"
"0.004156","5.296","0.03009","1139","0","0","1145","1139","1084","C"
"0.004308","5.189","0.03108","1049","0","0","1055","1049","1002","C"
"0.004465","5.078","0.03208","965.9","0","0","971","965.9","922.1","C"
"0.004465","5.078","0.03208","1112","0","0","1117","1112","1059","C"
"0.005","4.722","0.0354","842.1","0","0","846.9","842.2","806.4","C"
"0.006","4.142","0.04122","525.1","0","0","529.2","525.1","506.5","C"
"0.008","3.256","0.05164","246.7","0","0","250.1","246.8","240","C"
"0.01","2.647","0.06067","135.7","0","0","138.4","135.8","132.7","C"
"0.015","1.744","0.07731","44.82","0","0","46.64","44.9","44.13","C"
"0.02","1.227","0.08807","20.14","0","0","21.46","20.23","19.9","C"
"0.0292","0.7193","0.1001","6.94","0","0","7.759","7.04","6.876","C"
"0.0292","0.7193","0.1001","42.77","0","0","43.58","42.87","15.14","C"
"0.03","0.6914","0.1009","40.42","0","0","41.21","40.52","14.9","C"
"0.04","0.4513","0.1077","18.87","0","0","19.43","18.97","9.835","C"
"0.05","0.3199","0.1113","10.27","0","0","10.7","10.38","6.314","C"
"0.06","0.2378","0.1129","6.214","0","0","6.565","6.327","4.211","C"
"0.08","0.1456","0.1132","2.77","0","0","3.029","2.883","2.101","C"
"0.1","0.09862","0.1115","1.467","0","0","1.677","1.578","1.189","C"
"0.15","0.0479","0.1049","0.4564","0","0","0.6091","0.5612","0.4119","C"
"0.2","0.02827","0.09821","0.1995","0","0","0.326","0.2977","0.199","C"
"0.3","0.01315","0.0872","0.06351","0","0","0.1639","0.1507","0.08179","C"
"0.4","0.007564","0.07888","0.02915","0","0","0.1156","0.108","0.05138","C"
"0.5","0.004906","0.07244","0.01639","0","0","0.09374","0.08883","0.0398","C"
