"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","6.12","0.008406","3487","0","0","3493","3487","3487","C"
"0.0015","5.731","0.01334","1341","0","0","1347","1341","1341","C"
"0.00194","5.402","0.01735","715.5","0","0","720.9","715.5","715.2","C"
"0.00194","5.402","0.01735","2858","0","0","2863","2858","2807","C"
"0.002","5.356","0.0179","2584","0","0","2590","2584","2539","C"
"0.002007","5.351","0.01796","2566","0","0","2572","2566","2521","C"
"0.002007","5.351","0.01796","3573","0","0","3578","3573","3501","C"
"0.002109","5.277","0.01888","3184","0","0","3189","3184","3134","C"
"0.002216","5.197","0.01983","2837","0","0","2842","2837","2786","C"
"0.002216","5.197","0.01983","3236","0","0","3241","3236","3176","C"
"0.003","4.668","0.02658","1521","0","0","1526","1521","1500","C"
"0.004","4.063","0.03455","725.8","0","0","729.9","725.8","718.1","C"
"0.005","3.555","0.04182","402.2","0","0","405.8","402.3","398.8","C"
"0.006","3.136","0.04829","246.4","0","0","249.6","246.4","244.6","C"
"0.008","2.492","0.05911","112.4","0","0","115","112.5","111.8","C"
"0.01","2.014","0.06795","60.65","0","0","62.74","60.72","60.37","C"
"0.015","1.249","0.08481","19.46","0","0","20.79","19.54","19.38","C"
"0.0161","1.14","0.08777","15.91","0","0","17.14","16","15.85","C"
"0.0161","1.14","0.08777","109.6","0","0","110.9","109.7","52","C"
"0.02","0.8495","0.09643","62.92","0","0","63.86","63.01","36.02","C"
"0.03","0.481","0.11","20.97","0","0","21.56","21.08","14.93","C"
"0.04","0.3105","0.1166","9.389","0","0","9.816","9.505","7.346","C"
"0.05","0.2155","0.1197","4.97","0","0","5.305","5.09","4.103","C"
"0.06","0.1584","0.1208","2.935","0","0","3.214","3.056","2.511","C"
"0.08","0.09657","0.12","1.265","0","0","1.481","1.385","1.135","C"
"0.1","0.06539","0.1175","0.6536","0","0","0.8365","0.7712","0.6093","C"
"0.15","0.03148","0.1098","0.1957","0","0","0.3369","0.3054","0.2028","C"
"0.2","0.0184","0.1024","0.08344","0","0","0.2042","0.1858","0.1013","C"
"0.3","0.008481","0.09045","0.02576","0","0","0.1247","0.1162","0.04906","C"
"0.4","0.004858","0.08165","0.0116","0","0","0.09811","0.09325","0.03634","C"
"0.5","0.003141","0.07485","0.006445","0","0","0.08443","0.08129","0.03156","C"
"0.6","0.002195","0.06942","0.004087","0","0","0.0757","0.0735","0.02917","C"
"0.8","0.001243","0.06114","0.002097","0","0","0.06448","0.06323","0.0266","C"
"1","0.000798","0.05503","0.001307","0","0","0.05714","0.05634","0.02498","C"
"1.022","0.0007643","0.05445","0.001242","0","0","0.05646","0.0557","0.02482","I"
"1.25","0.0005118","0.04925","0.0008385","0.0001133","0","0.05072","0.0502","0.02342","C"
"1.5","0.0003558","0.04479","0.0006026","0.0005478","0","0.0463","0.04594","0.02225","C"
"2","0.0002004","0.03824","0.0003689","0.001978","0","0.04079","0.04059","0.02082","C"
"2.044","0.0001919","0.03777","0.0003561","0.00212","0","0.04044","0.04025","0.02077","I"
"3","8.914E-05","0.0301","0.0001979","0.005289","1.054E-05","0.03569","0.0356","0.01995","C"
"4","5.016E-05","0.02511","0.0001321","0.008309","4.298E-05","0.03365","0.0336","0.02013","C"
"5","3.211E-05","0.02169","9.828E-05","0.01096","8.557E-05","0.03286","0.03283","0.02066","C"
"6","2.23E-05","0.01918","7.794E-05","0.01327","0.0001313","0.03268","0.03266","0.0213","C"
"7","1.639E-05","0.01723","6.44E-05","0.01534","0.000177","0.03283","0.03281","0.02199","I"
"8","1.254E-05","0.01568","5.481E-05","0.0172","0.0002212","0.03317","0.03316","0.0226","C"
"9","9.911E-06","0.01442","4.766E-05","0.01889","0.0002634","0.03363","0.03362","0.02321","I"
"10","8.028E-06","0.01336","4.213E-05","0.02043","0.0003036","0.03414","0.03413","0.02377","C"
"11","6.635E-06","0.01246","3.774E-05","0.02184","0.0003417","0.03468","0.03468","0.02423","I"
"12","5.575E-06","0.01168","3.417E-05","0.02313","0.0003776","0.03523","0.03522","0.02465","I"
"13","4.751E-06","0.01101","3.121E-05","0.02432","0.0004115","0.03578","0.03578","0.02505","I"
"14","4.096E-06","0.01041","2.872E-05","0.02542","0.0004437","0.03631","0.0363","0.02543","I"
