"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","11.3","0.004486","3498","0","0","3509","3498","3498","C"
"0.0015","10.82","0.007698","1556","0","0","1566","1556","1555","C"
"0.001735","10.58","0.009139","1144","0","0","1154","1144","1144","C"
"0.001735","10.58","0.009139","1393","0","0","1403","1393","1401","C"
"0.001764","10.55","0.009314","2057","0","0","2067","2057","2024","C"
"0.001793","10.52","0.009492","3034","0","0","3044","3034","3034","C"
"0.001793","10.52","0.009492","3371","0","0","3382","3371","3367","C"
"0.002","10.3","0.01075","3761","0","0","3771","3761","3711","C"
"0.002194","10.08","0.01192","2975","0","0","2985","2975","2939","C"
"0.002194","10.08","0.01192","3455","0","0","3465","3455","3411","C"
"0.002327","9.952","0.01272","2993","0","0","3003","2993","2957","C"
"0.002469","9.811","0.01355","2595","0","0","2604","2595","2566","C"
"0.002469","9.811","0.01355","2758","0","0","2767","2758","2727","C"
"0.002586","9.687","0.01424","2476","0","0","2486","2476","2449","C"
"0.002708","9.555","0.01496","2224","0","0","2233","2224","2201","C"
"0.002708","9.555","0.01496","2320","0","0","2329","2320","2296","C"
"0.003","9.249","0.01666","1829","0","0","1838","1829","1812","C"
"0.004","8.274","0.02227","913.9","0","0","922.2","913.9","907.3","C"
"0.005","7.388","0.02755","525.5","0","0","532.9","525.5","522.3","C"
"0.006","6.61","0.03246","331.6","0","0","338.2","331.6","329.9","C"
"0.008","5.338","0.04107","158.5","0","0","163.9","158.6","157.9","C"
"0.009881","4.426","0.04789","91.52","0","0","96","91.57","91.17","C"
"0.009881","4.426","0.04789","239.3","0","0","243.7","239.3","207.3","C"
"0.01","4.376","0.04829","233.5","0","0","237.9","233.5","202.1","C"
"0.01114","3.934","0.05192","175.1","0","0","179","175.1","154","C"
"0.01114","3.934","0.05192","240.9","0","0","244.9","241","201.8","C"
"0.01141","3.838","0.05275","227.3","0","0","231.2","227.4","191.7","C"
"0.01168","3.744","0.05358","214.5","0","0","218.3","214.5","181.1","C"
"0.01168","3.744","0.05358","247.9","0","0","251.7","248","207.7","C"
"0.015","2.832","0.0624","131.1","0","0","134","131.2","114.3","C"
"0.02","1.999","0.07302","61.27","0","0","63.34","61.34","55.32","C"
"0.03","1.182","0.08706","20.6","0","0","21.87","20.69","19.23","C"
"0.04","0.7781","0.09485","9.382","0","0","10.25","9.477","8.899","C"
"0.05","0.5501","0.09918","5.069","0","0","5.718","5.168","4.854","C"
"0.06","0.4124","0.1015","3.055","0","0","3.569","3.156","2.947","C"
"0.06742","0.3418","0.1024","2.208","0","0","2.652","2.31","2.139","C"
"0.06742","0.3418","0.1024","11.36","0","0","11.8","11.46","3.379","C"
"0.08","0.2589","0.103","7.225","0","0","7.587","7.328","2.924","C"
"0.1","0.1777","0.1025","4.02","0","0","4.3","4.123","2.092","C"
"0.15","0.08686","0.09771","1.346","0","0","1.531","1.444","0.9188","C"
"0.2","0.05175","0.09212","0.616","0","0","0.7599","0.7082","0.4784","C"
"0.3","0.02455","0.08237","0.208","0","0","0.3149","0.2904","0.1915","C"
"0.4","0.01427","0.07478","0.09901","0","0","0.1881","0.1738","0.1069","C"
"0.5","0.009312","0.06886","0.05708","0","0","0.1352","0.1259","0.07248","C"
"0.6","0.00655","0.064","0.03708","0","0","0.1076","0.1011","0.05545","C"
"0.8","0.003744","0.05654","0.01952","0","0","0.07981","0.07607","0.0396","C"
"1","0.002418","0.05099","0.01226","0","0","0.06566","0.06325","0.03235","C"
"1.022","0.002316","0.05045","0.01173","0","0","0.06451","0.06219","0.03183","I"
"1.25","0.001558","0.04566","0.007914","0.000316","0","0.05545","0.05389","0.02736","C"
"1.5","0.001086","0.04157","0.005644","0.001476","0","0.04977","0.04869","0.02468","C"
"2","0.0006137","0.03551","0.003418","0.004593","0","0.04414","0.04352","0.02245","C"
"2.044","0.0005877","0.03508","0.003295","0.004876","0","0.04384","0.04325","0.02244","I"
"3","0.0002737","0.02798","0.001794","0.01052","9.778E-06","0.04057","0.0403","0.02227","C"
"4","0.0001542","0.02335","0.001178","0.01546","3.987E-05","0.04018","0.04003","0.02354","C"
"5","9.871E-05","0.02017","0.0008653","0.01961","7.928E-05","0.04082","0.04073","0.02499","C"
"6","6.859E-05","0.01783","0.0006793","0.02318","0.0001216","0.04188","0.04181","0.02638","C"
"7","5.039E-05","0.01602","0.0005571","0.02633","0.0001636","0.04312","0.04307","0.02762","I"
"8","3.861E-05","0.01459","0.0004713","0.02916","0.0002043","0.04446","0.04442","0.02874","C"
"9","3.049E-05","0.01341","0.0004077","0.03173","0.0002431","0.04582","0.04579","0.0297","I"
"10","2.47E-05","0.01242","0.0003591","0.03408","0.0002799","0.04717","0.04714","0.03058","C"
"11","2.042E-05","0.01159","0.0003204","0.03628","0.0003147","0.04852","0.0485","0.03124","I"
"12","1.716E-05","0.01087","0.0002892","0.03831","0.0003475","0.04983","0.04981","0.03186","I"
"13","1.462E-05","0.01024","0.0002634","0.0402","0.0003784","0.0511","0.05109","0.03243","I"
"14","1.261E-05","0.009688","0.0002418","0.042","0.0004077","0.05235","0.05234","0.03298","I"
"15","1.098E-05","0.009199","0.0002234","0.04363","0.0004353","0.0535","0.05349","0.03349","C"
"16","9.652E-06","0.00876","0.0002076","0.04516","0.0004616","0.0546","0.05459","0.03374","I"
"18","7.625E-06","0.008004","0.0001818","0.04796","0.0005102","0.05666","0.05665","0.03421","I"
"20","6.177E-06","0.007382","0.0001617","0.05042","0.0005541","0.05852","0.05852","0.03464","C"
"22","5.105E-06","0.006856","0.0001456","0.05265","0.0005944","0.06025","0.06025","",""
"24","4.29E-06","0.006407","0.0001323","0.05468","0.0006313","0.06186","0.06185","",""
"26","3.654E-06","0.006017","0.0001213","0.05654","0.0006653","0.06335","0.06335","",""
"28","3.151E-06","0.005674","0.0001119","0.05828","0.0006969","0.06476","0.06476","",""
"30","2.745E-06","0.005375","0.0001039","0.05984","0.0007259","0.06605","0.06604","",""
"40","1.544E-06","0.00427","7.648E-05","0.0663","0.0008463","0.07149","0.07149","",""
"50","9.884E-07","0.003564","6.047E-05","0.07106","0.0009365","0.07562","0.07562","",""
"60","6.863E-07","0.003072","5.002E-05","0.07478","0.001008","0.07891","0.07891","",""
"80","3.861E-07","0.002423","3.714E-05","0.08021","0.001114","0.08378","0.08378","",""
"100","2.471E-07","0.002011","2.955E-05","0.08407","0.001191","0.0873","0.0873","",""
"150","1.098E-07","0.001432","1.954E-05","0.09013","0.001317","0.09289","0.09289","",""
"200","6.177E-08","0.001123","1.46E-05","0.09375","0.001394","0.09628","0.09628","",""
"300","2.745E-08","0.0007957","9.695E-06","0.09791","0.001489","0.1002","0.1002","",""
"400","1.544E-08","0.0006234","7.255E-06","0.1003","0.001545","0.1025","0.1025","",""
"500","9.884E-09","0.0005159","5.798E-06","0.1019","0.001583","0.104","0.104","",""
"600","6.863E-09","0.0004416","4.829E-06","0.103","0.001611","0.1051","0.1051","",""
"800","3.861E-09","0.0003451","3.618E-06","0.1045","0.00165","0.1065","0.1065","",""
"1000","2.471E-09","0.0002838","2.892E-06","0.1055","0.001675","0.1074","0.1074","",""
"1500","1.098E-09","0.0001982","1.927E-06","0.1068","0.001713","0.1087","0.1087","",""
"2000","6.177E-10","0.0001534","1.444E-06","0.1076","0.001734","0.1095","0.1095","",""
"3000","2.745E-10","0.0001067","9.625E-07","0.1084","0.001758","0.1103","0.1103","",""
"4000","1.544E-10","8.234E-05","7.219E-07","0.1089","0.001772","0.1107","0.1107","",""
"5000","9.884E-11","6.733E-05","5.774E-07","0.1091","0.00178","0.111","0.111","",""
"6000","6.863E-11","5.708E-05","4.809E-07","0.1093","0.001786","0.1112","0.1112","",""
"8000","3.861E-11","4.4E-05","3.608E-07","0.1096","0.001794","0.1114","0.1114","",""
"10000","2.471E-11","3.591E-05","2.886E-07","0.1097","0.001799","0.1116","0.1116","",""
"15000","1.098E-11","2.482E-05","1.924E-07","0.11","0.001805","0.1118","0.1118","",""
"20000","6.177E-12","1.908E-05","1.443E-07","0.1101","0.001809","0.1119","0.1119","",""
"30000","2.745E-12","1.316E-05","9.618E-08","0.1102","0.001813","0.112","0.112","",""
"40000","1.544E-12","1.01E-05","7.212E-08","0.1103","0.001815","0.1121","0.1121","",""
"50000","9.884E-13","8.227E-06","5.771E-08","0.1103","0.001817","0.1121","0.1121","",""
"60000","6.863E-13","6.952E-06","4.809E-08","0.1103","0.001818","0.1122","0.1122","",""
