"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","7.117","0.007024","5349","0","0","5357","5349","5348","C"
"0.0015","6.692","0.01209","2085","0","0","2092","2085","2085","C"
"0.002","6.243","0.01674","1038","0","0","1044","1038","1037","C"
"0.002677","5.664","0.02257","501.5","0","0","507.2","501.5","501.4","C"
"0.002677","5.664","0.02257","1806","0","0","1812","1806","1758","C"
"0.002734","5.616","0.02305","1698","0","0","1704","1698","1648","C"
"0.002793","5.568","0.02354","1597","0","0","1602","1597","1555","C"
"0.002793","5.568","0.02354","2218","0","0","2224","2218","2151","C"
"0.003","5.4","0.02524","1857","0","0","1862","1857","1805","C"
"0.003043","5.367","0.02558","1795","0","0","1800","1795","1745","C"
"0.003043","5.367","0.02558","2054","0","0","2059","2054","1995","C"
"0.004","4.673","0.03297","1031","0","0","1036","1032","1009","C"
"0.005","4.07","0.04007","579.5","0","0","583.6","579.5","569.4","C"
"0.006","3.577","0.04663","358.2","0","0","361.9","358.3","353","C"
"0.008","2.844","0.05803","165.4","0","0","168.3","165.5","163.5","C"
"0.01","2.327","0.06723","89.93","0","0","92.32","89.99","89.08","C"
"0.015","1.497","0.08371","29.19","0","0","30.77","29.27","28.98","C"
"0.02","1.025","0.09497","12.98","0","0","14.1","13.07","12.9","C"
"0.02104","0.9565","0.09681","11.24","0","0","12.29","11.33","11.17","C"
"0.02104","0.9565","0.09681","73.75","0","0","74.8","73.85","30.14","C"
"0.03","0.578","0.1086","29.24","0","0","29.93","29.35","16.93","C"
"0.04","0.377","0.1155","13.31","0","0","13.8","13.43","9.075","C"
"0.05","0.2642","0.119","7.141","0","0","7.524","7.26","5.312","C"
"0.06","0.1948","0.1204","4.256","0","0","4.572","4.377","3.348","C"
"0.08","0.1188","0.1201","1.86","0","0","2.099","1.98","1.568","C"
"0.1","0.08045","0.1179","0.9706","0","0","1.169","1.088","0.8572","C"
"0.15","0.03893","0.1104","0.2956","0","0","0.445","0.406","0.288","C"
"0.2","0.02285","0.1031","0.1274","0","0","0.2534","0.2305","0.1403","C"
"0.3","0.01057","0.09134","0.03984","0","0","0.1418","0.1312","0.06214","C"
"0.4","0.006067","0.08248","0.01808","0","0","0.1066","0.1006","0.04257","C"
"0.5","0.003927","0.07566","0.01009","0","0","0.08968","0.08575","0.03521","C"
"0.6","0.002747","0.07018","0.006421","0","0","0.07935","0.0766","0.03159","C"
"0.8","0.001557","0.06188","0.003305","0","0","0.06674","0.06518","0.02797","C"
"1","0.001001","0.0557","0.002061","0","0","0.05876","0.05776","0.02589","C"
"1.022","0.0009583","0.05512","0.001961","0","0","0.05804","0.05708","0.02571","I"
"1.25","0.0006422","0.04986","0.001323","0.0001396","0","0.05196","0.05132","0.02406","C"
"1.5","0.0004466","0.04534","0.0009497","0.0006618","0","0.0474","0.04696","0.02276","C"
"2","0.0002516","0.03872","0.0005799","0.002337","0","0.04189","0.04164","0.02129","C"
"2.044","0.0002409","0.03825","0.0005597","0.002503","0","0.04155","0.04131","0.02125","I"
"3","0.0001119","0.03048","0.0003097","0.006145","1.067E-05","0.03705","0.03694","0.02061","C"
"4","6.298E-05","0.02543","0.0002062","0.009577","4.351E-05","0.03532","0.03526","0.02103","C"
"5","4.033E-05","0.02196","0.0001531","0.01257","8.66E-05","0.03482","0.03478","0.02178","C"
"6","2.8E-05","0.01942","0.0001212","0.01517","0.0001329","0.03487","0.03484","0.02258","C"
"7","2.057E-05","0.01745","0.0001","0.01749","0.0001791","0.03524","0.03522","0.02341","I"
"8","1.575E-05","0.01588","8.5E-05","0.01958","0.0002238","0.03578","0.03577","0.02415","C"
"9","1.245E-05","0.0146","7.387E-05","0.02148","0.0002665","0.03643","0.03642","0.02485","I"
"10","1.008E-05","0.01353","6.526E-05","0.02321","0.0003071","0.03712","0.03711","0.02549","C"
"11","8.334E-06","0.01262","5.841E-05","0.02481","0.0003456","0.03783","0.03783","0.026","I"
"12","7E-06","0.01183","5.286E-05","0.02627","0.0003818","0.03855","0.03854","0.02648","I"
"13","5.966E-06","0.01115","4.826E-05","0.02762","0.000416","0.03924","0.03923","0.02692","I"
"14","5.145E-06","0.01055","4.438E-05","0.02887","0.0004485","0.03991","0.03991","0.02734","I"
