"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","8.052","0.004743","8424","0","0","8432","8424","8419","C"
"0.001003","8.049","0.004767","8372","0","0","8380","8372","8365","C"
"0.001006","8.047","0.00479","8321","0","0","8329","8321","8311","C"
"0.001006","8.047","0.00479","8675","0","0","8683","8675","8668","C"
"0.0015","7.608","0.008948","3600","0","0","3608","3600","3598","C"
"0.002","7.122","0.01326","1825","0","0","1832","1825","1824","C"
"0.003","6.197","0.02137","673","0","0","679.2","673","672.6","C"
"0.004","5.404","0.02845","324.3","0","0","329.7","324.3","324","C"
"0.004341","5.163","0.03063","262.6","0","0","267.8","262.7","262.5","C"
"0.004341","5.163","0.03063","783","0","0","788.2","783","746","C"
"0.004475","5.074","0.03146","737.5","0","0","742.6","737.6","707.8","C"
"0.004612","4.984","0.03231","694.7","0","0","699.7","694.7","662.9","C"
"0.004612","4.984","0.03231","939.7","0","0","944.7","939.7","888","C"
"0.004773","4.878","0.03327","867.7","0","0","872.6","867.8","823.7","C"
"0.004939","4.771","0.03425","801.4","0","0","806.2","801.4","760","C"
"0.004939","4.771","0.03425","924.6","0","0","929.4","924.6","874.4","C"
"0.005","4.734","0.03461","896.7","0","0","901.5","896.7","848.7","C"
"0.006","4.17","0.04011","567.8","0","0","572","567.8","542.3","C"
"0.008","3.29","0.04984","266.8","0","0","270.2","266.9","257.8","C"
"0.01","2.671","0.05824","147.4","0","0","150.1","147.4","143.3","C"
"0.015","1.76","0.07419","48.94","0","0","50.78","49.02","48.02","C"
"0.02","1.248","0.08462","22.08","0","0","23.41","22.16","21.75","C"
"0.03","0.707","0.09699","7.075","0","0","7.879","7.172","6.997","C"
"0.03181","0.6489","0.09845","5.989","0","0","6.736","6.088","5.929","C"
"0.03181","0.6489","0.09845","36.45","0","0","37.2","36.55","12.51","C"
"0.04","0.461","0.1035","20.08","0","0","20.65","20.19","9.48","C"
"0.05","0.3273","0.107","11.02","0","0","11.45","11.12","6.33","C"
"0.06","0.244","0.1087","6.688","0","0","7.04","6.796","4.306","C"
"0.08","0.1498","0.1091","2.996","0","0","3.255","3.105","2.195","C"
"0.1","0.1015","0.1075","1.592","0","0","1.801","1.699","1.256","C"
"0.15","0.04932","0.1012","0.4989","0","0","0.6494","0.6001","0.4409","C"
"0.2","0.02916","0.09486","0.2188","0","0","0.3429","0.3137","0.2132","C"
"0.3","0.01359","0.08424","0.07004","0","0","0.1679","0.1543","0.08646","C"
"0.4","0.007825","0.07627","0.03224","0","0","0.1163","0.1085","0.05326","C"
"0.5","0.005074","0.07004","0.01817","0","0","0.09328","0.0882","0.04055","C"
"0.6","0.003556","0.06504","0.01163","0","0","0.08022","0.07666","0.0344","C"
"0.8","0.002021","0.05734","0.006017","0","0","0.06538","0.06336","0.02854","C"
"1","0.0013","0.05163","0.003759","0","0","0.05669","0.05539","0.02559","C"
"1.022","0.001245","0.05111","0.003577","0","0","0.05594","0.05469","0.02535","I"
"1.25","0.0008354","0.04623","0.002413","0.0001779","0","0.04966","0.04882","0.02327","C"
"1.5","0.000581","0.04205","0.001727","0.000824","0","0.04518","0.0446","0.02179","C"
"2","0.0003276","0.03592","0.001052","0.002792","0","0.04009","0.03976","0.02033","C"
"2.044","0.0003137","0.03548","0.001014","0.002983","0","0.03979","0.03947","0.02031","I"
"3","0.0001458","0.02827","0.0005578","0.00707","9.892E-06","0.03606","0.03591","0.01998","C"
"4","8.207E-05","0.02359","0.0003697","0.01086","4.034E-05","0.03494","0.03486","0.02075","C"
"5","5.258E-05","0.02038","0.0002735","0.01413","8.028E-05","0.03492","0.03486","0.02177","C"
"6","3.65E-05","0.01801","0.0002159","0.01695","0.0001232","0.03534","0.0353","0.02279","C"
"7","2.682E-05","0.01619","0.0001778","0.01945","0.0001659","0.03602","0.03599","0.02377","I"
"8","2.053E-05","0.01474","0.0001509","0.02171","0.0002072","0.03683","0.03681","0.02466","C"
"9","1.623E-05","0.01355","0.0001309","0.02376","0.0002467","0.0377","0.03769","0.02546","I"
"10","1.314E-05","0.01255","0.0001155","0.02564","0.0002843","0.0386","0.03859","0.0262","C"
"11","1.086E-05","0.01171","0.0001033","0.02736","0.0003198","0.03951","0.0395","0.02677","I"
"12","9.128E-06","0.01098","9.34E-05","0.02896","0.0003533","0.0404","0.04039","0.02731","I"
"13","7.778E-06","0.01035","8.519E-05","0.03045","0.0003848","0.04127","0.04127","0.02781","I"
"14","6.706E-06","0.009788","7.834E-05","0.03182","0.0004148","0.04211","0.0421","0.02828","I"
"15","5.843E-06","0.009293","7.244E-05","0.03309","0.0004431","0.0429","0.0429","0.02873","C"
"16","5.135E-06","0.008849","6.74E-05","0.03426","0.0004701","0.04366","0.04365","0.02899","I"
"18","4.056E-06","0.008085","5.914E-05","0.03642","0.0005201","0.04508","0.04508","0.02946","I"
"20","3.286E-06","0.007457","5.267E-05","0.03834","0.0005654","0.04642","0.04642","0.02989","C"
"22","2.716E-06","0.006928","4.748E-05","0.04009","0.0006069","0.04767","0.04767","",""
"24","2.282E-06","0.00647","4.318E-05","0.04167","0.0006452","0.04883","0.04883","",""
"26","1.944E-06","0.006079","3.962E-05","0.04312","0.0006801","0.04992","0.04992","",""
"28","1.676E-06","0.005734","3.659E-05","0.04444","0.0007127","0.05093","0.05093","",""
"30","1.461E-06","0.005427","3.399E-05","0.04567","0.0007429","0.05187","0.05187","",""
"40","8.217E-07","0.004314","2.507E-05","0.05064","0.0008684","0.05585","0.05585","",""
"50","5.258E-07","0.003601","1.986E-05","0.05432","0.0009637","0.05891","0.05891","",""
"60","3.651E-07","0.003103","1.644E-05","0.05715","0.001039","0.06131","0.06131","",""
"80","2.053E-07","0.002447","1.223E-05","0.0614","0.001153","0.06501","0.06501","",""
"100","1.314E-07","0.002031","9.732E-06","0.06437","0.001235","0.06765","0.06765","",""
"150","5.843E-08","0.001447","6.442E-06","0.06914","0.001371","0.07197","0.07197","",""
"200","3.286E-08","0.001134","4.814E-06","0.07202","0.001457","0.07462","0.07462","",""
"300","1.46E-08","0.0008037","3.2E-06","0.07532","0.001562","0.07769","0.07769","",""
"400","8.217E-09","0.0006296","2.396E-06","0.07726","0.001624","0.07952","0.07952","",""
"500","5.258E-09","0.000521","1.914E-06","0.07853","0.001667","0.08072","0.08072","",""
"600","3.651E-09","0.0004462","1.594E-06","0.07943","0.001699","0.08158","0.08158","",""
"800","2.053E-09","0.0003485","1.195E-06","0.08061","0.001742","0.0827","0.0827","",""
"1000","1.314E-09","0.0002867","9.552E-07","0.08141","0.001771","0.08347","0.08347","",""
"1500","5.843E-10","0.0002002","6.362E-07","0.0825","0.001814","0.08451","0.08451","",""
"2000","3.286E-10","0.000155","4.771E-07","0.08311","0.001838","0.0851","0.0851","",""
"3000","1.46E-10","0.0001077","3.18E-07","0.08377","0.001865","0.08574","0.08574","",""
"4000","8.217E-11","8.316E-05","2.384E-07","0.08415","0.00188","0.08611","0.08611","",""
"5000","5.258E-11","6.801E-05","1.907E-07","0.08439","0.00189","0.08634","0.08634","",""
"6000","3.651E-11","5.767E-05","1.59E-07","0.08453","0.001896","0.08648","0.08648","",""
"8000","2.053E-11","4.443E-05","1.192E-07","0.08472","0.001905","0.08667","0.08667","",""
"10000","1.314E-11","3.627E-05","9.533E-08","0.08486","0.001911","0.0868","0.0868","",""
"15000","5.843E-12","2.507E-05","6.357E-08","0.08505","0.001918","0.08699","0.08699","",""
"20000","3.286E-12","1.927E-05","4.767E-08","0.08514","0.001923","0.08708","0.08708","",""
"30000","1.46E-12","1.329E-05","3.178E-08","0.08523","0.001927","0.08718","0.08718","",""
"40000","8.217E-13","1.02E-05","2.383E-08","0.08528","0.00193","0.08722","0.08722","",""
"50000","5.258E-13","8.311E-06","1.907E-08","0.08533","0.001931","0.08727","0.08727","",""
"60000","3.651E-13","7.023E-06","1.589E-08","0.08533","0.001933","0.08727","0.08727","",""
"80000","2.053E-13","5.385E-06","1.192E-08","0.08538","0.001934","0.08732","0.08732","",""
"100000","1.314E-13","4.382E-06","9.533E-09","0.08538","0.001935","0.08732","0.08732","",""
