"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","3.692","0.01182","5865","0","0","5869","5865","5860","C"
"0.0015","3.387","0.0195","2093","0","0","2096","2093","2091","C"
"0.002","3.093","0.02619","982.9","0","0","986.1","983","982.4","C"
"0.003","2.581","0.03837","329.7","0","0","332.3","329.7","329.5","C"
"0.004","2.157","0.0494","149.5","0","0","151.8","149.6","149.4","C"
"0.004966","1.824","0.05884","81.92","0","0","83.8","81.98","81.88","C"
"0.004966","1.824","0.05884","685.9","0","0","687.7","685.9","568.4","C"
"0.005","1.814","0.05914","682","0","0","683.8","682","565.7","C"
"0.006","1.541","0.06769","430.8","0","0","432.4","430.8","369.1","C"
"0.008","1.16","0.08158","201.1","0","0","202.4","201.2","179.3","C"
"0.01","0.9203","0.09193","109.7","0","0","110.7","109.8","100.1","C"
"0.015","0.5854","0.109","35.18","0","0","35.87","35.29","33.11","C"
"0.02","0.4006","0.1196","15.33","0","0","15.85","15.45","14.65","C"
"0.03","0.217","0.1308","4.624","0","0","4.971","4.754","4.488","C"
"0.04","0.1371","0.135","1.941","0","0","2.213","2.076","1.904","C"
"0.05","0.09528","0.1361","0.9821","0","0","1.213","1.118","0.9737","C"
"0.06","0.07025","0.1357","0.5601","0","0","0.766","0.6958","0.5634","C"
"0.08","0.04264","0.1331","0.2295","0","0","0.4052","0.3626","0.2422","C"
"0.1","0.0285","0.1292","0.1144","0","0","0.2721","0.2436","0.1312","C"
"0.15","0.0134","0.1192","0.03229","0","0","0.1649","0.1515","0.05393","C"
"0.2","0.007749","0.1104","0.01327","0","0","0.1314","0.1236","0.03726","C"
"0.3","0.003534","0.09683","0.003918","0","0","0.1043","0.1008","0.03007","C"
"0.4","0.00201","0.08709","0.001719","0","0","0.09082","0.08881","0.02864","C"
"0.5","0.001293","0.07968","0.0009398","0","0","0.08191","0.08062","0.02804","C"
"0.6","0.0009007","0.07381","0.0005901","0","0","0.0753","0.0744","0.02756","C"
"0.8","0.0005083","0.06491","0.0003","0","0","0.06572","0.06521","0.02661","C"
"1","0.0003258","0.0584","0.0001865","0","0","0.05891","0.05858","0.02561","C"
"1.022","0.0003119","0.05778","0.0001768","0","0","0.05827","0.05796","0.02549","I"
"1.25","0.0002087","0.05225","0.0001197","5.568E-05","0","0.05263","0.05242","0.02439","C"
"1.5","0.000145","0.04749","8.642E-05","0.0002895","0","0.04801","0.04787","0.0233","C"
"2","8.16E-05","0.04054","5.347E-05","0.001124","0","0.0418","0.04171","0.02166","C"
"2.044","7.813E-05","0.04005","5.166E-05","0.001211","0","0.04139","0.04131","0.02156","I"
"3","3.629E-05","0.03191","2.918E-05","0.003134","1.116E-05","0.03512","0.03508","0.01989","C"
"4","2.041E-05","0.02661","1.972E-05","0.005029","4.558E-05","0.03173","0.03171","0.01913","C"
"5","1.307E-05","0.02299","1.48E-05","0.006705","9.081E-05","0.02982","0.0298","0.01884","C"
"6","9.073E-06","0.02031","1.181E-05","0.008203","0.0001395","0.02868","0.02867","0.01879","C"
"7","6.666E-06","0.01826","9.807E-06","0.009534","0.0001879","0.028","0.02799","0.0189","I"
"8","5.104E-06","0.01661","8.378E-06","0.01073","0.0002349","0.02759","0.02759","0.01899","C"
"9","4.032E-06","0.01528","7.308E-06","0.01182","0.0002801","0.02739","0.02738","0.01917","I"
"10","3.266E-06","0.01415","6.479E-06","0.01279","0.000323","0.02727","0.02727","0.01933","C"
"11","2.699E-06","0.01321","5.816E-06","0.01368","0.0003636","0.02726","0.02726","0.01952","I"
"12","2.268E-06","0.01238","5.276E-06","0.0145","0.000402","0.02729","0.02729","0.01969","I"
"13","1.933E-06","0.01166","4.827E-06","0.01527","0.0004382","0.02738","0.02738","0.01984","I"
"14","1.667E-06","0.01104","4.447E-06","0.01596","0.0004728","0.02748","0.02747","0.01999","I"
"15","1.451E-06","0.01048","4.123E-06","0.01663","0.0005056","0.02762","0.02761","0.02013","C"
"16","1.275E-06","0.009977","3.842E-06","0.01724","0.0005368","0.02776","0.02776","0.02025","I"
"18","1.008E-06","0.009119","3.382E-06","0.01836","0.0005947","0.02808","0.02808","0.02047","I"
"20","8.167E-07","0.008408","3.02E-06","0.01938","0.0006475","0.02844","0.02844","0.02067","C"
"22","6.749E-07","0.007811","2.728E-06","0.02029","0.000696","0.0288","0.0288","",""
"24","5.671E-07","0.007299","2.487E-06","0.02112","0.0007408","0.02916","0.02916","",""
"26","4.832E-07","0.006854","2.285E-06","0.02187","0.0007822","0.02951","0.02951","",""
"28","4.167E-07","0.006465","2.113E-06","0.02258","0.0008208","0.02986","0.02986","",""
"30","3.63E-07","0.006121","1.966E-06","0.02322","0.0008568","0.0302","0.0302","",""
"40","2.041E-07","0.004865","1.456E-06","0.02586","0.001007","0.03173","0.03173","",""
"50","1.307E-07","0.00406","1.157E-06","0.02782","0.001122","0.03301","0.03301","",""
"60","9.073E-08","0.003499","9.592E-07","0.02936","0.001215","0.03407","0.03407","",""
"80","5.104E-08","0.00276","7.149E-07","0.03166","0.001356","0.03577","0.03577","",""
"100","3.266E-08","0.00229","5.698E-07","0.03331","0.001462","0.03706","0.03706","",""
"150","1.451E-08","0.001631","3.78E-07","0.03597","0.001638","0.03924","0.03924","",""
"200","8.165E-09","0.001279","2.827E-07","0.03759","0.001751","0.04062","0.04062","",""
"300","3.629E-09","0.0009063","1.88E-07","0.03951","0.001893","0.04231","0.04231","",""
"400","2.041E-09","0.0007099","1.409E-07","0.04063","0.00198","0.04332","0.04332","",""
"500","1.307E-09","0.0005876","1.126E-07","0.04137","0.00204","0.044","0.044","",""
"600","9.073E-10","0.0005031","9.379E-08","0.04191","0.002085","0.0445","0.0445","",""
"800","5.104E-10","0.0003929","7.03E-08","0.04263","0.002148","0.04517","0.04517","",""
"1000","3.266E-10","0.0003232","5.622E-08","0.04309","0.002191","0.04561","0.04561","",""
"1500","1.451E-10","0.0002258","3.746E-08","0.04377","0.002254","0.04625","0.04625","",""
"2000","8.165E-11","0.0001747","2.809E-08","0.04413","0.002292","0.0466","0.0466","",""
"3000","3.629E-11","0.0001215","1.872E-08","0.04454","0.002332","0.04699","0.04699","",""
"4000","2.041E-11","9.378E-05","1.404E-08","0.04475","0.002356","0.0472","0.0472","",""
"5000","1.307E-11","7.667E-05","1.123E-08","0.04489","0.002371","0.04734","0.04734","",""
"6000","9.073E-12","6.501E-05","9.358E-09","0.04499","0.002381","0.04744","0.04744","",""
"8000","5.104E-12","5.01E-05","7.018E-09","0.04512","0.002395","0.04756","0.04756","",""
"10000","3.266E-12","4.09E-05","5.615E-09","0.04519","0.002404","0.04764","0.04764","",""
"15000","1.451E-12","2.826E-05","3.743E-09","0.0453","0.002416","0.04775","0.04775","",""
"20000","8.165E-13","2.173E-05","2.807E-09","0.04537","0.002424","0.04781","0.04781","",""
