"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","12.39","0.003618","4994","0","0","5007","4994","4995","C"
"0.0015","11.9","0.006585","2247","0","0","2259","2247","2247","C"
"0.002","11.35","0.009517","1220","0","0","1231","1220","1219","C"
"0.002389","10.89","0.01173","824.4","0","0","835.3","824.4","824","C"
"0.002389","10.89","0.01173","1121","0","0","1132","1121","1115","C"
"0.002437","10.84","0.01198","1509","0","0","1519","1509","1546","C"
"0.002485","10.79","0.01222","2029","0","0","2040","2029","1999","C"
"0.002485","10.79","0.01222","2345","0","0","2356","2345","2303","C"
"0.002711","10.54","0.01344","2137","0","0","2147","2137","2150","C"
"0.002957","10.24","0.01478","1947","0","0","1957","1947","1910","C"
"0.002957","10.24","0.01478","2255","0","0","2266","2255","2210","C"
"0.003","10.19","0.01501","2178","0","0","2189","2178","2135","C"
"0.003416","9.726","0.01718","1581","0","0","1591","1581","1553","C"
"0.003416","9.726","0.01718","1677","0","0","1687","1677","1647","C"
"0.003557","9.572","0.0179","1523","0","0","1532","1523","1495","C"
"0.003704","9.414","0.01865","1383","0","0","1392","1383","1360","C"
"0.003704","9.414","0.01865","1443","0","0","1452","1443","1419","C"
"0.004","9.102","0.02014","1203","0","0","1212","1203","1185","C"
"0.005","8.129","0.02498","698.6","0","0","706.8","698.6","690","C"
"0.006","7.287","0.02961","444.3","0","0","451.6","444.4","439.8","C"
"0.008","5.934","0.03816","214.8","0","0","220.8","214.9","213.1","C"
"0.01","4.921","0.04552","121.1","0","0","126","121.1","120.2","C"
"0.01266","3.913","0.05351","65.59","0","0","69.56","65.64","65.21","C"
"0.01266","3.913","0.05351","165.3","0","0","169.3","165.4","135.7","C"
"0.01364","3.619","0.05608","135.1","0","0","138.8","135.2","112.6","C"
"0.0147","3.332","0.05866","110.5","0","0","113.9","110.6","93.56","C"
"0.0147","3.332","0.05866","153.8","0","0","157.2","153.8","120.7","C"
"0.015","3.256","0.05937","146.4","0","0","149.7","146.4","115.4","C"
"0.01535","3.173","0.06017","138.3","0","0","141.6","138.4","109.7","C"
"0.01535","3.173","0.06017","159.9","0","0","163.1","160","125.4","C"
"0.02","2.299","0.06924","81.23","0","0","83.6","81.3","67.61","C"
"0.03","1.355","0.08268","27.85","0","0","29.29","27.93","24.67","C"
"0.04","0.904","0.0906","12.86","0","0","13.85","12.95","11.73","C"
"0.05","0.6426","0.09517","7.013","0","0","7.75","7.108","6.513","C"
"0.06","0.4809","0.09771","4.261","0","0","4.839","4.358","4.003","C"
"0.08","0.3023","0.09953","1.931","0","0","2.332","2.03","1.844","C"
"0.08553","0.2707","0.09962","1.605","0","0","1.976","1.705","1.539","C"
"0.08553","0.2707","0.09962","7.676","0","0","8.046","7.775","2.264","C"
"0.1","0.2087","0.09924","5.089","0","0","5.396","5.188","2.007","C"
"0.15","0.1028","0.09508","1.759","0","0","1.957","1.854","1.044","C"
"0.2","0.06132","0.08987","0.8182","0","0","0.9694","0.9081","0.5753","C"
"0.3","0.02924","0.08053","0.2825","0","0","0.3922","0.363","0.2393","C"
"0.4","0.01708","0.07322","0.1364","0","0","0.2267","0.2096","0.1334","C"
"0.5","0.01118","0.06745","0.07938","0","0","0.158","0.1468","0.08897","C"
"0.6","0.007879","0.06276","0.05195","0","0","0.1226","0.1147","0.06661","C"
"0.8","0.004514","0.05545","0.02755","0","0","0.08751","0.083","0.04557","C"
"1","0.002921","0.05003","0.01735","0","0","0.07031","0.06739","0.036","C"
"1.022","0.002799","0.0495","0.01661","0","0","0.06891","0.06611","0.03531","I"
"1.25","0.001885","0.04485","0.01121","0.000371","0","0.05831","0.05642","0.02955","C"
"1.5","0.001316","0.04081","0.007982","0.001767","0","0.05187","0.05056","0.02616","C"
"2","0.0007446","0.03489","0.004829","0.005348","0","0.04581","0.04506","0.02345","C"
"2.044","0.0007131","0.03444","0.004655","0.005663","0","0.04548","0.04476","0.02343","I"
"3","0.0003324","0.02748","0.002525","0.01176","9.6E-06","0.04211","0.04177","0.02309","C"
"4","0.0001873","0.02293","0.001654","0.01693","3.913E-05","0.04175","0.04156","0.02437","C"
"5","0.00012","0.01981","0.001212","0.02126","7.782E-05","0.04248","0.04236","0.02587","C"
"6","8.336E-05","0.01751","0.0009502","0.025","0.0001193","0.04366","0.04358","0.02731","C"
"7","6.126E-05","0.01574","0.0007782","0.02828","0.0001605","0.04502","0.04496","0.02859","I"
"8","4.691E-05","0.01433","0.0006574","0.03123","0.0002003","0.04647","0.04642","0.02975","C"
"9","3.707E-05","0.01317","0.0005684","0.03394","0.0002384","0.04796","0.04792","0.03075","I"
"10","3.002E-05","0.0122","0.0005","0.03642","0.0002744","0.04943","0.0494","0.03167","C"
"11","2.482E-05","0.01139","0.0004458","0.03869","0.0003085","0.05085","0.05083","0.03234","I"
"12","2.086E-05","0.01068","0.0004022","0.04084","0.0003406","0.05228","0.05226","0.03297","I"
"13","1.777E-05","0.01006","0.0003662","0.04284","0.0003707","0.05366","0.05364","0.03355","I"
"14","1.532E-05","0.009517","0.0003362","0.0447","0.0003992","0.05497","0.05495","0.03411","I"
"15","1.335E-05","0.009034","0.0003103","0.04644","0.0004264","0.05622","0.05621","0.03463","C"
"16","1.173E-05","0.008604","0.0002883","0.04806","0.000452","0.05741","0.0574","0.03488","I"
"18","9.273E-06","0.007864","0.0002524","0.051","0.0004994","0.05963","0.05962","0.03535","I"
"20","7.511E-06","0.007251","0.0002243","0.0536","0.0005424","0.06162","0.06161","0.03578","C"
"22","6.205E-06","0.006736","0.0002018","0.05598","0.0005816","0.06351","0.0635","",""
"24","5.215E-06","0.006294","0.0001834","0.05813","0.0006176","0.06523","0.06523","",""
"26","4.443E-06","0.005911","0.0001681","0.06014","0.0006506","0.06687","0.06687","",""
"28","3.833E-06","0.005575","0.000155","0.06194","0.0006812","0.06835","0.06835","",""
"30","3.338E-06","0.00528","0.0001439","0.06361","0.0007095","0.06975","0.06975","",""
"40","1.878E-06","0.004196","0.0001058","0.07042","0.0008262","0.07555","0.07555","",""
"50","1.202E-06","0.003503","8.365E-05","0.07549","0.000914","0.07999","0.07999","",""
"60","8.344E-07","0.003017","6.915E-05","0.07941","0.0009829","0.08348","0.08348","",""
"80","4.694E-07","0.00238","5.136E-05","0.08518","0.001086","0.0887","0.0887","",""
"100","3.005E-07","0.001975","4.084E-05","0.08925","0.00116","0.09243","0.09243","",""
"150","1.335E-07","0.001407","2.699E-05","0.09567","0.001281","0.09839","0.09839","",""
"200","7.511E-08","0.001103","2.016E-05","0.09947","0.001355","0.102","0.102","",""
"300","3.338E-08","0.0007817","1.339E-05","0.1039","0.001446","0.1061","0.1061","",""
"400","1.878E-08","0.0006123","1.002E-05","0.1064","0.001499","0.1085","0.1085","",""
"500","1.202E-08","0.0005068","8.006E-06","0.1081","0.001536","0.1101","0.1101","",""
"600","8.344E-09","0.000434","6.665E-06","0.1093","0.001562","0.1113","0.1113","",""
"800","4.694E-09","0.0003388","4.994E-06","0.1108","0.001598","0.1128","0.1128","",""
"1000","3.005E-09","0.0002788","3.992E-06","0.1118","0.001623","0.1137","0.1137","",""
"1500","1.335E-09","0.0001947","2.659E-06","0.1133","0.001658","0.1151","0.1151","",""
"2000","7.511E-10","0.0001507","1.994E-06","0.1141","0.001678","0.1159","0.1159","",""
"3000","3.338E-10","0.0001048","1.329E-06","0.115","0.0017","0.1168","0.1168","",""
"4000","1.878E-10","8.088E-05","9.962E-07","0.1154","0.001713","0.1172","0.1172","",""
"5000","1.202E-10","6.612E-05","7.967E-07","0.1157","0.001721","0.1175","0.1175","",""
"6000","8.344E-11","5.607E-05","6.638E-07","0.1159","0.001726","0.1177","0.1177","",""
"8000","4.694E-11","4.32E-05","4.98E-07","0.1162","0.001733","0.118","0.118","",""
"10000","3.005E-11","3.527E-05","3.984E-07","0.1164","0.001738","0.1181","0.1181","",""
"15000","1.335E-11","2.438E-05","2.655E-07","0.1166","0.001744","0.1184","0.1184","",""
"20000","7.511E-12","1.874E-05","1.991E-07","0.1167","0.001748","0.1185","0.1185","",""
"30000","3.338E-12","1.293E-05","1.327E-07","0.1169","0.001751","0.1186","0.1186","",""
"40000","1.878E-12","9.924E-06","9.956E-08","0.1169","0.001753","0.1187","0.1187","",""
"50000","1.202E-12","8.082E-06","7.964E-08","0.1169","0.001755","0.1187","0.1187","",""
"60000","8.344E-13","6.83E-06","6.638E-08","0.117","0.001756","0.1187","0.1187","",""
