"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","3.822","0.01071","6491","0","0","6495","6491","6483","C"
"0.0015","3.524","0.01797","2338","0","0","2342","2338","2336","C"
"0.002","3.23","0.02434","1103","0","0","1106","1103","1102","C"
"0.003","2.706","0.03595","371.6","0","0","374.3","371.6","371.3","C"
"0.004","2.27","0.04653","168.9","0","0","171.2","169","168.8","C"
"0.005","1.912","0.05596","90.94","0","0","92.91","91","90.89","C"
"0.005465","1.77","0.05998","70.93","0","0","72.76","70.99","70.9","C"
"0.005465","1.77","0.05998","585.2","0","0","587","585.2","471.7","C"
"0.006","1.624","0.06433","467.1","0","0","468.8","467.1","384.1","C"
"0.008","1.218","0.07814","220.4","0","0","221.7","220.4","190.8","C"
"0.01","0.9606","0.08863","120.7","0","0","121.7","120.8","107.7","C"
"0.015","0.6088","0.1058","39.11","0","0","39.82","39.21","36.27","C"
"0.02","0.419","0.1164","17.14","0","0","17.68","17.26","16.2","C"
"0.03","0.2278","0.1277","5.209","0","0","5.564","5.336","5.015","C"
"0.04","0.1439","0.1319","2.196","0","0","2.472","2.328","2.14","C"
"0.05","0.09993","0.1331","1.114","0","0","1.347","1.248","1.098","C"
"0.06","0.07372","0.1329","0.6372","0","0","0.8438","0.7701","0.6364","C"
"0.08","0.04484","0.1304","0.2619","0","0","0.4371","0.3922","0.2731","C"
"0.1","0.03002","0.1267","0.131","0","0","0.2877","0.2577","0.1469","C"
"0.15","0.01414","0.1169","0.03711","0","0","0.1682","0.154","0.05821","C"
"0.2","0.008179","0.1083","0.01529","0","0","0.1318","0.1236","0.03879","C"
"0.3","0.003734","0.09509","0.004527","0","0","0.1034","0.09962","0.03019","C"
"0.4","0.002124","0.08554","0.00199","0","0","0.08966","0.08753","0.02843","C"
"0.5","0.001368","0.07828","0.001089","0","0","0.08074","0.07937","0.0277","C"
"0.6","0.0009527","0.0725","0.0006841","0","0","0.07414","0.07319","0.02717","C"
"0.8","0.0005376","0.06378","0.0003479","0","0","0.06466","0.06413","0.02618","C"
"1","0.0003447","0.05738","0.0002163","0","0","0.05794","0.0576","0.02518","C"
"1.022","0.0003301","0.05678","0.0002052","0","0","0.05731","0.05698","0.02506","I"
"1.25","0.0002208","0.05133","0.0001389","5.795E-05","0","0.05175","0.05153","0.02396","C"
"1.5","0.0001534","0.04667","0.0001002","0.0002997","0","0.04723","0.04707","0.02289","C"
"2","8.636E-05","0.03984","6.196E-05","0.001159","0","0.04115","0.04106","0.0213","C"
"2.044","8.268E-05","0.03934","5.986E-05","0.001248","0","0.04073","0.04065","0.02121","I"
"3","3.84E-05","0.03135","3.376E-05","0.003225","1.097E-05","0.03466","0.03462","0.01961","C"
"4","2.16E-05","0.02615","2.28E-05","0.00517","4.478E-05","0.03141","0.03139","0.01892","C"
"5","1.382E-05","0.02259","1.709E-05","0.00689","8.922E-05","0.0296","0.02959","0.01869","C"
"6","9.602E-06","0.01997","1.364E-05","0.008424","0.000137","0.02855","0.02854","0.01869","C"
"7","7.054E-06","0.01795","1.132E-05","0.009788","0.0001847","0.02794","0.02793","0.01883","I"
"8","5.401E-06","0.01633","9.67E-06","0.01102","0.0002309","0.02759","0.02758","0.01896","C"
"9","4.268E-06","0.01501","8.434E-06","0.01213","0.0002752","0.02743","0.02743","0.01918","I"
"10","3.457E-06","0.01391","7.475E-06","0.01313","0.0003173","0.02738","0.02737","0.01937","C"
"11","2.857E-06","0.01297","6.709E-06","0.01404","0.0003573","0.02738","0.02738","0.01957","I"
"12","2.401E-06","0.01216","6.086E-06","0.01488","0.000395","0.02745","0.02745","0.01975","I"
"13","2.045E-06","0.01146","5.567E-06","0.01566","0.0004305","0.02756","0.02756","0.01992","I"
"14","1.764E-06","0.01084","5.129E-06","0.01638","0.0004645","0.0277","0.0277","0.02007","I"
"15","1.537E-06","0.01029","4.755E-06","0.01706","0.0004966","0.02786","0.02785","0.02022","C"
"16","1.35E-06","0.009804","4.431E-06","0.01769","0.0005272","0.02802","0.02802","0.02035","I"
"18","1.067E-06","0.00896","3.9E-06","0.01884","0.000584","0.02839","0.02839","0.02058","I"
"20","8.642E-07","0.008262","3.481E-06","0.01987","0.0006359","0.02877","0.02877","0.02079","C"
"22","7.141E-07","0.007675","3.145E-06","0.02081","0.0006835","0.02917","0.02917","",""
"24","6.001E-07","0.007171","2.867E-06","0.02166","0.0007275","0.02956","0.02956","",""
"26","5.114E-07","0.006735","2.634E-06","0.02244","0.0007681","0.02994","0.02994","",""
"28","4.409E-07","0.006353","2.435E-06","0.02315","0.0008059","0.03031","0.03031","",""
"30","3.841E-07","0.006015","2.265E-06","0.02381","0.0008412","0.03067","0.03067","",""
"40","2.16E-07","0.00478","1.679E-06","0.0265","0.0009884","0.03227","0.03227","",""
"50","1.383E-07","0.00399","1.332E-06","0.02853","0.001102","0.03362","0.03362","",""
"60","9.602E-08","0.003438","1.105E-06","0.0301","0.001193","0.03473","0.03473","",""
"80","5.401E-08","0.002711","8.235E-07","0.03244","0.001331","0.03648","0.03648","",""
"100","3.457E-08","0.002251","6.563E-07","0.03413","0.001433","0.03781","0.03781","",""
"150","1.536E-08","0.001603","4.353E-07","0.03685","0.001605","0.04006","0.04006","",""
"200","8.64E-09","0.001257","3.257E-07","0.0385","0.001717","0.04148","0.04148","",""
"300","3.841E-09","0.0008905","2.166E-07","0.04045","0.001854","0.0432","0.0432","",""
"400","2.16E-09","0.0006975","1.622E-07","0.0416","0.001938","0.04424","0.04424","",""
"500","1.383E-09","0.0005774","1.297E-07","0.04235","0.001997","0.04492","0.04492","",""
"600","9.602E-10","0.0004944","1.08E-07","0.04289","0.002039","0.04542","0.04542","",""
"800","5.4E-10","0.0003861","8.095E-08","0.04361","0.0021","0.0461","0.0461","",""
"1000","3.457E-10","0.0003176","6.474E-08","0.04408","0.002141","0.04654","0.04654","",""
"1500","1.536E-10","0.0002218","4.314E-08","0.04477","0.002202","0.04719","0.04719","",""
"2000","8.64E-11","0.0001717","3.234E-08","0.04514","0.002237","0.04754","0.04754","",""
"3000","3.841E-11","0.0001194","2.156E-08","0.04555","0.002276","0.04794","0.04794","",""
"4000","2.16E-11","9.215E-05","1.616E-08","0.04576","0.002299","0.04815","0.04815","",""
"5000","1.383E-11","7.534E-05","1.293E-08","0.0459","0.002314","0.04829","0.04829","",""
"6000","9.602E-12","6.388E-05","1.078E-08","0.046","0.002323","0.04838","0.04838","",""
"8000","5.4E-12","4.923E-05","8.081E-09","0.04612","0.002336","0.0485","0.0485","",""
"10000","3.457E-12","4.019E-05","6.465E-09","0.0462","0.002344","0.04858","0.04858","",""
"15000","1.536E-12","2.777E-05","4.31E-09","0.04631","0.002356","0.04869","0.04869","",""
"20000","8.64E-13","2.135E-05","3.232E-09","0.04636","0.002363","0.04875","0.04875","",""
"30000","3.841E-13","1.473E-05","2.155E-09","0.04644","0.00237","0.04882","0.04882","",""
"40000","2.16E-13","1.131E-05","1.616E-09","0.04646","0.002374","0.04884","0.04884","",""
"50000","1.383E-13","9.207E-06","1.293E-09","0.04648","0.002376","0.04887","0.04887","",""
"60000","9.602E-14","7.782E-06","1.077E-09","0.04649","0.002377","0.04888","0.04888","",""
"80000","5.4E-14","5.968E-06","8.08E-10","0.04652","0.00238","0.0489","0.0489","",""
"100000","3.457E-14","4.855E-06","6.464E-10","0.04653","0.002381","0.04892","0.04892","",""
