"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","11.44","0.00434","3672","0","0","3683","3672","3671","C"
"0.0015","10.96","0.007514","1633","0","0","1644","1633","1632","C"
"0.001809","10.64","0.009381","1097","0","0","1108","1097","1097","C"
"0.001809","10.64","0.009381","1305","0","0","1315","1305","1311","C"
"0.00184","10.6","0.009566","1931","0","0","1942","1931","1883","C"
"0.001872","10.57","0.009755","2854","0","0","2865","2854","2853","C"
"0.001872","10.57","0.009755","3112","0","0","3123","3112","3116","C"
"0.002","10.43","0.01052","3911","0","0","3921","3911","3853","C"
"0.002281","10.12","0.01219","2818","0","0","2828","2818","2781","C"
"0.002281","10.12","0.01219","3269","0","0","3279","3269","3226","C"
"0.002423","9.972","0.01302","2822","0","0","2832","2822","2786","C"
"0.002575","9.817","0.01389","2436","0","0","2446","2436","2407","C"
"0.002575","9.817","0.01389","2589","0","0","2599","2589","2558","C"
"0.002694","9.69","0.01457","2329","0","0","2338","2329","2301","C"
"0.00282","9.555","0.01529","2094","0","0","2104","2094","2071","C"
"0.00282","9.555","0.01529","2184","0","0","2194","2184","2160","C"
"0.003","9.362","0.01633","1893","0","0","1902","1893","1873","C"
"0.004","8.369","0.02186","948","0","0","956.3","948","940.5","C"
"0.005","7.481","0.02711","545.7","0","0","553.2","545.7","542.3","C"
"0.006","6.695","0.03203","344.6","0","0","351.3","344.6","342.8","C"
"0.008","5.418","0.04068","165.1","0","0","170.5","165.1","164.3","C"
"0.01","4.448","0.04792","92.4","0","0","96.9","92.45","92.04","C"
"0.01021","4.363","0.04861","87.59","0","0","92","87.64","87.24","C"
"0.01021","4.363","0.04861","229","0","0","233.4","229","196.6","C"
"0.01085","4.108","0.0507","194.3","0","0","198.5","194.4","168.4","C"
"0.01154","3.859","0.0528","165","0","0","168.9","165","144.4","C"
"0.01154","3.859","0.0528","227.3","0","0","231.2","227.3","188.9","C"
"0.01182","3.766","0.0536","214.7","0","0","218.5","214.8","179.7","C"
"0.0121","3.675","0.05441","202.8","0","0","206.5","202.8","169.9","C"
"0.0121","3.675","0.05441","234.4","0","0","238.2","234.5","194.8","C"
"0.015","2.886","0.06197","135.9","0","0","138.9","136","117.2","C"
"0.02","2.036","0.07246","63.61","0","0","65.72","63.68","56.97","C"
"0.03","1.204","0.08644","21.44","0","0","22.73","21.53","19.91","C"
"0.04","0.7937","0.09427","9.781","0","0","10.67","9.875","9.24","C"
"0.05","0.5614","0.09863","5.29","0","0","5.95","5.389","5.05","C"
"0.06","0.4206","0.101","3.191","0","0","3.713","3.292","3.07","C"
"0.06953","0.3318","0.1022","2.118","0","0","2.552","2.22","2.049","C"
"0.06953","0.3318","0.1022","10.8","0","0","11.23","10.9","3.212","C"
"0.08","0.2642","0.1026","7.442","0","0","7.809","7.545","2.879","C"
"0.1","0.1815","0.102","4.153","0","0","4.437","4.255","2.1","C"
"0.15","0.08877","0.09738","1.395","0","0","1.581","1.492","0.9378","C"
"0.2","0.0529","0.09185","0.6397","0","0","0.7845","0.7316","0.4913","C"
"0.3","0.02512","0.08212","0.2166","0","0","0.3238","0.2987","0.1973","C"
"0.4","0.01461","0.07458","0.1033","0","0","0.1925","0.1779","0.11","C"
"0.5","0.009535","0.06866","0.05962","0","0","0.1378","0.1283","0.0744","C"
"0.6","0.006708","0.06384","0.03875","0","0","0.1093","0.1026","0.05673","C"
