"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","8.458","0.004417","9403","0","0","9412","9403","9393","C"
"0.001072","8.393","0.004969","8133","0","0","8141","8133","8132","C"
"0.001149","8.325","0.005582","7032","0","0","7040","7032","7019","C"
"0.001149","8.325","0.005582","7334","0","0","7343","7334","7321","C"
"0.0015","8","0.008522","4077","0","0","4085","4077","4073","C"
"0.002","7.481","0.01285","2080","0","0","2088","2080","2078","C"
"0.003","6.481","0.02123","771.5","0","0","778","771.5","770.9","C"
"0.004","5.637","0.02874","373","0","0","378.7","373","372.8","C"
"0.004782","5.087","0.03383","235.7","0","0","240.8","235.8","235.5","C"
"0.004782","5.087","0.03383","689","0","0","694.1","689","652.4","C"
"0.005","4.945","0.03515","634.4","0","0","639.3","634.4","601.5","C"
"0.005104","4.88","0.03577","599.5","0","0","604.4","599.5","569.3","C"
"0.005104","4.88","0.03577","813.3","0","0","818.2","813.3","763","C"
"0.005275","4.775","0.03677","751.5","0","0","756.3","751.5","707.9","C"
"0.005453","4.669","0.03777","694.5","0","0","699.2","694.5","653.9","C"
"0.005453","4.669","0.03777","801.8","0","0","806.5","801.8","752.7","C"
"0.006","4.368","0.04071","633","0","0","637.4","633","597.9","C"
"0.008","3.464","0.05027","299.8","0","0","303.3","299.8","287.1","C"
"0.01","2.815","0.05848","166.2","0","0","169.1","166.2","160.5","C"
"0.015","1.852","0.0744","55.5","0","0","57.43","55.58","54.2","C"
"0.02","1.322","0.08486","25.1","0","0","26.51","25.19","24.65","C"
"0.03","0.7545","0.09729","8.078","0","0","8.929","8.175","7.969","C"
"0.03456","0.6119","0.1008","5.417","0","0","6.13","5.518","5.352","C"
"0.03456","0.6119","0.1008","32.44","0","0","33.16","32.54","10.86","C"
"0.04","0.4913","0.1038","22.11","0","0","22.7","22.21","9.323","C"
"0.05","0.3492","0.1073","12.27","0","0","12.73","12.38","6.54","C"
"0.06","0.261","0.1091","7.454","0","0","7.824","7.563","4.541","C"
"0.08","0.1608","0.1096","3.363","0","0","3.633","3.472","2.374","C"
"0.1","0.1089","0.1081","1.793","0","0","2.01","1.902","1.376","C"
"0.15","0.05298","0.1019","0.5651","0","0","0.72","0.667","0.4894","C"
"0.2","0.03136","0.09555","0.249","0","0","0.3759","0.3446","0.2373","C"
"0.3","0.01464","0.08495","0.08009","0","0","0.1797","0.165","0.09522","C"
"0.4","0.008435","0.07688","0.03699","0","0","0.1223","0.1139","0.05761","C"
"0.5","0.005472","0.07064","0.02088","0","0","0.09699","0.09152","0.04317","C"
"0.6","0.003837","0.06559","0.01338","0","0","0.08281","0.07898","0.03617","C"
"0.8","0.002181","0.05784","0.00694","0","0","0.06696","0.06478","0.02956","C"
"1","0.001404","0.05211","0.004335","0","0","0.05785","0.05644","0.0263","C"
"1.022","0.001345","0.05156","0.004126","0","0","0.05703","0.05568","0.02604","I"
"1.25","0.0009022","0.04665","0.002782","0.0001914","0","0.05052","0.04962","0.02378","C"
"1.5","0.0006279","0.04244","0.001991","0.0008853","0","0.04594","0.04531","0.02221","C"
"2","0.000354","0.03625","0.001211","0.002971","0","0.04078","0.04043","0.0207","C"
"2.044","0.000339","0.0358","0.001169","0.003173","0","0.04048","0.04014","0.02068","I"
"3","0.0001576","0.02854","0.0006422","0.007458","9.981E-06","0.03681","0.03665","0.02042","C"
"4","8.871E-05","0.02381","0.000425","0.01141","4.07E-05","0.03577","0.03568","0.02128","C"
"5","5.679E-05","0.02057","0.0003142","0.01481","8.1E-05","0.03583","0.03577","0.0224","C"
"6","3.944E-05","0.01818","0.0002478","0.01774","0.0001243","0.03634","0.0363","0.0235","C"
"7","2.898E-05","0.01634","0.000204","0.02035","0.0001674","0.03709","0.03706","0.02457","I"
"8","2.219E-05","0.01488","0.0001731","0.02269","0.0002091","0.03797","0.03795","0.02553","C"
"9","1.754E-05","0.01367","0.0001501","0.02482","0.0002489","0.03891","0.03889","0.0264","I"
"10","1.42E-05","0.01267","0.0001324","0.02677","0.0002868","0.03987","0.03986","0.0272","C"
"11","1.174E-05","0.01182","0.0001184","0.02857","0.0003226","0.04084","0.04082","0.02784","I"
"12","9.862E-06","0.01108","0.0001071","0.03023","0.0003563","0.04178","0.04177","0.02843","I"
"13","8.403E-06","0.01044","9.766E-05","0.03178","0.0003881","0.04272","0.04271","0.02899","I"
"14","7.247E-06","0.009876","8.972E-05","0.03321","0.0004183","0.0436","0.04359","0.02952","I"
"15","6.312E-06","0.009376","8.302E-05","0.03453","0.0004469","0.04445","0.04444","0.03002","C"
"16","5.55E-06","0.008931","7.72E-05","0.03576","0.0004738","0.04525","0.04524","0.03032","I"
"18","4.384E-06","0.00816","6.77E-05","0.03799","0.0005243","0.04675","0.04675","0.03088","I"
"20","3.551E-06","0.007527","6.032E-05","0.03999","0.0005702","0.04815","0.04815","0.03139","C"
"22","2.935E-06","0.00699","5.435E-05","0.04181","0.0006119","0.04947","0.04947","",""
"24","2.466E-06","0.006532","4.945E-05","0.04346","0.0006504","0.05069","0.05069","",""
"26","2.101E-06","0.006133","4.535E-05","0.04497","0.0006857","0.05183","0.05183","",""
"28","1.812E-06","0.005789","4.188E-05","0.04633","0.0007183","0.05288","0.05288","",""
"30","1.578E-06","0.005481","3.891E-05","0.04761","0.000749","0.05388","0.05388","",""
"40","8.88E-07","0.004354","2.87E-05","0.05275","0.0008752","0.05801","0.05801","",""
"50","5.683E-07","0.003635","2.272E-05","0.0566","0.000971","0.06123","0.06123","",""
"60","3.946E-07","0.003132","1.881E-05","0.05958","0.001047","0.06378","0.06378","",""
"80","2.22E-07","0.00247","1.399E-05","0.06399","0.001161","0.06763","0.06763","",""
"100","1.421E-07","0.00205","1.113E-05","0.06711","0.001244","0.07041","0.07041","",""
"150","6.312E-08","0.00146","7.371E-06","0.07206","0.001381","0.07491","0.07491","",""
"200","3.551E-08","0.001144","5.509E-06","0.07504","0.001467","0.07766","0.07766","",""
"300","1.578E-08","0.0008114","3.659E-06","0.07853","0.001572","0.08092","0.08092","",""
"400","8.876E-09","0.0006353","2.739E-06","0.0805","0.001636","0.08277","0.08277","",""
"500","5.683E-09","0.0005261","2.189E-06","0.08183","0.001679","0.08404","0.08404","",""
"600","3.946E-09","0.0004503","1.823E-06","0.08275","0.00171","0.08491","0.08491","",""
"800","2.219E-09","0.0003517","1.366E-06","0.08399","0.001754","0.08609","0.08609","",""
"1000","1.421E-09","0.0002893","1.092E-06","0.08481","0.001783","0.08689","0.08689","",""
