"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","6.365","0.008399","3858","0","0","3864","3858","3857","C"
"0.0015","5.953","0.0136","1487","0","0","1493","1487","1487","C"
"0.002","5.55","0.01829","736.3","0","0","741.9","736.3","736.5","C"
"0.00208","5.487","0.01902","668.4","0","0","673.9","668.4","668.2","C"
"0.00208","5.487","0.01902","2620","0","0","2626","2620","2569","C"
"0.002117","5.457","0.01936","2474","0","0","2480","2474","2412","C"
"0.002155","5.428","0.0197","2336","0","0","2342","2336","2292","C"
"0.002155","5.428","0.0197","3257","0","0","3263","3257","3187","C"
"0.002261","5.346","0.02066","2905","0","0","2910","2905","2849","C"
"0.002373","5.262","0.02165","2593","0","0","2598","2593","2540","C"
"0.002373","5.262","0.02165","2956","0","0","2961","2956","2897","C"
"0.003","4.823","0.02705","1649","0","0","1654","1649","1623","C"
"0.004","4.197","0.03503","789.1","0","0","793.4","789.2","779.8","C"
"0.005","3.673","0.0423","438.7","0","0","442.4","438.8","434.4","C"
"0.006","3.24","0.04884","269.3","0","0","272.5","269.3","267","C"
"0.008","2.58","0.0598","123.1","0","0","125.8","123.2","122.4","C"
"0.01","2.093","0.06862","66.55","0","0","68.71","66.62","66.19","C"
"0.015","1.308","0.08542","21.39","0","0","22.78","21.48","21.3","C"
"0.01704","1.108","0.09063","14.92","0","0","16.11","15.01","14.86","C"
"0.01704","1.108","0.09063","101.7","0","0","102.9","101.8","46.72","C"
"0.02","0.8901","0.097","67.57","0","0","68.55","67.66","36.2","C"
"0.03","0.5038","0.1107","22.69","0","0","23.31","22.8","15.58","C"
"0.04","0.3261","0.1175","10.2","0","0","10.64","10.32","7.79","C"
"0.05","0.2268","0.1206","5.416","0","0","5.764","5.537","4.388","C"
"0.06","0.1668","0.1219","3.204","0","0","3.493","3.326","2.699","C"
"0.08","0.1017","0.1211","1.385","0","0","1.607","1.506","1.228","C"
"0.1","0.06882","0.1187","0.7173","0","0","0.9048","0.836","0.6616","C"
"0.15","0.03318","0.1109","0.2155","0","0","0.3595","0.3264","0.2203","C"
"0.2","0.01941","0.1034","0.09205","0","0","0.2149","0.1955","0.1093","C"
"0.3","0.008955","0.09144","0.02849","0","0","0.1289","0.1199","0.05186","C"
"0.4","0.005132","0.08257","0.01285","0","0","0.1006","0.09542","0.03779","C"
"0.5","0.003318","0.07566","0.007146","0","0","0.08613","0.08281","0.03249","C"
"0.6","0.002319","0.07017","0.004536","0","0","0.07703","0.07471","0.02986","C"
"0.8","0.001313","0.06182","0.002328","0","0","0.06546","0.06415","0.02708","C"
"1","0.0008433","0.05566","0.001451","0","0","0.05795","0.05711","0.02537","C"
"1.022","0.0008081","0.05508","0.00138","0","0","0.05726","0.05646","0.02521","I"
"1.25","0.0005411","0.04981","0.0009314","0.0001194","0","0.05141","0.05086","0.02375","C"
"1.5","0.0003762","0.0453","0.0006691","0.0005747","0","0.04692","0.04655","0.02254","C"
"2","0.0002119","0.03868","0.0004094","0.002065","0","0.04137","0.04116","0.02109","C"
"2.044","0.0002029","0.0382","0.0003952","0.002214","0","0.04101","0.04081","0.02104","I"
"3","9.429E-05","0.03045","0.0002194","0.005506","1.065E-05","0.03628","0.03618","0.02026","C"
"4","5.304E-05","0.0254","0.0001464","0.008636","4.347E-05","0.03428","0.03423","0.02048","C"
"5","3.396E-05","0.02194","0.0001089","0.01138","8.657E-05","0.03355","0.03351","0.02107","C"
"6","2.358E-05","0.01939","8.63E-05","0.01377","0.0001328","0.03341","0.03338","0.02174","C"
"7","1.733E-05","0.01743","7.126E-05","0.0159","0.000179","0.0336","0.03358","0.02246","I"
"8","1.326E-05","0.01586","6.065E-05","0.01783","0.0002237","0.03399","0.03398","0.02311","C"
"9","1.048E-05","0.01458","5.273E-05","0.01958","0.0002664","0.03449","0.03448","0.02374","I"
"10","8.487E-06","0.01351","4.662E-05","0.02117","0.000307","0.03504","0.03503","0.02432","C"
"11","7.017E-06","0.01261","4.175E-05","0.02263","0.0003455","0.03563","0.03562","0.02479","I"
"12","5.896E-06","0.01182","3.78E-05","0.02397","0.0003818","0.03621","0.0362","0.02523","I"
"13","5.024E-06","0.01114","3.452E-05","0.0252","0.0004161","0.03679","0.03678","0.02563","I"
"14","4.332E-06","0.01053","3.176E-05","0.02633","0.0004487","0.03735","0.03734","0.02602","I"
"15","3.774E-06","0.01","2.94E-05","0.02739","0.0004795","0.0379","0.0379","0.02638","C"
"16","3.316E-06","0.009524","2.737E-05","0.02837","0.0005088","0.03844","0.03843","0.02662","I"
"18","2.621E-06","0.008704","2.405E-05","0.03019","0.0005632","0.03948","0.03948","0.02706","I"
"20","2.123E-06","0.008027","2.144E-05","0.03182","0.0006127","0.04049","0.04048","0.02746","C"
"22","1.754E-06","0.007458","1.933E-05","0.0333","0.0006581","0.04144","0.04143","",""
