"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","5.244","0.00658","1548","0","0","1553","1548","1548","C"
"0.00101","5.239","0.006683","1513","0","0","1518","1513","1513","C"
"0.00102","5.234","0.006787","1479","0","0","1484","1479","1478","C"
"0.00102","5.234","0.006787","3521","0","0","3526","3521","3777","C"
"0.001031","5.228","0.006907","4781","0","0","4786","4781","5057","C"
"0.001043","5.223","0.00703","6488","0","0","6493","6488","6464","C"
"0.001043","5.223","0.00703","8233","0","0","8239","8233","8202","C"
"0.001116","5.185","0.007802","7788","0","0","7793","7788","8382","C"
"0.001194","5.143","0.008635","7368","0","0","7373","7368","7312","C"
"0.001194","5.143","0.008635","8391","0","0","8396","8391","8328","C"
"0.0015","4.975","0.01192","4819","0","0","4824","4819","4791","C"
"0.002","4.677","0.017","2370","0","0","2374","2370","2359","C"
"0.003","4.084","0.02638","827","0","0","831.1","827","824.4","C"
"0.004","3.538","0.03523","383","0","0","386.6","383.1","382","C"
"0.005","3.054","0.04354","208.7","0","0","211.8","208.7","208.2","C"
"0.006","2.635","0.05122","126.4","0","0","129","126.4","126.1","C"
"0.008","1.987","0.06476","56.68","0","0","58.74","56.75","56.6","C"
"0.009659","1.605","0.07436","33.38","0","0","35.06","33.45","33.32","C"
"0.009659","1.605","0.07436","251.9","0","0","253.6","252","159.9","C"
"0.01","1.542","0.07614","231.4","0","0","233.1","231.5","149.7","C"
"0.015","0.9329","0.09661","80.14","0","0","81.17","80.24","60.99","C"
"0.02","0.6413","0.1091","36.44","0","0","37.19","36.55","29.86","C"
"0.03","0.3579","0.1228","11.59","0","0","12.07","11.71","10.18","C"
"0.04","0.2259","0.1288","5.029","0","0","5.384","5.158","4.57","C"
"0.05","0.1559","0.1311","2.605","0","0","2.892","2.737","2.419","C"
"0.06","0.1148","0.1315","1.514","0","0","1.76","1.646","1.429","C"
"0.08","0.07007","0.1298","0.6367","0","0","0.8365","0.7664","0.6203","C"
"0.1","0.04727","0.1265","0.3235","0","0","0.4973","0.4501","0.3278","C"
"0.15","0.02248","0.1175","0.09412","0","0","0.2341","0.2116","0.1128","C"
"0.2","0.01306","0.1092","0.03944","0","0","0.1617","0.1487","0.06225","C"
"0.3","0.005993","0.09624","0.01192","0","0","0.1141","0.1082","0.03764","C"
"0.4","0.003421","0.08667","0.005298","0","0","0.09539","0.09197","0.03195","C"
"0.5","0.002207","0.07938","0.00292","0","0","0.0845","0.0823","0.02979","C"
"0.6","0.00154","0.07357","0.001843","0","0","0.07695","0.07541","0.02861","C"
"0.8","0.00087","0.06475","0.0009412","0","0","0.06656","0.06569","0.02704","C"
"1","0.0005581","0.05827","0.0005855","0","0","0.05941","0.05885","0.0258","C"
"1.022","0.0005344","0.05765","0.0005563","0","0","0.05874","0.05821","0.02566","I"
"1.25","0.0003578","0.05214","0.000376","8.453E-05","0","0.05295","0.0526","0.02443","C"
"1.5","0.0002487","0.0474","0.0002708","0.0004224","0","0.04834","0.04809","0.02329","C"
"2","0.00014","0.04047","0.0001665","0.001579","0","0.04235","0.04221","0.02174","C"
"2.044","0.000134","0.03997","0.0001608","0.001696","0","0.04196","0.04183","0.02167","I"
"3","6.225E-05","0.03185","9.001E-05","0.004334","1.114E-05","0.03634","0.03628","0.02041","C"
"4","3.502E-05","0.02657","6.044E-05","0.006889","4.55E-05","0.0336","0.03356","0.02014","C"
"5","2.242E-05","0.02295","4.515E-05","0.00914","9.061E-05","0.03225","0.03223","0.02028","C"
"6","1.556E-05","0.02028","3.59E-05","0.01113","0.0001392","0.0316","0.03159","0.02061","C"
"7","1.144E-05","0.01823","2.974E-05","0.01291","0.0001874","0.03138","0.03136","0.02105","I"
"8","8.757E-06","0.0166","2.535E-05","0.01451","0.0002343","0.03138","0.03137","0.02143","C"
"9","6.92E-06","0.01525","2.208E-05","0.01596","0.0002792","0.03152","0.03151","0.02185","I"
"10","5.605E-06","0.01414","1.954E-05","0.01727","0.0003219","0.03175","0.03175","0.02223","C"
"11","4.632E-06","0.01318","1.753E-05","0.01846","0.0003623","0.03202","0.03201","0.02256","I"
"12","3.893E-06","0.01236","1.588E-05","0.01955","0.0004004","0.03233","0.03233","0.02287","I"
"13","3.316E-06","0.01165","1.451E-05","0.02056","0.0004364","0.03266","0.03266","0.02315","I"
"14","2.86E-06","0.01101","1.336E-05","0.0215","0.0004708","0.033","0.03299","0.02342","I"
"15","2.491E-06","0.01046","1.239E-05","0.02237","0.0005033","0.03335","0.03335","0.02367","C"
"16","2.189E-06","0.009965","1.153E-05","0.02319","0.0005342","0.0337","0.0337","0.02386","I"
"18","1.73E-06","0.009105","1.014E-05","0.0247","0.0005916","0.03441","0.03441","0.0242","I"
"20","1.402E-06","0.008396","9.048E-06","0.02604","0.0006439","0.0351","0.03509","0.02451","C"
"22","1.159E-06","0.007799","8.167E-06","0.02726","0.0006919","0.03576","0.03576","",""
"24","9.735E-07","0.007288","7.441E-06","0.02836","0.0007361","0.03639","0.03639","",""
"26","8.291E-07","0.006843","6.834E-06","0.02937","0.0007769","0.037","0.037","",""
"28","7.149E-07","0.006455","6.319E-06","0.03029","0.000815","0.03757","0.03757","",""
"30","6.228E-07","0.006112","5.875E-06","0.03115","0.0008503","0.03812","0.03812","",""
"40","3.503E-07","0.004857","4.347E-06","0.03464","0.0009974","0.0405","0.0405","",""
"50","2.242E-07","0.004054","3.449E-06","0.03725","0.001111","0.04242","0.04242","",""
"60","1.557E-07","0.003493","2.859E-06","0.03929","0.0012","0.04398","0.04398","",""
"80","8.757E-08","0.002755","2.129E-06","0.04232","0.001336","0.04641","0.04641","",""
"100","5.605E-08","0.002287","1.696E-06","0.04447","0.001436","0.0482","0.0482","",""
"150","2.491E-08","0.001628","1.124E-06","0.04792","0.001602","0.05115","0.05115","",""
"200","1.401E-08","0.001276","8.412E-07","0.04997","0.001706","0.05295","0.05295","",""
"300","6.228E-09","0.0009049","5.593E-07","0.05237","0.001835","0.05511","0.05511","",""
"400","3.503E-09","0.0007088","4.189E-07","0.05374","0.001911","0.05636","0.05636","",""
"500","2.242E-09","0.0005866","3.348E-07","0.05464","0.001964","0.05719","0.05719","",""
"600","1.557E-09","0.0005023","2.789E-07","0.05529","0.002003","0.0578","0.0578","",""
"800","8.757E-10","0.0003923","2.09E-07","0.05615","0.002056","0.0586","0.0586","",""
"1000","5.605E-10","0.0003228","1.672E-07","0.05671","0.002092","0.05913","0.05913","",""
"1500","2.491E-10","0.0002255","1.113E-07","0.05751","0.002146","0.05989","0.05989","",""
"2000","1.401E-10","0.0001744","8.349E-08","0.05796","0.002176","0.06031","0.06031","",""
"3000","6.228E-11","0.0001213","5.564E-08","0.05843","0.002208","0.06076","0.06076","",""
"4000","3.503E-11","9.366E-05","4.173E-08","0.05868","0.002228","0.061","0.061","",""
"5000","2.242E-11","7.656E-05","3.338E-08","0.05884","0.00224","0.06116","0.06116","",""
"6000","1.557E-11","6.492E-05","2.781E-08","0.05895","0.002248","0.06126","0.06126","",""
"8000","8.757E-12","5.002E-05","2.086E-08","0.0591","0.002259","0.06141","0.06141","",""
"10000","5.605E-12","4.084E-05","1.669E-08","0.05919","0.002266","0.0615","0.0615","",""
"15000","2.491E-12","2.822E-05","1.113E-08","0.05932","0.002276","0.06162","0.06162","",""
"20000","1.401E-12","2.17E-05","8.343E-09","0.05938","0.002282","0.06169","0.06169","",""
"30000","6.228E-13","1.497E-05","5.562E-09","0.05946","0.002287","0.06176","0.06176","",""
"40000","3.503E-13","1.148E-05","4.171E-09","0.05949","0.00229","0.0618","0.0618","",""
"50000","2.242E-13","9.357E-06","3.337E-09","0.05952","0.002292","0.06182","0.06182","",""
"60000","1.557E-13","7.907E-06","2.78E-09","0.05954","0.002294","0.06184","0.06184","",""
"80000","8.757E-14","6.064E-06","2.086E-09","0.05956","0.002295","0.06186","0.06186","",""
"100000","5.605E-14","4.933E-06","1.669E-09","0.05957","0.002296","0.06187","0.06187","",""
